AAA028A23.genome.CDS.1185,group00380
AAA028A23.genome.CDS.1365,group08442
AAA028A23.genome.CDS.1364,group00852
AAA028A23.genome.CDS.1367,group00452
AAA028A23.genome.CDS.1366,group05294
AAA028A23.genome.CDS.1369,group00211
AAA028A23.genome.CDS.1368,group00916
AAA028A23.genome.CDS.830,group01059
AAA028A23.genome.CDS.1721,group05284
AAA028A23.genome.CDS.1720,group06029
AAA028A23.genome.CDS.1723,group04106
AAA028A23.genome.CDS.1722,group06523
AAA028A23.genome.CDS.1725,group00453
AAA028A23.genome.CDS.1724,group00574
AAA028A23.genome.CDS.1727,group00277
AAA028A23.genome.CDS.1726,group01006
AAA028A23.genome.CDS.1480,group01033
AAA028A23.genome.CDS.1568,group13639
AAA028A23.genome.CDS.1036,group00326
AAA028A23.genome.CDS.1337,group00094
AAA028A23.genome.CDS.1718,group00287
AAA028A23.genome.CDS.888,group12997
AAA028A23.genome.CDS.889,group00722
AAA028A23.genome.CDS.1719,group00276
AAA028A23.genome.CDS.882,group00645
AAA028A23.genome.CDS.880,group00526
AAA028A23.genome.CDS.881,group00665
AAA028A23.genome.CDS.886,group00290
AAA028A23.genome.CDS.887,group00769
AAA028A23.genome.CDS.884,group00877
AAA028A23.genome.CDS.885,group00222
AAA028A23.genome.CDS.1686,group00308
AAA028A23.genome.CDS.1687,group00052
AAA028A23.genome.CDS.773,group12794
AAA028A23.genome.CDS.1682,group00247
AAA028A23.genome.CDS.1683,group00591
AAA028A23.genome.CDS.1680,group00020
AAA028A23.genome.CDS.1681,group00216
AAA028A23.genome.CDS.70,group00415
AAA028A23.genome.CDS.1500,group00502
AAA028A23.genome.CDS.1688,group12056
AAA028A23.genome.CDS.1689,group01178
AAA028A23.genome.CDS.1528,group01010
AAA028A23.genome.CDS.1538,group00003
AAA028A23.genome.CDS.1539,group09440
AAA028A23.genome.CDS.1534,group00494
AAA028A23.genome.CDS.1535,group00667
AAA028A23.genome.CDS.1536,group00875
AAA028A23.genome.CDS.1537,group00000
AAA028A23.genome.CDS.1530,group00171
AAA028A23.genome.CDS.1531,group00008
AAA028A23.genome.CDS.1532,group00298
AAA028A23.genome.CDS.1533,group00461
AAA028A23.genome.CDS.1515,group00773
AAA028A23.genome.CDS.1499,group00963
AAA028A23.genome.CDS.1189,group00506
AAA028A23.genome.CDS.946,group01237
AAA028A23.genome.CDS.945,group01025
AAA028A23.genome.CDS.944,group08416
AAA028A23.genome.CDS.943,group05287
AAA028A23.genome.CDS.942,group04450
AAA028A23.genome.CDS.941,group05285
AAA028A23.genome.CDS.940,group10778
AAA028A23.genome.CDS.1181,group00212
AAA028A23.genome.CDS.1180,group01083
AAA028A23.genome.CDS.1183,group00443
AAA028A23.genome.CDS.1182,group00956
AAA028A23.genome.CDS.125,group12283
AAA028A23.genome.CDS.1184,group00272
AAA028A23.genome.CDS.1187,group04408
AAA028A23.genome.CDS.1186,group07405
AAA028A23.genome.CDS.1435,group00122
AAA028A23.genome.CDS.1434,group00757
AAA028A23.genome.CDS.1437,group00120
AAA028A23.genome.CDS.1436,group03047
AAA028A23.genome.CDS.1431,group00041
AAA028A23.genome.CDS.1430,group00085
AAA028A23.genome.CDS.1433,group00166
AAA028A23.genome.CDS.1432,group00295
AAA028A23.genome.CDS.1439,group07380
AAA028A23.genome.CDS.181,group05980
AAA028A23.genome.CDS.264,group00891
AAA028A23.genome.CDS.1201,group00419
AAA028A23.genome.CDS.1510,group10214
AAA028A23.genome.CDS.1038,group00289
AAA028A23.genome.CDS.1220,group00188
AAA028A23.genome.CDS.1548,group01902
AAA028A23.genome.CDS.1222,group07522
AAA028A23.genome.CDS.1223,group01762
AAA028A23.genome.CDS.1224,group01901
AAA028A23.genome.CDS.1225,group06327
AAA028A23.genome.CDS.1226,group08503
AAA028A23.genome.CDS.1227,group00592
AAA028A23.genome.CDS.1541,group00463
AAA028A23.genome.CDS.1229,group00163
AAA028A23.genome.CDS.1543,group09900
AAA028A23.genome.CDS.1542,group00517
AAA028A23.genome.CDS.1545,group00194
AAA028A23.genome.CDS.1544,group12784
AAA028A23.genome.CDS.1547,group12198
AAA028A23.genome.CDS.1546,group00300
AAA028A23.genome.CDS.1044,group00004
AAA028A23.genome.CDS.1045,group00342
AAA028A23.genome.CDS.1046,group04318
AAA028A23.genome.CDS.1047,group00281
AAA028A23.genome.CDS.1040,group08095
AAA028A23.genome.CDS.1328,group01172
AAA028A23.genome.CDS.1042,group00986
AAA028A23.genome.CDS.1043,group00016
AAA028A23.genome.CDS.1325,group01733
AAA028A23.genome.CDS.1324,group03657
AAA028A23.genome.CDS.1327,group00559
AAA028A23.genome.CDS.1326,group00036
AAA028A23.genome.CDS.1048,group00454
AAA028A23.genome.CDS.1320,group00641
AAA028A23.genome.CDS.1323,group01469
AAA028A23.genome.CDS.1322,group04455
AAA028A23.genome.CDS.1498,group00998
AAA028A23.genome.CDS.1257,group00920
AAA028A23.genome.CDS.1256,group13582
AAA028A23.genome.CDS.809,group00855
AAA028A23.genome.CDS.1642,group00243
AAA028A23.genome.CDS.1139,group08213
AAA028A23.genome.CDS.1640,group00251
AAA028A23.genome.CDS.1641,group08801
AAA028A23.genome.CDS.1646,group00068
AAA028A23.genome.CDS.1644,group00225
AAA028A23.genome.CDS.1645,group00047
AAA028A23.genome.CDS.1130,group00805
AAA028A23.genome.CDS.1131,group00480
AAA028A23.genome.CDS.1132,group00409
AAA028A23.genome.CDS.1649,group00277
AAA028A23.genome.CDS.1134,group00695
AAA028A23.genome.CDS.1135,group00721
AAA028A23.genome.CDS.1136,group00416
AAA028A23.genome.CDS.1137,group13099
AAA028A23.genome.CDS.1484,group00739
AAA028A23.genome.CDS.1485,group01092
AAA028A23.genome.CDS.1486,group00490
AAA028A23.genome.CDS.1487,group00489
AAA028A23.genome.CDS.1521,group01386
AAA028A23.genome.CDS.1481,group00418
AAA028A23.genome.CDS.1482,group00528
AAA028A23.genome.CDS.1483,group00417
AAA028A23.genome.CDS.1488,group00733
AAA028A23.genome.CDS.1489,group08653
AAA028A23.genome.CDS.846,group00381
AAA028A23.genome.CDS.847,group00136
AAA028A23.genome.CDS.845,group10872
AAA028A23.genome.CDS.1259,group00923
AAA028A23.genome.CDS.848,group00657
AAA028A23.genome.CDS.849,group06649
AAA028A23.genome.CDS.1031,group00002
AAA028A23.genome.CDS.1030,group00215
AAA028A23.genome.CDS.1033,group00939
AAA028A23.genome.CDS.1032,group00612
AAA028A23.genome.CDS.1035,group00492
AAA028A23.genome.CDS.1034,group00007
AAA028A23.genome.CDS.766,group05108
AAA028A23.genome.CDS.937,group13631
AAA028A23.genome.CDS.1039,group08655
AAA028A23.genome.CDS.1637,group00078
AAA028A23.genome.CDS.1507,group00623
AAA028A23.genome.CDS.983,group00097
AAA028A23.genome.CDS.982,group00102
AAA028A23.genome.CDS.981,group00073
AAA028A23.genome.CDS.980,group00979
AAA028A23.genome.CDS.987,group01376
AAA028A23.genome.CDS.986,group00974
AAA028A23.genome.CDS.985,group00689
AAA028A23.genome.CDS.984,group00629
AAA028A23.genome.CDS.1398,group08279
AAA028A23.genome.CDS.989,group00816
AAA028A23.genome.CDS.988,group01001
AAA028A23.genome.CDS.1399,group00261
AAA028A23.genome.CDS.1138,group07518
AAA028A23.genome.CDS.947,group00487
AAA028A23.genome.CDS.1268,group00754
AAA028A23.genome.CDS.1269,group03887
AAA028A23.genome.CDS.1188,group00500
AAA028A23.genome.CDS.1264,group00738
AAA028A23.genome.CDS.1265,group11549
AAA028A23.genome.CDS.979,group08400
AAA028A23.genome.CDS.1267,group00946
AAA028A23.genome.CDS.1260,group00992
AAA028A23.genome.CDS.1261,group12802
AAA028A23.genome.CDS.1262,group07818
AAA028A23.genome.CDS.1263,group05212
AAA028A23.genome.CDS.938,group12790
AAA028A23.genome.CDS.939,group07897
AAA028A23.genome.CDS.936,group08086
AAA028A23.genome.CDS.1466,group08765
AAA028A23.genome.CDS.935,group13051
AAA028A23.genome.CDS.930,group01374
AAA028A23.genome.CDS.931,group04912
AAA028A23.genome.CDS.1505,group00783
AAA028A23.genome.CDS.1504,group01203
AAA028A23.genome.CDS.1468,group00232
AAA028A23.genome.CDS.1506,group00602
AAA028A23.genome.CDS.1501,group00267
AAA028A23.genome.CDS.1392,group07830
AAA028A23.genome.CDS.1503,group00069
AAA028A23.genome.CDS.1502,group02594
AAA028A23.genome.CDS.1462,group00696
AAA028A23.genome.CDS.1463,group00038
AAA028A23.genome.CDS.1461,group00794
AAA028A23.genome.CDS.1509,group00841
AAA028A23.genome.CDS.1467,group00864
AAA028A23.genome.CDS.1464,group02806
AAA028A23.genome.CDS.1465,group00573
