bin_7_acI-B2.genome.CDS.1369,group00700
bin_7_acI-B2.genome.CDS.2872,group07849
bin_7_acI-B2.genome.CDS.2873,group00487
bin_7_acI-B2.genome.CDS.2870,group00273
bin_7_acI-B2.genome.CDS.2871,group09889
bin_7_acI-B2.genome.CDS.2876,group02272
bin_7_acI-B2.genome.CDS.2877,group02691
bin_7_acI-B2.genome.CDS.2874,group01083
bin_7_acI-B2.genome.CDS.2875,group00650
bin_7_acI-B2.genome.CDS.1253,group08974
bin_7_acI-B2.genome.CDS.1252,group00481
bin_7_acI-B2.genome.CDS.2878,group04136
bin_7_acI-B2.genome.CDS.2879,group01057
bin_7_acI-B2.genome.CDS.1704,group13500
bin_7_acI-B2.genome.CDS.2719,group00049
bin_7_acI-B2.genome.CDS.3529,group08400
bin_7_acI-B2.genome.CDS.3528,group10269
bin_7_acI-B2.genome.CDS.3527,group03711
bin_7_acI-B2.genome.CDS.3526,group03390
bin_7_acI-B2.genome.CDS.3525,group02083
bin_7_acI-B2.genome.CDS.3627,group00876
bin_7_acI-B2.genome.CDS.3523,group02884
bin_7_acI-B2.genome.CDS.3522,group01949
bin_7_acI-B2.genome.CDS.3521,group03691
bin_7_acI-B2.genome.CDS.3520,group07826
bin_7_acI-B2.genome.CDS.73,group00477
bin_7_acI-B2.genome.CDS.2716,group00746
bin_7_acI-B2.genome.CDS.1386,group00041
bin_7_acI-B2.genome.CDS.1383,group00166
bin_7_acI-B2.genome.CDS.1382,group00757
bin_7_acI-B2.genome.CDS.3544,group00074
bin_7_acI-B2.genome.CDS.3839,group07419
bin_7_acI-B2.genome.CDS.3838,group00105
bin_7_acI-B2.genome.CDS.3389,group00636
bin_7_acI-B2.genome.CDS.3388,group00057
bin_7_acI-B2.genome.CDS.3831,group08410
bin_7_acI-B2.genome.CDS.3830,group04408
bin_7_acI-B2.genome.CDS.3381,group00062
bin_7_acI-B2.genome.CDS.3832,group02764
bin_7_acI-B2.genome.CDS.3835,group01532
bin_7_acI-B2.genome.CDS.3386,group00570
bin_7_acI-B2.genome.CDS.3385,group01367
bin_7_acI-B2.genome.CDS.3836,group00231
bin_7_acI-B2.genome.CDS.2010,group00674
bin_7_acI-B2.genome.CDS.2011,group01299
bin_7_acI-B2.genome.CDS.2012,group12900
bin_7_acI-B2.genome.CDS.2013,group01515
bin_7_acI-B2.genome.CDS.2014,group01516
bin_7_acI-B2.genome.CDS.2015,group07522
bin_7_acI-B2.genome.CDS.2016,group03187
bin_7_acI-B2.genome.CDS.2017,group03235
bin_7_acI-B2.genome.CDS.2018,group07712
bin_7_acI-B2.genome.CDS.2019,group11396
bin_7_acI-B2.genome.CDS.2128,group00397
bin_7_acI-B2.genome.CDS.2129,group11925
bin_7_acI-B2.genome.CDS.2124,group00486
bin_7_acI-B2.genome.CDS.2125,group12632
bin_7_acI-B2.genome.CDS.2126,group01626
bin_7_acI-B2.genome.CDS.2127,group01382
bin_7_acI-B2.genome.CDS.2120,group12839
bin_7_acI-B2.genome.CDS.2121,group02025
bin_7_acI-B2.genome.CDS.2122,group00624
bin_7_acI-B2.genome.CDS.2123,group00390
bin_7_acI-B2.genome.CDS.2461,group13912
bin_7_acI-B2.genome.CDS.2460,group13913
bin_7_acI-B2.genome.CDS.2463,group05758
bin_7_acI-B2.genome.CDS.2462,group02539
bin_7_acI-B2.genome.CDS.2465,group03470
bin_7_acI-B2.genome.CDS.2464,group05759
bin_7_acI-B2.genome.CDS.2467,group08420
bin_7_acI-B2.genome.CDS.2466,group00919
bin_7_acI-B2.genome.CDS.2469,group10940
bin_7_acI-B2.genome.CDS.2468,group01392
bin_7_acI-B2.genome.CDS.237,group01030
bin_7_acI-B2.genome.CDS.234,group13787
bin_7_acI-B2.genome.CDS.127,group01053
bin_7_acI-B2.genome.CDS.126,group13547
bin_7_acI-B2.genome.CDS.129,group01086
bin_7_acI-B2.genome.CDS.128,group13125
bin_7_acI-B2.genome.CDS.2267,group00336
bin_7_acI-B2.genome.CDS.2266,group00030
bin_7_acI-B2.genome.CDS.2265,group12974
bin_7_acI-B2.genome.CDS.2264,group00643
bin_7_acI-B2.genome.CDS.2263,group01602
bin_7_acI-B2.genome.CDS.2262,group13898
bin_7_acI-B2.genome.CDS.2261,group00353
bin_7_acI-B2.genome.CDS.2260,group02652
bin_7_acI-B2.genome.CDS.2269,group01088
bin_7_acI-B2.genome.CDS.2268,group01031
bin_7_acI-B2.genome.CDS.3026,group07877
bin_7_acI-B2.genome.CDS.3027,group03192
bin_7_acI-B2.genome.CDS.3024,group00224
bin_7_acI-B2.genome.CDS.3025,group02462
bin_7_acI-B2.genome.CDS.3022,group07324
bin_7_acI-B2.genome.CDS.3023,group13968
bin_7_acI-B2.genome.CDS.3020,group02128
bin_7_acI-B2.genome.CDS.3021,group10962
bin_7_acI-B2.genome.CDS.3028,group13967
bin_7_acI-B2.genome.CDS.3029,group13971
bin_7_acI-B2.genome.CDS.835,group00933
bin_7_acI-B2.genome.CDS.344,group00477
bin_7_acI-B2.genome.CDS.2393,group10778
bin_7_acI-B2.genome.CDS.2392,group01005
bin_7_acI-B2.genome.CDS.2391,group11543
bin_7_acI-B2.genome.CDS.2390,group00073
bin_7_acI-B2.genome.CDS.2397,group01355
bin_7_acI-B2.genome.CDS.2396,group13904
bin_7_acI-B2.genome.CDS.2394,group04156
bin_7_acI-B2.genome.CDS.2399,group13397
bin_7_acI-B2.genome.CDS.2398,group02278
bin_7_acI-B2.genome.CDS.2489,group02086
bin_7_acI-B2.genome.CDS.2488,group13916
bin_7_acI-B2.genome.CDS.2487,group09755
bin_7_acI-B2.genome.CDS.2486,group01008
bin_7_acI-B2.genome.CDS.2485,group00911
bin_7_acI-B2.genome.CDS.2484,group00686
bin_7_acI-B2.genome.CDS.2483,group02214
bin_7_acI-B2.genome.CDS.2482,group02323
bin_7_acI-B2.genome.CDS.2481,group00117
bin_7_acI-B2.genome.CDS.2480,group13915
bin_7_acI-B2.genome.CDS.3732,group00441
bin_7_acI-B2.genome.CDS.2648,group00765
bin_7_acI-B2.genome.CDS.3730,group00332
bin_7_acI-B2.genome.CDS.3731,group00330
bin_7_acI-B2.genome.CDS.3736,group00769
bin_7_acI-B2.genome.CDS.3737,group00290
bin_7_acI-B2.genome.CDS.3734,group00813
bin_7_acI-B2.genome.CDS.3735,group04519
bin_7_acI-B2.genome.CDS.2641,group00366
bin_7_acI-B2.genome.CDS.2640,group00252
bin_7_acI-B2.genome.CDS.3738,group14024
bin_7_acI-B2.genome.CDS.3739,group03683
bin_7_acI-B2.genome.CDS.2645,group00845
bin_7_acI-B2.genome.CDS.2644,group13933
bin_7_acI-B2.genome.CDS.2647,group00825
bin_7_acI-B2.genome.CDS.2646,group00827
bin_7_acI-B2.genome.CDS.3853,group00778
bin_7_acI-B2.genome.CDS.3852,group10214
bin_7_acI-B2.genome.CDS.3327,group07583
bin_7_acI-B2.genome.CDS.3326,group01593
bin_7_acI-B2.genome.CDS.2735,group01073
bin_7_acI-B2.genome.CDS.2734,group04514
bin_7_acI-B2.genome.CDS.2737,group01903
bin_7_acI-B2.genome.CDS.2736,group09845
bin_7_acI-B2.genome.CDS.2731,group01848
bin_7_acI-B2.genome.CDS.2730,group01344
bin_7_acI-B2.genome.CDS.2733,group00629
bin_7_acI-B2.genome.CDS.2732,group00681
bin_7_acI-B2.genome.CDS.2739,group00339
bin_7_acI-B2.genome.CDS.2738,group08158
bin_7_acI-B2.genome.CDS.3608,group00710
bin_7_acI-B2.genome.CDS.3606,group11549
bin_7_acI-B2.genome.CDS.3607,group05335
bin_7_acI-B2.genome.CDS.3604,group00946
bin_7_acI-B2.genome.CDS.3605,group00945
bin_7_acI-B2.genome.CDS.3602,group01272
bin_7_acI-B2.genome.CDS.3603,group00755
bin_7_acI-B2.genome.CDS.3600,group00557
bin_7_acI-B2.genome.CDS.3601,group13329
bin_7_acI-B2.genome.CDS.3062,group00194
bin_7_acI-B2.genome.CDS.3518,group02785
bin_7_acI-B2.genome.CDS.3519,group02239
bin_7_acI-B2.genome.CDS.3188,group13628
bin_7_acI-B2.genome.CDS.1460,group11862
bin_7_acI-B2.genome.CDS.3513,group02240
bin_7_acI-B2.genome.CDS.3510,group01049
bin_7_acI-B2.genome.CDS.3511,group00517
bin_7_acI-B2.genome.CDS.3516,group01841
bin_7_acI-B2.genome.CDS.3517,group12504
bin_7_acI-B2.genome.CDS.3514,group10262
bin_7_acI-B2.genome.CDS.3515,group01508
bin_7_acI-B2.genome.CDS.1602,group00599
bin_7_acI-B2.genome.CDS.3183,group12591
bin_7_acI-B2.genome.CDS.2512,group05708
bin_7_acI-B2.genome.CDS.2869,group12030
bin_7_acI-B2.genome.CDS.2868,group10533
bin_7_acI-B2.genome.CDS.2865,group01268
bin_7_acI-B2.genome.CDS.2864,group00794
bin_7_acI-B2.genome.CDS.2867,group00371
bin_7_acI-B2.genome.CDS.2866,group00243
bin_7_acI-B2.genome.CDS.2861,group08208
bin_7_acI-B2.genome.CDS.2860,group10386
bin_7_acI-B2.genome.CDS.2863,group00495
bin_7_acI-B2.genome.CDS.2862,group00000
bin_7_acI-B2.genome.CDS.1114,group06043
bin_7_acI-B2.genome.CDS.1113,group13990
bin_7_acI-B2.genome.CDS.4012,group01733
bin_7_acI-B2.genome.CDS.2006,group03712
bin_7_acI-B2.genome.CDS.2005,group00504
bin_7_acI-B2.genome.CDS.4013,group01345
bin_7_acI-B2.genome.CDS.2008,group03153
bin_7_acI-B2.genome.CDS.4010,group00027
bin_7_acI-B2.genome.CDS.3282,group07419
bin_7_acI-B2.genome.CDS.3283,group00105
bin_7_acI-B2.genome.CDS.3280,group07249
bin_7_acI-B2.genome.CDS.3281,group00957
bin_7_acI-B2.genome.CDS.3286,group00231
bin_7_acI-B2.genome.CDS.3287,group06372
bin_7_acI-B2.genome.CDS.3284,group00105
bin_7_acI-B2.genome.CDS.3285,group00365
bin_7_acI-B2.genome.CDS.2964,group00090
bin_7_acI-B2.genome.CDS.3288,group00368
bin_7_acI-B2.genome.CDS.3289,group13517
bin_7_acI-B2.genome.CDS.4017,group08678
bin_7_acI-B2.genome.CDS.4014,group02430
bin_7_acI-B2.genome.CDS.4015,group02247
bin_7_acI-B2.genome.CDS.2139,group08158
bin_7_acI-B2.genome.CDS.2138,group11060
bin_7_acI-B2.genome.CDS.2137,group00822
bin_7_acI-B2.genome.CDS.2136,group00508
bin_7_acI-B2.genome.CDS.2135,group00020
bin_7_acI-B2.genome.CDS.2134,group00395
bin_7_acI-B2.genome.CDS.2133,group11178
bin_7_acI-B2.genome.CDS.2132,group00021
bin_7_acI-B2.genome.CDS.2131,group11413
bin_7_acI-B2.genome.CDS.2130,group02798
bin_7_acI-B2.genome.CDS.227,group00477
bin_7_acI-B2.genome.CDS.130,group07329
bin_7_acI-B2.genome.CDS.2252,group00276
bin_7_acI-B2.genome.CDS.2253,group00677
bin_7_acI-B2.genome.CDS.2250,group00066
bin_7_acI-B2.genome.CDS.3358,group00020
bin_7_acI-B2.genome.CDS.2257,group07954
bin_7_acI-B2.genome.CDS.3354,group00029
bin_7_acI-B2.genome.CDS.3355,group01042
bin_7_acI-B2.genome.CDS.3356,group00395
bin_7_acI-B2.genome.CDS.2259,group00025
bin_7_acI-B2.genome.CDS.3350,group08977
bin_7_acI-B2.genome.CDS.3351,group02903
bin_7_acI-B2.genome.CDS.3352,group01630
bin_7_acI-B2.genome.CDS.3353,group11641
bin_7_acI-B2.genome.CDS.3031,group00503
bin_7_acI-B2.genome.CDS.3033,group00255
bin_7_acI-B2.genome.CDS.3032,group00094
bin_7_acI-B2.genome.CDS.3035,group05108
bin_7_acI-B2.genome.CDS.3034,group00081
bin_7_acI-B2.genome.CDS.3037,group00539
bin_7_acI-B2.genome.CDS.3036,group00142
bin_7_acI-B2.genome.CDS.3039,group02897
bin_7_acI-B2.genome.CDS.3038,group00253
bin_7_acI-B2.genome.CDS.351,group13787
bin_7_acI-B2.genome.CDS.354,group01030
bin_7_acI-B2.genome.CDS.3729,group00361
bin_7_acI-B2.genome.CDS.3728,group08262
bin_7_acI-B2.genome.CDS.3725,group00145
bin_7_acI-B2.genome.CDS.3724,group08679
bin_7_acI-B2.genome.CDS.3727,group00498
bin_7_acI-B2.genome.CDS.3726,group00377
bin_7_acI-B2.genome.CDS.3721,group00313
bin_7_acI-B2.genome.CDS.3720,group00856
bin_7_acI-B2.genome.CDS.3723,group00316
bin_7_acI-B2.genome.CDS.3722,group00659
bin_7_acI-B2.genome.CDS.3808,group03195
bin_7_acI-B2.genome.CDS.2740,group00469
bin_7_acI-B2.genome.CDS.2741,group13199
bin_7_acI-B2.genome.CDS.2742,group01053
bin_7_acI-B2.genome.CDS.2743,group13125
bin_7_acI-B2.genome.CDS.2744,group01086
bin_7_acI-B2.genome.CDS.2745,group03400
bin_7_acI-B2.genome.CDS.2746,group00342
bin_7_acI-B2.genome.CDS.2747,group00346
bin_7_acI-B2.genome.CDS.2748,group00347
bin_7_acI-B2.genome.CDS.2749,group00822
bin_7_acI-B2.genome.CDS.3619,group00596
bin_7_acI-B2.genome.CDS.3618,group00733
bin_7_acI-B2.genome.CDS.3611,group01563
bin_7_acI-B2.genome.CDS.3610,group00551
bin_7_acI-B2.genome.CDS.3613,group00393
bin_7_acI-B2.genome.CDS.3615,group01028
bin_7_acI-B2.genome.CDS.3614,group00374
bin_7_acI-B2.genome.CDS.3617,group00689
bin_7_acI-B2.genome.CDS.3359,group01101
bin_7_acI-B2.genome.CDS.3505,group00913
bin_7_acI-B2.genome.CDS.3504,group00676
bin_7_acI-B2.genome.CDS.3507,group00053
bin_7_acI-B2.genome.CDS.3357,group03318
bin_7_acI-B2.genome.CDS.3501,group04575
bin_7_acI-B2.genome.CDS.3500,group01022
bin_7_acI-B2.genome.CDS.3503,group08765
bin_7_acI-B2.genome.CDS.3502,group00830
bin_7_acI-B2.genome.CDS.3509,group01305
bin_7_acI-B2.genome.CDS.3508,group00046
bin_7_acI-B2.genome.CDS.2924,group03196
bin_7_acI-B2.genome.CDS.2925,group02428
bin_7_acI-B2.genome.CDS.2926,group00844
bin_7_acI-B2.genome.CDS.2927,group00437
bin_7_acI-B2.genome.CDS.2920,group00981
bin_7_acI-B2.genome.CDS.2921,group11210
bin_7_acI-B2.genome.CDS.2922,group03690
bin_7_acI-B2.genome.CDS.2923,group10649
bin_7_acI-B2.genome.CDS.2928,group01436
bin_7_acI-B2.genome.CDS.2929,group02429
bin_7_acI-B2.genome.CDS.2818,group03398
bin_7_acI-B2.genome.CDS.2810,group01099
bin_7_acI-B2.genome.CDS.2811,group04322
bin_7_acI-B2.genome.CDS.2812,group00690
bin_7_acI-B2.genome.CDS.2813,group13943
bin_7_acI-B2.genome.CDS.2814,group02370
bin_7_acI-B2.genome.CDS.2815,group04116
bin_7_acI-B2.genome.CDS.2816,group12283
bin_7_acI-B2.genome.CDS.2817,group05742
bin_7_acI-B2.genome.CDS.2038,group13582
bin_7_acI-B2.genome.CDS.2039,group00939
bin_7_acI-B2.genome.CDS.2036,group03677
bin_7_acI-B2.genome.CDS.2037,group10037
bin_7_acI-B2.genome.CDS.2034,group07712
bin_7_acI-B2.genome.CDS.2035,group11396
bin_7_acI-B2.genome.CDS.2032,group03187
bin_7_acI-B2.genome.CDS.2033,group03235
bin_7_acI-B2.genome.CDS.2030,group00711
bin_7_acI-B2.genome.CDS.2031,group00760
bin_7_acI-B2.genome.CDS.827,group04512
bin_7_acI-B2.genome.CDS.3943,group00528
bin_7_acI-B2.genome.CDS.3942,group00111
bin_7_acI-B2.genome.CDS.2142,group13199
bin_7_acI-B2.genome.CDS.3299,group12009
bin_7_acI-B2.genome.CDS.3298,group01027
bin_7_acI-B2.genome.CDS.3295,group00544
bin_7_acI-B2.genome.CDS.3294,group00592
bin_7_acI-B2.genome.CDS.3297,group00357
bin_7_acI-B2.genome.CDS.3296,group00163
bin_7_acI-B2.genome.CDS.3291,group10692
bin_7_acI-B2.genome.CDS.3290,group03199
bin_7_acI-B2.genome.CDS.3293,group00116
bin_7_acI-B2.genome.CDS.3292,group11479
bin_7_acI-B2.genome.CDS.2108,group01389
bin_7_acI-B2.genome.CDS.2109,group01341
bin_7_acI-B2.genome.CDS.2102,group01263
bin_7_acI-B2.genome.CDS.2103,group01195
bin_7_acI-B2.genome.CDS.2100,group01048
bin_7_acI-B2.genome.CDS.2101,group00167
bin_7_acI-B2.genome.CDS.2106,group13965
bin_7_acI-B2.genome.CDS.2107,group00959
bin_7_acI-B2.genome.CDS.2105,group11910
bin_7_acI-B2.genome.CDS.2249,group00047
bin_7_acI-B2.genome.CDS.2248,group05277
bin_7_acI-B2.genome.CDS.2245,group00571
bin_7_acI-B2.genome.CDS.2244,group10155
bin_7_acI-B2.genome.CDS.2246,group00457
bin_7_acI-B2.genome.CDS.2241,group03193
bin_7_acI-B2.genome.CDS.2240,group00591
bin_7_acI-B2.genome.CDS.2243,group00485
bin_7_acI-B2.genome.CDS.2242,group00630
bin_7_acI-B2.genome.CDS.3390,group00011
bin_7_acI-B2.genome.CDS.3827,group02241
bin_7_acI-B2.genome.CDS.580,group13931
bin_7_acI-B2.genome.CDS.3392,group11068
bin_7_acI-B2.genome.CDS.3825,group00010
bin_7_acI-B2.genome.CDS.3822,group03402
bin_7_acI-B2.genome.CDS.3823,group01322
bin_7_acI-B2.genome.CDS.3820,group11514
bin_7_acI-B2.genome.CDS.3349,group11395
bin_7_acI-B2.genome.CDS.3348,group04001
bin_7_acI-B2.genome.CDS.3347,group00038
bin_7_acI-B2.genome.CDS.3346,group01234
bin_7_acI-B2.genome.CDS.3345,group04158
bin_7_acI-B2.genome.CDS.3397,group11946
bin_7_acI-B2.genome.CDS.3343,group06228
bin_7_acI-B2.genome.CDS.3342,group13516
bin_7_acI-B2.genome.CDS.3341,group00992
bin_7_acI-B2.genome.CDS.3340,group00185
bin_7_acI-B2.genome.CDS.3406,group00736
bin_7_acI-B2.genome.CDS.3758,group00766
bin_7_acI-B2.genome.CDS.3759,group00260
bin_7_acI-B2.genome.CDS.3750,group00147
bin_7_acI-B2.genome.CDS.3751,group00064
bin_7_acI-B2.genome.CDS.3752,group08483
bin_7_acI-B2.genome.CDS.3753,group00258
bin_7_acI-B2.genome.CDS.3754,group00128
bin_7_acI-B2.genome.CDS.3755,group00897
bin_7_acI-B2.genome.CDS.3756,group00375
bin_7_acI-B2.genome.CDS.3757,group00044
bin_7_acI-B2.genome.CDS.3198,group01997
bin_7_acI-B2.genome.CDS.3199,group08192
bin_7_acI-B2.genome.CDS.3196,group03693
bin_7_acI-B2.genome.CDS.3197,group08213
bin_7_acI-B2.genome.CDS.3194,group01196
bin_7_acI-B2.genome.CDS.3195,group13982
bin_7_acI-B2.genome.CDS.3193,group05437
bin_7_acI-B2.genome.CDS.3190,group00454
bin_7_acI-B2.genome.CDS.2753,group12926
bin_7_acI-B2.genome.CDS.2752,group00021
bin_7_acI-B2.genome.CDS.2751,group04026
bin_7_acI-B2.genome.CDS.2750,group00020
bin_7_acI-B2.genome.CDS.2757,group00678
bin_7_acI-B2.genome.CDS.2756,group02798
bin_7_acI-B2.genome.CDS.2755,group11413
bin_7_acI-B2.genome.CDS.2754,group07447
bin_7_acI-B2.genome.CDS.2759,group06998
bin_7_acI-B2.genome.CDS.2758,group00784
bin_7_acI-B2.genome.CDS.2068,group01837
bin_7_acI-B2.genome.CDS.3411,group00751
bin_7_acI-B2.genome.CDS.3410,group01824
bin_7_acI-B2.genome.CDS.3570,group00152
bin_7_acI-B2.genome.CDS.3571,group00713
bin_7_acI-B2.genome.CDS.3572,group01990
bin_7_acI-B2.genome.CDS.3573,group00661
bin_7_acI-B2.genome.CDS.3574,group08503
bin_7_acI-B2.genome.CDS.3575,group00796
bin_7_acI-B2.genome.CDS.3576,group01201
bin_7_acI-B2.genome.CDS.3577,group01200
bin_7_acI-B2.genome.CDS.3578,group00982
bin_7_acI-B2.genome.CDS.3579,group00071
bin_7_acI-B2.genome.CDS.2937,group08678
bin_7_acI-B2.genome.CDS.2936,group02109
bin_7_acI-B2.genome.CDS.2935,group02247
bin_7_acI-B2.genome.CDS.2934,group02430
bin_7_acI-B2.genome.CDS.2933,group01345
bin_7_acI-B2.genome.CDS.2932,group01733
bin_7_acI-B2.genome.CDS.2931,group02073
bin_7_acI-B2.genome.CDS.2930,group00027
bin_7_acI-B2.genome.CDS.2939,group02089
bin_7_acI-B2.genome.CDS.2938,group00687
bin_7_acI-B2.genome.CDS.2809,group00955
bin_7_acI-B2.genome.CDS.2808,group02935
bin_7_acI-B2.genome.CDS.3408,group01833
bin_7_acI-B2.genome.CDS.3409,group00233
bin_7_acI-B2.genome.CDS.2803,group03681
bin_7_acI-B2.genome.CDS.3405,group00799
bin_7_acI-B2.genome.CDS.2801,group00703
bin_7_acI-B2.genome.CDS.3407,group00890
bin_7_acI-B2.genome.CDS.2807,group04323
bin_7_acI-B2.genome.CDS.3401,group00475
bin_7_acI-B2.genome.CDS.2805,group00940
bin_7_acI-B2.genome.CDS.2804,group07457
bin_7_acI-B2.genome.CDS.3045,group01195
bin_7_acI-B2.genome.CDS.2029,group12621
bin_7_acI-B2.genome.CDS.2028,group02238
bin_7_acI-B2.genome.CDS.2021,group10037
bin_7_acI-B2.genome.CDS.2020,group03677
bin_7_acI-B2.genome.CDS.2023,group00939
bin_7_acI-B2.genome.CDS.2022,group13582
bin_7_acI-B2.genome.CDS.2025,group05283
bin_7_acI-B2.genome.CDS.2024,group05448
bin_7_acI-B2.genome.CDS.2027,group13872
bin_7_acI-B2.genome.CDS.2026,group00950
bin_7_acI-B2.genome.CDS.3996,group08440
bin_7_acI-B2.genome.CDS.3997,group04518
bin_7_acI-B2.genome.CDS.3994,group00992
bin_7_acI-B2.genome.CDS.3995,group00185
bin_7_acI-B2.genome.CDS.3992,group00270
bin_7_acI-B2.genome.CDS.3993,group00726
bin_7_acI-B2.genome.CDS.3990,group00789
bin_7_acI-B2.genome.CDS.3991,group00912
bin_7_acI-B2.genome.CDS.3998,group00943
bin_7_acI-B2.genome.CDS.3999,group02645
bin_7_acI-B2.genome.CDS.3978,group00392
bin_7_acI-B2.genome.CDS.3979,group00012
bin_7_acI-B2.genome.CDS.3974,group00657
bin_7_acI-B2.genome.CDS.3975,group06649
bin_7_acI-B2.genome.CDS.3976,group00106
bin_7_acI-B2.genome.CDS.3977,group00104
bin_7_acI-B2.genome.CDS.3970,group00362
bin_7_acI-B2.genome.CDS.3971,group00257
bin_7_acI-B2.genome.CDS.3972,group00381
bin_7_acI-B2.genome.CDS.3973,group00136
bin_7_acI-B2.genome.CDS.2115,group02883
bin_7_acI-B2.genome.CDS.2114,group03190
bin_7_acI-B2.genome.CDS.2117,group06893
bin_7_acI-B2.genome.CDS.2116,group11877
bin_7_acI-B2.genome.CDS.2111,group02425
bin_7_acI-B2.genome.CDS.2110,group01754
bin_7_acI-B2.genome.CDS.2113,group01513
bin_7_acI-B2.genome.CDS.2112,group01846
bin_7_acI-B2.genome.CDS.2119,group12009
bin_7_acI-B2.genome.CDS.2118,group01055
bin_7_acI-B2.genome.CDS.2238,group01008
bin_7_acI-B2.genome.CDS.2239,group09755
bin_7_acI-B2.genome.CDS.2230,group03192
bin_7_acI-B2.genome.CDS.2231,group13895
bin_7_acI-B2.genome.CDS.2232,group01992
bin_7_acI-B2.genome.CDS.2233,group00117
bin_7_acI-B2.genome.CDS.2234,group02323
bin_7_acI-B2.genome.CDS.2235,group02214
bin_7_acI-B2.genome.CDS.2236,group00686
bin_7_acI-B2.genome.CDS.2237,group00911
bin_7_acI-B2.genome.CDS.3378,group00123
bin_7_acI-B2.genome.CDS.3379,group00098
bin_7_acI-B2.genome.CDS.3372,group09207
bin_7_acI-B2.genome.CDS.3373,group03327
bin_7_acI-B2.genome.CDS.3370,group02764
bin_7_acI-B2.genome.CDS.3371,group03199
bin_7_acI-B2.genome.CDS.3376,group00172
bin_7_acI-B2.genome.CDS.3377,group00114
bin_7_acI-B2.genome.CDS.3374,group00116
bin_7_acI-B2.genome.CDS.3375,group00592
bin_7_acI-B2.genome.CDS.2586,group00954
bin_7_acI-B2.genome.CDS.2587,group04569
bin_7_acI-B2.genome.CDS.2584,group00673
bin_7_acI-B2.genome.CDS.2585,group01861
bin_7_acI-B2.genome.CDS.2582,group01215
bin_7_acI-B2.genome.CDS.2583,group03417
bin_7_acI-B2.genome.CDS.2580,group12212
bin_7_acI-B2.genome.CDS.2581,group01552
bin_7_acI-B2.genome.CDS.2588,group03245
bin_7_acI-B2.genome.CDS.2589,group13928
bin_7_acI-B2.genome.CDS.371,group02642
bin_7_acI-B2.genome.CDS.206,group02462
bin_7_acI-B2.genome.CDS.751,group13744
bin_7_acI-B2.genome.CDS.2344,group05055
bin_7_acI-B2.genome.CDS.2345,group00847
bin_7_acI-B2.genome.CDS.2346,group01366
bin_7_acI-B2.genome.CDS.2347,group02427
bin_7_acI-B2.genome.CDS.2340,group00450
bin_7_acI-B2.genome.CDS.2342,group01586
bin_7_acI-B2.genome.CDS.2348,group03519
bin_7_acI-B2.genome.CDS.2349,group00725
bin_7_acI-B2.genome.CDS.3749,group00126
bin_7_acI-B2.genome.CDS.3748,group00013
bin_7_acI-B2.genome.CDS.3743,group08416
bin_7_acI-B2.genome.CDS.3742,group02643
bin_7_acI-B2.genome.CDS.3741,group04513
bin_7_acI-B2.genome.CDS.3740,group03194
bin_7_acI-B2.genome.CDS.3747,group00186
bin_7_acI-B2.genome.CDS.3746,group00814
bin_7_acI-B2.genome.CDS.3745,group00102
bin_7_acI-B2.genome.CDS.3744,group07535
bin_7_acI-B2.genome.CDS.3189,group00384
bin_7_acI-B2.genome.CDS.2693,group05505
bin_7_acI-B2.genome.CDS.2690,group08503
bin_7_acI-B2.genome.CDS.2691,group00045
bin_7_acI-B2.genome.CDS.2696,group00917
bin_7_acI-B2.genome.CDS.2697,group00682
bin_7_acI-B2.genome.CDS.2694,group00915
bin_7_acI-B2.genome.CDS.2695,group00017
bin_7_acI-B2.genome.CDS.3181,group13987
bin_7_acI-B2.genome.CDS.3180,group13988
bin_7_acI-B2.genome.CDS.2698,group00539
bin_7_acI-B2.genome.CDS.3182,group12860
bin_7_acI-B2.genome.CDS.3185,group03198
bin_7_acI-B2.genome.CDS.3184,group12591
bin_7_acI-B2.genome.CDS.3187,group14061
bin_7_acI-B2.genome.CDS.3186,group04012
bin_7_acI-B2.genome.CDS.2568,group08410
bin_7_acI-B2.genome.CDS.2569,group07110
bin_7_acI-B2.genome.CDS.2564,group13925
bin_7_acI-B2.genome.CDS.2565,group01516
bin_7_acI-B2.genome.CDS.2566,group07522
bin_7_acI-B2.genome.CDS.2567,group13930
bin_7_acI-B2.genome.CDS.2560,group00674
bin_7_acI-B2.genome.CDS.2561,group01299
bin_7_acI-B2.genome.CDS.2562,group12900
bin_7_acI-B2.genome.CDS.2563,group01515
bin_7_acI-B2.genome.CDS.2768,group00220
bin_7_acI-B2.genome.CDS.2769,group03480
bin_7_acI-B2.genome.CDS.2766,group00251
bin_7_acI-B2.genome.CDS.2767,group00287
bin_7_acI-B2.genome.CDS.2764,group08240
bin_7_acI-B2.genome.CDS.2765,group00043
bin_7_acI-B2.genome.CDS.2762,group01527
bin_7_acI-B2.genome.CDS.2763,group03733
bin_7_acI-B2.genome.CDS.2760,group11329
bin_7_acI-B2.genome.CDS.2761,group07518
bin_7_acI-B2.genome.CDS.3563,group00038
bin_7_acI-B2.genome.CDS.3562,group01575
bin_7_acI-B2.genome.CDS.3561,group01991
bin_7_acI-B2.genome.CDS.3567,group00140
bin_7_acI-B2.genome.CDS.3566,group00026
bin_7_acI-B2.genome.CDS.3565,group00203
bin_7_acI-B2.genome.CDS.3564,group00795
