AAA023J06.genome.CDS.1337,group12865
AAA023J06.genome.CDS.1341,group12857
AAA023J06.genome.CDS.1121,group00014
AAA023J06.genome.CDS.1126,group00349
AAA023J06.genome.CDS.1127,group02359
AAA023J06.genome.CDS.898,group00485
AAA023J06.genome.CDS.899,group00148
AAA023J06.genome.CDS.896,group00591
AAA023J06.genome.CDS.897,group00630
AAA023J06.genome.CDS.894,group00180
AAA023J06.genome.CDS.895,group00193
AAA023J06.genome.CDS.892,group00084
AAA023J06.genome.CDS.893,group01354
AAA023J06.genome.CDS.890,group02596
AAA023J06.genome.CDS.891,group10842
AAA023J06.genome.CDS.1424,group08432
AAA023J06.genome.CDS.1192,group00967
AAA023J06.genome.CDS.133,group10845
AAA023J06.genome.CDS.132,group08433
AAA023J06.genome.CDS.764,group01005
AAA023J06.genome.CDS.765,group00314
AAA023J06.genome.CDS.766,group00218
AAA023J06.genome.CDS.767,group10436
AAA023J06.genome.CDS.760,group01574
AAA023J06.genome.CDS.761,group00605
AAA023J06.genome.CDS.762,group00660
AAA023J06.genome.CDS.763,group01622
AAA023J06.genome.CDS.768,group01675
AAA023J06.genome.CDS.769,group07405
AAA023J06.genome.CDS.884,group00898
AAA023J06.genome.CDS.1081,group04417
AAA023J06.genome.CDS.1080,group01513
AAA023J06.genome.CDS.1083,group01234
AAA023J06.genome.CDS.1082,group00038
AAA023J06.genome.CDS.1085,group08801
AAA023J06.genome.CDS.1084,group02798
AAA023J06.genome.CDS.1087,group00147
AAA023J06.genome.CDS.1086,group00431
AAA023J06.genome.CDS.1089,group04350
AAA023J06.genome.CDS.1088,group03913
AAA023J06.genome.CDS.423,group00057
AAA023J06.genome.CDS.1212,group01019
AAA023J06.genome.CDS.1213,group00539
AAA023J06.genome.CDS.1179,group01384
AAA023J06.genome.CDS.1178,group00013
AAA023J06.genome.CDS.1166,group02087
AAA023J06.genome.CDS.1167,group00013
AAA023J06.genome.CDS.1164,group01025
AAA023J06.genome.CDS.1165,group13627
AAA023J06.genome.CDS.1162,group10826
AAA023J06.genome.CDS.1163,group13087
AAA023J06.genome.CDS.1249,group08763
AAA023J06.genome.CDS.1248,group00107
AAA023J06.genome.CDS.1247,group00527
AAA023J06.genome.CDS.1246,group00555
AAA023J06.genome.CDS.1245,group00410
AAA023J06.genome.CDS.1244,group00493
AAA023J06.genome.CDS.1243,group11198
AAA023J06.genome.CDS.1242,group00580
AAA023J06.genome.CDS.1168,group02785
AAA023J06.genome.CDS.392,group06372
AAA023J06.genome.CDS.869,group00936
AAA023J06.genome.CDS.868,group02350
AAA023J06.genome.CDS.867,group01679
AAA023J06.genome.CDS.866,group09639
AAA023J06.genome.CDS.865,group12370
AAA023J06.genome.CDS.864,group13582
AAA023J06.genome.CDS.863,group01797
AAA023J06.genome.CDS.862,group00000
AAA023J06.genome.CDS.861,group01790
AAA023J06.genome.CDS.860,group00093
AAA023J06.genome.CDS.1227,group00000
AAA023J06.genome.CDS.941,group00991
AAA023J06.genome.CDS.1018,group00267
AAA023J06.genome.CDS.1019,group00444
AAA023J06.genome.CDS.1012,group00519
AAA023J06.genome.CDS.1013,group00726
AAA023J06.genome.CDS.558,group03486
AAA023J06.genome.CDS.1016,group01047
AAA023J06.genome.CDS.1017,group00564
AAA023J06.genome.CDS.1014,group00838
AAA023J06.genome.CDS.1015,group01381
AAA023J06.genome.CDS.913,group00102
AAA023J06.genome.CDS.912,group00196
AAA023J06.genome.CDS.911,group00297
AAA023J06.genome.CDS.910,group00531
AAA023J06.genome.CDS.917,group00041
AAA023J06.genome.CDS.916,group00085
AAA023J06.genome.CDS.915,group07896
AAA023J06.genome.CDS.914,group11729
AAA023J06.genome.CDS.919,group00125
AAA023J06.genome.CDS.918,group00166
AAA023J06.genome.CDS.1423,group13943
AAA023J06.genome.CDS.1422,group07304
AAA023J06.genome.CDS.1421,group00636
AAA023J06.genome.CDS.1420,group02093
AAA023J06.genome.CDS.698,group13185
AAA023J06.genome.CDS.1426,group00266
AAA023J06.genome.CDS.1425,group00850
AAA023J06.genome.CDS.1383,group04025
AAA023J06.genome.CDS.1429,group00291
AAA023J06.genome.CDS.1428,group07790
AAA023J06.genome.CDS.693,group05851
AAA023J06.genome.CDS.1229,group01606
AAA023J06.genome.CDS.1387,group04420
AAA023J06.genome.CDS.878,group01208
AAA023J06.genome.CDS.1385,group01010
AAA023J06.genome.CDS.970,group02085
