AAA028P02.genome.CDS.1169,group04087
AAA028P02.genome.CDS.1257,group11879
AAA028P02.genome.CDS.1256,group00704
AAA028P02.genome.CDS.1255,group00705
AAA028P02.genome.CDS.1254,group00038
AAA028P02.genome.CDS.1253,group00529
AAA028P02.genome.CDS.1252,group02692
AAA028P02.genome.CDS.1251,group00007
AAA028P02.genome.CDS.1250,group00559
AAA028P02.genome.CDS.1259,group00850
AAA028P02.genome.CDS.1258,group00797
AAA028P02.genome.CDS.1318,group02958
AAA028P02.genome.CDS.1319,group05194
AAA028P02.genome.CDS.1316,group00234
AAA028P02.genome.CDS.1317,group00135
AAA028P02.genome.CDS.1314,group01466
AAA028P02.genome.CDS.1315,group00305
AAA028P02.genome.CDS.1312,group01198
AAA028P02.genome.CDS.1313,group00432
AAA028P02.genome.CDS.1310,group00486
AAA028P02.genome.CDS.1311,group04091
AAA028P02.genome.CDS.800,group11845
AAA028P02.genome.CDS.801,group00905
AAA028P02.genome.CDS.1536,group00103
AAA028P02.genome.CDS.1738,group00686
AAA028P02.genome.CDS.1534,group00039
AAA028P02.genome.CDS.1535,group00087
AAA028P02.genome.CDS.1533,group02685
AAA028P02.genome.CDS.1530,group00281
AAA028P02.genome.CDS.1630,group00392
AAA028P02.genome.CDS.653,group11840
AAA028P02.genome.CDS.1538,group00171
AAA028P02.genome.CDS.1539,group00008
AAA028P02.genome.CDS.1403,group11874
AAA028P02.genome.CDS.1400,group00107
AAA028P02.genome.CDS.1401,group00600
AAA028P02.genome.CDS.1406,group00003
AAA028P02.genome.CDS.1407,group00001
AAA028P02.genome.CDS.1404,group11823
AAA028P02.genome.CDS.1405,group00828
AAA028P02.genome.CDS.1408,group00496
AAA028P02.genome.CDS.1409,group00794
AAA028P02.genome.CDS.1378,group00923
AAA028P02.genome.CDS.1039,group00806
AAA028P02.genome.CDS.1038,group05185
AAA028P02.genome.CDS.1033,group05184
AAA028P02.genome.CDS.1032,group00368
AAA028P02.genome.CDS.1030,group00513
AAA028P02.genome.CDS.1037,group00384
AAA028P02.genome.CDS.1036,group00649
AAA028P02.genome.CDS.1035,group04082
AAA028P02.genome.CDS.1518,group11833
AAA028P02.genome.CDS.294,group11876
AAA028P02.genome.CDS.1758,group00763
AAA028P02.genome.CDS.1379,group00913
AAA028P02.genome.CDS.1745,group00502
AAA028P02.genome.CDS.1744,group03524
AAA028P02.genome.CDS.1747,group03525
AAA028P02.genome.CDS.1629,group00633
AAA028P02.genome.CDS.1741,group04098
AAA028P02.genome.CDS.1740,group03815
AAA028P02.genome.CDS.1743,group00581
AAA028P02.genome.CDS.1742,group00842
AAA028P02.genome.CDS.1623,group01512
AAA028P02.genome.CDS.1620,group00993
AAA028P02.genome.CDS.1621,group04096
AAA028P02.genome.CDS.1626,group01276
AAA028P02.genome.CDS.1748,group03103
AAA028P02.genome.CDS.1624,group00210
AAA028P02.genome.CDS.1625,group00919
AAA028P02.genome.CDS.1508,group00324
AAA028P02.genome.CDS.1478,group00737
AAA028P02.genome.CDS.1109,group01085
AAA028P02.genome.CDS.1108,group00900
AAA028P02.genome.CDS.1107,group02125
AAA028P02.genome.CDS.1106,group00936
AAA028P02.genome.CDS.1105,group01605
AAA028P02.genome.CDS.1104,group00935
AAA028P02.genome.CDS.1103,group00989
AAA028P02.genome.CDS.1102,group00987
AAA028P02.genome.CDS.1101,group02947
AAA028P02.genome.CDS.1100,group11870
AAA028P02.genome.CDS.1614,group00388
AAA028P02.genome.CDS.1644,group03100
AAA028P02.genome.CDS.1603,group00419
AAA028P02.genome.CDS.1645,group03101
AAA028P02.genome.CDS.1646,group00431
AAA028P02.genome.CDS.1647,group01168
AAA028P02.genome.CDS.1692,group01129
AAA028P02.genome.CDS.1136,group00927
AAA028P02.genome.CDS.1137,group01020
AAA028P02.genome.CDS.1660,group00155
AAA028P02.genome.CDS.1561,group11827
AAA028P02.genome.CDS.1654,group01103
AAA028P02.genome.CDS.1134,group05187
AAA028P02.genome.CDS.1609,group00119
AAA028P02.genome.CDS.1047,group00111
AAA028P02.genome.CDS.1643,group00389
AAA028P02.genome.CDS.1248,group00628
AAA028P02.genome.CDS.1322,group01189
AAA028P02.genome.CDS.1651,group00717
AAA028P02.genome.CDS.1164,group01187
AAA028P02.genome.CDS.1324,group01412
AAA028P02.genome.CDS.1048,group00147
AAA028P02.genome.CDS.1166,group00843
AAA028P02.genome.CDS.1819,group00321
AAA028P02.genome.CDS.1818,group02300
AAA028P02.genome.CDS.1815,group00312
AAA028P02.genome.CDS.1814,group00244
AAA028P02.genome.CDS.1817,group00888
AAA028P02.genome.CDS.1816,group00458
AAA028P02.genome.CDS.1811,group00172
AAA028P02.genome.CDS.1810,group00182
AAA028P02.genome.CDS.1813,group02935
AAA028P02.genome.CDS.1812,group00145
AAA028P02.genome.CDS.1499,group00255
AAA028P02.genome.CDS.1328,group00345
AAA028P02.genome.CDS.1691,group00530
AAA028P02.genome.CDS.1498,group00022
AAA028P02.genome.CDS.1690,group11835
AAA028P02.genome.CDS.1070,group02260
AAA028P02.genome.CDS.1213,group01303
AAA028P02.genome.CDS.1212,group00536
AAA028P02.genome.CDS.1211,group00729
AAA028P02.genome.CDS.1210,group01185
AAA028P02.genome.CDS.1217,group05191
AAA028P02.genome.CDS.1216,group02091
AAA028P02.genome.CDS.1215,group00683
AAA028P02.genome.CDS.1214,group03308
AAA028P02.genome.CDS.1554,group04429
AAA028P02.genome.CDS.1219,group11881
AAA028P02.genome.CDS.1218,group00774
AAA028P02.genome.CDS.1040,group03516
AAA028P02.genome.CDS.1921,group01237
AAA028P02.genome.CDS.1920,group00958
AAA028P02.genome.CDS.1923,group01225
AAA028P02.genome.CDS.1517,group11824
AAA028P02.genome.CDS.1925,group05200
AAA028P02.genome.CDS.1924,group00975
AAA028P02.genome.CDS.1927,group03531
AAA028P02.genome.CDS.928,group01583
AAA028P02.genome.CDS.1929,group00626
AAA028P02.genome.CDS.1928,group00693
AAA028P02.genome.CDS.1168,group04086
AAA028P02.genome.CDS.1558,group01057
AAA028P02.genome.CDS.1512,group03443
AAA028P02.genome.CDS.1490,group00235
AAA028P02.genome.CDS.1045,group00190
AAA028P02.genome.CDS.558,group00802
AAA028P02.genome.CDS.1935,group03094
AAA028P02.genome.CDS.1367,group01097
AAA028P02.genome.CDS.1366,group00330
AAA028P02.genome.CDS.1365,group00213
AAA028P02.genome.CDS.1364,group00371
AAA028P02.genome.CDS.1363,group00170
AAA028P02.genome.CDS.1289,group00641
AAA028P02.genome.CDS.1361,group00295
AAA028P02.genome.CDS.1360,group00196
AAA028P02.genome.CDS.1284,group00106
AAA028P02.genome.CDS.1285,group00044
AAA028P02.genome.CDS.1286,group00766
AAA028P02.genome.CDS.1287,group00260
AAA028P02.genome.CDS.1280,group00322
AAA028P02.genome.CDS.1281,group00279
AAA028P02.genome.CDS.1282,group00128
AAA028P02.genome.CDS.1368,group00514
AAA028P02.genome.CDS.1886,group00781
AAA028P02.genome.CDS.1887,group01044
AAA028P02.genome.CDS.1884,group11864
AAA028P02.genome.CDS.1501,group00252
AAA028P02.genome.CDS.1882,group00498
AAA028P02.genome.CDS.1883,group00271
AAA028P02.genome.CDS.1448,group00121
AAA028P02.genome.CDS.1881,group04100
AAA028P02.genome.CDS.1446,group00158
AAA028P02.genome.CDS.1444,group03522
AAA028P02.genome.CDS.1445,group00059
AAA028P02.genome.CDS.1442,group00522
AAA028P02.genome.CDS.1443,group00853
AAA028P02.genome.CDS.1440,group00002
AAA028P02.genome.CDS.1441,group00844
AAA028P02.genome.CDS.647,group02831
AAA028P02.genome.CDS.1666,group00084
AAA028P02.genome.CDS.1667,group00086
AAA028P02.genome.CDS.1664,group00205
AAA028P02.genome.CDS.1665,group00627
AAA028P02.genome.CDS.1662,group00127
AAA028P02.genome.CDS.1663,group00642
AAA028P02.genome.CDS.1549,group00003
AAA028P02.genome.CDS.1661,group00132
AAA028P02.genome.CDS.1547,group00520
AAA028P02.genome.CDS.1546,group00463
AAA028P02.genome.CDS.1545,group00517
AAA028P02.genome.CDS.1544,group00622
AAA028P02.genome.CDS.1543,group00494
AAA028P02.genome.CDS.1542,group00462
AAA028P02.genome.CDS.1668,group00188
AAA028P02.genome.CDS.1540,group05196
AAA028P02.genome.CDS.1060,group00583
AAA028P02.genome.CDS.1061,group00870
AAA028P02.genome.CDS.1062,group00117
AAA028P02.genome.CDS.1063,group00716
AAA028P02.genome.CDS.1064,group03097
AAA028P02.genome.CDS.1065,group04083
AAA028P02.genome.CDS.1066,group00566
AAA028P02.genome.CDS.1067,group00675
AAA028P02.genome.CDS.1068,group00252
AAA028P02.genome.CDS.1069,group02959
AAA028P02.genome.CDS.362,group11875
AAA028P02.genome.CDS.1746,group00032
AAA028P02.genome.CDS.852,group03152
AAA028P02.genome.CDS.998,group04105
AAA028P02.genome.CDS.999,group00864
AAA028P02.genome.CDS.992,group00690
AAA028P02.genome.CDS.993,group03029
AAA028P02.genome.CDS.990,group04104
AAA028P02.genome.CDS.991,group00742
AAA028P02.genome.CDS.1147,group00991
AAA028P02.genome.CDS.997,group00614
AAA028P02.genome.CDS.994,group03649
AAA028P02.genome.CDS.995,group01823
AAA028P02.genome.CDS.1161,group00382
AAA028P02.genome.CDS.1718,group02012
AAA028P02.genome.CDS.1719,group00434
AAA028P02.genome.CDS.1601,group00091
AAA028P02.genome.CDS.1712,group00352
AAA028P02.genome.CDS.1713,group02707
AAA028P02.genome.CDS.1710,group01063
AAA028P02.genome.CDS.1711,group02546
AAA028P02.genome.CDS.1716,group01940
AAA028P02.genome.CDS.1717,group00027
AAA028P02.genome.CDS.1714,group02453
AAA028P02.genome.CDS.1715,group01727
AAA028P02.genome.CDS.1781,group00226
AAA028P02.genome.CDS.1780,group01099
AAA028P02.genome.CDS.1783,group11844
AAA028P02.genome.CDS.1782,group00118
AAA028P02.genome.CDS.1785,group00819
AAA028P02.genome.CDS.1784,group00455
AAA028P02.genome.CDS.1787,group00497
AAA028P02.genome.CDS.1786,group01271
AAA028P02.genome.CDS.1789,group02691
AAA028P02.genome.CDS.1788,group00751
AAA028P02.genome.CDS.1505,group00278
AAA028P02.genome.CDS.864,group11851
AAA028P02.genome.CDS.1160,group00435
AAA028P02.genome.CDS.1158,group00669
AAA028P02.genome.CDS.988,group01551
AAA028P02.genome.CDS.985,group11818
AAA028P02.genome.CDS.1434,group00362
AAA028P02.genome.CDS.1155,group00037
AAA028P02.genome.CDS.987,group00096
AAA028P02.genome.CDS.986,group01130
AAA028P02.genome.CDS.1150,group11868
AAA028P02.genome.CDS.1151,group11873
AAA028P02.genome.CDS.1049,group00066
AAA028P02.genome.CDS.1152,group00344
AAA028P02.genome.CDS.982,group02030
AAA028P02.genome.CDS.1541,group00298
AAA028P02.genome.CDS.1843,group00970
AAA028P02.genome.CDS.1840,group00606
AAA028P02.genome.CDS.1846,group00665
AAA028P02.genome.CDS.1844,group01970
AAA028P02.genome.CDS.1845,group00640
AAA028P02.genome.CDS.1848,group03036
AAA028P02.genome.CDS.1849,group02262
AAA028P02.genome.CDS.1329,group00346
AAA028P02.genome.CDS.1857,group04099
AAA028P02.genome.CDS.1856,group00645
AAA028P02.genome.CDS.1323,group02957
AAA028P02.genome.CDS.1249,group05192
AAA028P02.genome.CDS.1321,group00608
AAA028P02.genome.CDS.1320,group00396
AAA028P02.genome.CDS.1327,group03377
AAA028P02.genome.CDS.1326,group01282
AAA028P02.genome.CDS.1325,group00876
AAA028P02.genome.CDS.1858,group00290
AAA028P02.genome.CDS.1240,group02699
AAA028P02.genome.CDS.1241,group00552
AAA028P02.genome.CDS.1242,group00035
AAA028P02.genome.CDS.1243,group00582
AAA028P02.genome.CDS.1244,group00400
AAA028P02.genome.CDS.1245,group00654
AAA028P02.genome.CDS.1246,group00718
AAA028P02.genome.CDS.1247,group00769
AAA028P02.genome.CDS.1288,group01931
AAA028P02.genome.CDS.1437,group00381
AAA028P02.genome.CDS.1436,group00257
AAA028P02.genome.CDS.1435,group02688
AAA028P02.genome.CDS.1027,group00195
AAA028P02.genome.CDS.1433,group00394
AAA028P02.genome.CDS.1432,group00425
AAA028P02.genome.CDS.1431,group00202
AAA028P02.genome.CDS.1430,group00306
AAA028P02.genome.CDS.1590,group00922
AAA028P02.genome.CDS.1439,group00657
AAA028P02.genome.CDS.1438,group00136
AAA028P02.genome.CDS.1187,group00460
AAA028P02.genome.CDS.1186,group04777
AAA028P02.genome.CDS.1185,group11884
AAA028P02.genome.CDS.1184,group11885
AAA028P02.genome.CDS.1183,group05189
AAA028P02.genome.CDS.1029,group00168
AAA028P02.genome.CDS.1181,group00551
AAA028P02.genome.CDS.1180,group00550
AAA028P02.genome.CDS.1024,group01755
AAA028P02.genome.CDS.1025,group00075
AAA028P02.genome.CDS.1026,group00164
AAA028P02.genome.CDS.1188,group00440
AAA028P02.genome.CDS.1020,group00088
AAA028P02.genome.CDS.1021,group00070
AAA028P02.genome.CDS.1022,group00852
AAA028P02.genome.CDS.1023,group00262
