AAA028G02.genome.CDS.1340,group07460
AAA028G02.genome.CDS.1483,group00639
AAA028G02.genome.CDS.1482,group00645
AAA028G02.genome.CDS.1598,group00890
AAA028G02.genome.CDS.1741,group07418
AAA028G02.genome.CDS.2634,group00833
AAA028G02.genome.CDS.2255,group00853
AAA028G02.genome.CDS.2501,group00540
AAA028G02.genome.CDS.1365,group07476
AAA028G02.genome.CDS.2487,group00581
AAA028G02.genome.CDS.2609,group00608
AAA028G02.genome.CDS.1391,group00472
AAA028G02.genome.CDS.1390,group01839
AAA028G02.genome.CDS.1393,group02842
AAA028G02.genome.CDS.1392,group01486
AAA028G02.genome.CDS.1395,group01895
AAA028G02.genome.CDS.1394,group01795
AAA028G02.genome.CDS.1397,group02320
AAA028G02.genome.CDS.1396,group01679
AAA028G02.genome.CDS.2246,group00394
AAA028G02.genome.CDS.1360,group01534
AAA028G02.genome.CDS.2244,group00202
AAA028G02.genome.CDS.2245,group00425
AAA028G02.genome.CDS.2242,group00284
AAA028G02.genome.CDS.1959,group05301
AAA028G02.genome.CDS.1368,group01378
AAA028G02.genome.CDS.2399,group01628
AAA028G02.genome.CDS.1435,group01669
AAA028G02.genome.CDS.1901,group00214
AAA028G02.genome.CDS.1902,group00281
AAA028G02.genome.CDS.1958,group04951
AAA028G02.genome.CDS.1904,group00174
AAA028G02.genome.CDS.1362,group05338
AAA028G02.genome.CDS.1906,group00894
AAA028G02.genome.CDS.1907,group00074
AAA028G02.genome.CDS.1908,group00802
AAA028G02.genome.CDS.1909,group00947
AAA028G02.genome.CDS.1363,group02790
AAA028G02.genome.CDS.1877,group00776
AAA028G02.genome.CDS.1997,group00367
AAA028G02.genome.CDS.1643,group00955
AAA028G02.genome.CDS.1995,group00440
AAA028G02.genome.CDS.1994,group00460
AAA028G02.genome.CDS.1993,group03478
AAA028G02.genome.CDS.1992,group00930
AAA028G02.genome.CDS.1991,group02350
AAA028G02.genome.CDS.1857,group00035
AAA028G02.genome.CDS.1747,group00346
AAA028G02.genome.CDS.1369,group07473
AAA028G02.genome.CDS.1999,group00775
AAA028G02.genome.CDS.1998,group00732
AAA028G02.genome.CDS.1416,group01746
AAA028G02.genome.CDS.1417,group07479
AAA028G02.genome.CDS.1414,group02026
AAA028G02.genome.CDS.2564,group00897
AAA028G02.genome.CDS.1412,group01953
AAA028G02.genome.CDS.2562,group00917
AAA028G02.genome.CDS.1410,group03641
AAA028G02.genome.CDS.2560,group00821
AAA028G02.genome.CDS.2484,group00637
AAA028G02.genome.CDS.1556,group00356
AAA028G02.genome.CDS.1555,group03510
AAA028G02.genome.CDS.1554,group00935
AAA028G02.genome.CDS.1553,group07399
AAA028G02.genome.CDS.2481,group01052
AAA028G02.genome.CDS.1418,group07478
AAA028G02.genome.CDS.1419,group01059
AAA028G02.genome.CDS.2014,group00969
AAA028G02.genome.CDS.1471,group00230
AAA028G02.genome.CDS.1850,group00438
AAA028G02.genome.CDS.1428,group01092
AAA028G02.genome.CDS.2018,group01208
AAA028G02.genome.CDS.1918,group00462
AAA028G02.genome.CDS.2531,group00289
AAA028G02.genome.CDS.2266,group00095
AAA028G02.genome.CDS.2502,group00541
AAA028G02.genome.CDS.2260,group05344
AAA028G02.genome.CDS.1954,group02220
AAA028G02.genome.CDS.1762,group00756
AAA028G02.genome.CDS.1439,group01686
AAA028G02.genome.CDS.1355,group05500
AAA028G02.genome.CDS.1869,group00500
AAA028G02.genome.CDS.1763,group01242
AAA028G02.genome.CDS.2262,group00309
AAA028G02.genome.CDS.2203,group00018
AAA028G02.genome.CDS.1863,group00512
AAA028G02.genome.CDS.1862,group00177
AAA028G02.genome.CDS.1861,group00301
AAA028G02.genome.CDS.1860,group00051
AAA028G02.genome.CDS.1867,group00943
AAA028G02.genome.CDS.1866,group00863
AAA028G02.genome.CDS.1865,group00383
AAA028G02.genome.CDS.1864,group00725
AAA028G02.genome.CDS.2389,group07455
AAA028G02.genome.CDS.2505,group00049
AAA028G02.genome.CDS.1531,group01854
AAA028G02.genome.CDS.1356,group02166
AAA028G02.genome.CDS.2499,group00763
AAA028G02.genome.CDS.1858,group00552
AAA028G02.genome.CDS.2632,group00539
AAA028G02.genome.CDS.2206,group00970
AAA028G02.genome.CDS.1910,group00039
AAA028G02.genome.CDS.2507,group00578
AAA028G02.genome.CDS.2207,group00835
AAA028G02.genome.CDS.1828,group01203
AAA028G02.genome.CDS.2639,group00167
AAA028G02.genome.CDS.2638,group00938
AAA028G02.genome.CDS.2204,group00555
AAA028G02.genome.CDS.2633,group00253
AAA028G02.genome.CDS.2268,group00129
AAA028G02.genome.CDS.2631,group01069
AAA028G02.genome.CDS.2630,group00142
AAA028G02.genome.CDS.2637,group00108
AAA028G02.genome.CDS.2636,group00899
AAA028G02.genome.CDS.2635,group00149
AAA028G02.genome.CDS.2269,group00150
AAA028G02.genome.CDS.1733,group00900
AAA028G02.genome.CDS.1732,group03703
AAA028G02.genome.CDS.1731,group02584
AAA028G02.genome.CDS.1730,group07410
AAA028G02.genome.CDS.1922,group00622
AAA028G02.genome.CDS.2503,group00010
AAA028G02.genome.CDS.1735,group07409
AAA028G02.genome.CDS.1734,group02485
AAA028G02.genome.CDS.1739,group07420
AAA028G02.genome.CDS.1738,group04161
AAA028G02.genome.CDS.2208,group00586
AAA028G02.genome.CDS.2239,group00363
AAA028G02.genome.CDS.2066,group00437
AAA028G02.genome.CDS.2067,group00245
AAA028G02.genome.CDS.2064,group00240
AAA028G02.genome.CDS.2065,group00225
AAA028G02.genome.CDS.2062,group00329
AAA028G02.genome.CDS.2063,group00027
AAA028G02.genome.CDS.2060,group00204
AAA028G02.genome.CDS.2348,group00445
AAA028G02.genome.CDS.2347,group00268
AAA028G02.genome.CDS.1628,group00231
AAA028G02.genome.CDS.353,group01522
AAA028G02.genome.CDS.2344,group00720
AAA028G02.genome.CDS.2343,group00519
AAA028G02.genome.CDS.2342,group00584
AAA028G02.genome.CDS.2068,group01105
AAA028G02.genome.CDS.1457,group07484
AAA028G02.genome.CDS.2181,group00840
AAA028G02.genome.CDS.2180,group01558
AAA028G02.genome.CDS.2183,group01235
AAA028G02.genome.CDS.2182,group00744
AAA028G02.genome.CDS.2185,group00474
AAA028G02.genome.CDS.2184,group01236
AAA028G02.genome.CDS.2187,group02083
AAA028G02.genome.CDS.2186,group01081
AAA028G02.genome.CDS.2189,group02601
AAA028G02.genome.CDS.1737,group01705
AAA028G02.genome.CDS.1423,group03778
AAA028G02.genome.CDS.1736,group01261
AAA028G02.genome.CDS.1607,group00475
AAA028G02.genome.CDS.1606,group00735
AAA028G02.genome.CDS.1366,group07475
AAA028G02.genome.CDS.1604,group00620
AAA028G02.genome.CDS.1603,group00799
AAA028G02.genome.CDS.1602,group00736
AAA028G02.genome.CDS.794,group00757
AAA028G02.genome.CDS.1600,group01299
AAA028G02.genome.CDS.2288,group00640
AAA028G02.genome.CDS.1609,group00811
AAA028G02.genome.CDS.1608,group00704
AAA028G02.genome.CDS.2470,group00922
AAA028G02.genome.CDS.2270,group00082
AAA028G02.genome.CDS.2158,group00476
AAA028G02.genome.CDS.2439,group01005
AAA028G02.genome.CDS.1905,group00285
AAA028G02.genome.CDS.2010,group00928
AAA028G02.genome.CDS.1569,group00687
AAA028G02.genome.CDS.1509,group00186
AAA028G02.genome.CDS.2552,group01095
AAA028G02.genome.CDS.2118,group00765
AAA028G02.genome.CDS.2119,group00317
AAA028G02.genome.CDS.1404,group00003
AAA028G02.genome.CDS.2112,group00205
AAA028G02.genome.CDS.2113,group00627
AAA028G02.genome.CDS.1580,group00053
AAA028G02.genome.CDS.2111,group00642
AAA028G02.genome.CDS.2116,group00246
AAA028G02.genome.CDS.2550,group00594
AAA028G02.genome.CDS.1921,group00875
AAA028G02.genome.CDS.2115,group00192
AAA028G02.genome.CDS.1012,group07439
AAA028G02.genome.CDS.2435,group00050
AAA028G02.genome.CDS.2551,group00595
AAA028G02.genome.CDS.2434,group00333
AAA028G02.genome.CDS.1401,group00546
AAA028G02.genome.CDS.2437,group00172
AAA028G02.genome.CDS.2557,group00715
AAA028G02.genome.CDS.2448,group00243
AAA028G02.genome.CDS.2522,group00612
AAA028G02.genome.CDS.1519,group01746
AAA028G02.genome.CDS.2520,group00002
AAA028G02.genome.CDS.2527,group00495
AAA028G02.genome.CDS.2526,group00007
AAA028G02.genome.CDS.2525,group00316
AAA028G02.genome.CDS.2524,group01135
AAA028G02.genome.CDS.2440,group00244
AAA028G02.genome.CDS.1512,group03484
AAA028G02.genome.CDS.2529,group00006
AAA028G02.genome.CDS.1510,group04038
AAA028G02.genome.CDS.1517,group03498
AAA028G02.genome.CDS.2445,group00088
AAA028G02.genome.CDS.2446,group00909
AAA028G02.genome.CDS.2539,group00724
AAA028G02.genome.CDS.2493,group00698
AAA028G02.genome.CDS.2433,group00410
AAA028G02.genome.CDS.2492,group00255
AAA028G02.genome.CDS.2106,group00567
AAA028G02.genome.CDS.2558,group00764
AAA028G02.genome.CDS.1561,group00516
AAA028G02.genome.CDS.2349,group00326
AAA028G02.genome.CDS.1566,group03641
AAA028G02.genome.CDS.2431,group01015
AAA028G02.genome.CDS.2061,group00450
AAA028G02.genome.CDS.1408,group07481
AAA028G02.genome.CDS.1691,group04108
AAA028G02.genome.CDS.1692,group00988
AAA028G02.genome.CDS.1693,group02085
AAA028G02.genome.CDS.1694,group00290
AAA028G02.genome.CDS.1695,group01793
AAA028G02.genome.CDS.1696,group01352
AAA028G02.genome.CDS.1697,group00038
AAA028G02.genome.CDS.1698,group05332
AAA028G02.genome.CDS.1699,group02792
AAA028G02.genome.CDS.2494,group00723
AAA028G02.genome.CDS.2345,group00565
AAA028G02.genome.CDS.1941,group00713
AAA028G02.genome.CDS.1996,group00288
AAA028G02.genome.CDS.1438,group01114
AAA028G02.genome.CDS.2565,group00896
AAA028G02.genome.CDS.2089,group00318
AAA028G02.genome.CDS.2430,group00217
AAA028G02.genome.CDS.2488,group00502
AAA028G02.genome.CDS.1939,group00221
AAA028G02.genome.CDS.1831,group01565
AAA028G02.genome.CDS.1832,group01398
AAA028G02.genome.CDS.1833,group01527
AAA028G02.genome.CDS.1834,group01365
AAA028G02.genome.CDS.1835,group00539
AAA028G02.genome.CDS.1836,group00043
AAA028G02.genome.CDS.1837,group00504
AAA028G02.genome.CDS.1931,group00002
AAA028G02.genome.CDS.1839,group01645
AAA028G02.genome.CDS.1933,group00795
AAA028G02.genome.CDS.1932,group00635
AAA028G02.genome.CDS.1935,group00026
AAA028G02.genome.CDS.1934,group00203
AAA028G02.genome.CDS.1937,group00140
AAA028G02.genome.CDS.1936,group00026
AAA028G02.genome.CDS.2555,group00688
AAA028G02.genome.CDS.2462,group01281
AAA028G02.genome.CDS.1948,group01118
AAA028G02.genome.CDS.1949,group00181
AAA028G02.genome.CDS.2463,group01847
AAA028G02.genome.CDS.1944,group00112
AAA028G02.genome.CDS.2295,group00832
AAA028G02.genome.CDS.1946,group00987
AAA028G02.genome.CDS.1947,group02329
AAA028G02.genome.CDS.1940,group00153
AAA028G02.genome.CDS.2460,group00557
AAA028G02.genome.CDS.1943,group00661
AAA028G02.genome.CDS.944,group00800
AAA028G02.genome.CDS.1347,group07471
AAA028G02.genome.CDS.1344,group07469
AAA028G02.genome.CDS.2234,group00357
AAA028G02.genome.CDS.2233,group01290
AAA028G02.genome.CDS.2232,group01027
AAA028G02.genome.CDS.2231,group01055
AAA028G02.genome.CDS.1341,group00141
AAA028G02.genome.CDS.1467,group05503
AAA028G02.genome.CDS.1466,group07393
AAA028G02.genome.CDS.1464,group07394
AAA028G02.genome.CDS.1463,group07395
AAA028G02.genome.CDS.1462,group07396
AAA028G02.genome.CDS.1348,group05499
AAA028G02.genome.CDS.1460,group07398
AAA028G02.genome.CDS.2336,group01703
AAA028G02.genome.CDS.2083,group00218
AAA028G02.genome.CDS.2432,group00718
AAA028G02.genome.CDS.1533,group01228
AAA028G02.genome.CDS.2227,group00839
AAA028G02.genome.CDS.2465,group00946
AAA028G02.genome.CDS.2289,group00876
AAA028G02.genome.CDS.1548,group01811
AAA028G02.genome.CDS.1830,group01393
AAA028G02.genome.CDS.1571,group05340
AAA028G02.genome.CDS.2188,group00712
AAA028G02.genome.CDS.2250,group00136
AAA028G02.genome.CDS.2087,group00477
AAA028G02.genome.CDS.1371,group01033
AAA028G02.genome.CDS.2279,group00296
AAA028G02.genome.CDS.1538,group03584
AAA028G02.genome.CDS.2523,group00014
AAA028G02.genome.CDS.2309,group00313
AAA028G02.genome.CDS.2308,group00659
AAA028G02.genome.CDS.2117,group00090
AAA028G02.genome.CDS.2303,group00498
AAA028G02.genome.CDS.2302,group00079
AAA028G02.genome.CDS.2301,group00360
AAA028G02.genome.CDS.2300,group00332
AAA028G02.genome.CDS.2307,group00314
AAA028G02.genome.CDS.2306,group00293
AAA028G02.genome.CDS.2305,group00377
AAA028G02.genome.CDS.2304,group01086
AAA028G02.genome.CDS.1769,group00486
AAA028G02.genome.CDS.2278,group00412
AAA028G02.genome.CDS.1605,group00343
AAA028G02.genome.CDS.1768,group00390
AAA028G02.genome.CDS.1642,group00748
AAA028G02.genome.CDS.1641,group00984
AAA028G02.genome.CDS.1640,group00224
AAA028G02.genome.CDS.1647,group01251
AAA028G02.genome.CDS.1646,group01331
AAA028G02.genome.CDS.1645,group01375
AAA028G02.genome.CDS.1644,group01330
AAA028G02.genome.CDS.1760,group00676
AAA028G02.genome.CDS.1761,group00913
AAA028G02.genome.CDS.1649,group00009
AAA028G02.genome.CDS.1648,group00510
AAA028G02.genome.CDS.1764,group00773
AAA028G02.genome.CDS.1765,group00263
AAA028G02.genome.CDS.1766,group07428
AAA028G02.genome.CDS.1767,group01051
AAA028G02.genome.CDS.2156,group07441
AAA028G02.genome.CDS.2157,group00456
AAA028G02.genome.CDS.2154,group00143
AAA028G02.genome.CDS.2155,group00571
AAA028G02.genome.CDS.2152,group00630
AAA028G02.genome.CDS.1601,group01106
AAA028G02.genome.CDS.2150,group00193
AAA028G02.genome.CDS.2151,group00591
AAA028G02.genome.CDS.2017,group00991
AAA028G02.genome.CDS.2016,group01067
AAA028G02.genome.CDS.2015,group00968
AAA028G02.genome.CDS.1530,group01723
AAA028G02.genome.CDS.2013,group00972
AAA028G02.genome.CDS.2012,group00927
AAA028G02.genome.CDS.2011,group01020
AAA028G02.genome.CDS.2159,group00189
AAA028G02.genome.CDS.2660,group00175
AAA028G02.genome.CDS.2661,group00091
AAA028G02.genome.CDS.2662,group00198
AAA028G02.genome.CDS.2663,group00419
AAA028G02.genome.CDS.2664,group00148
AAA028G02.genome.CDS.2665,group00092
AAA028G02.genome.CDS.2666,group00093
AAA028G02.genome.CDS.2667,group00055
AAA028G02.genome.CDS.2668,group00046
AAA028G02.genome.CDS.2669,group00015
AAA028G02.genome.CDS.2202,group00483
AAA028G02.genome.CDS.2404,group01283
AAA028G02.genome.CDS.2405,group01042
AAA028G02.genome.CDS.2406,group00432
AAA028G02.genome.CDS.2407,group00734
AAA028G02.genome.CDS.2400,group00711
AAA028G02.genome.CDS.2401,group00760
AAA028G02.genome.CDS.2402,group01127
AAA028G02.genome.CDS.2403,group00774
AAA028G02.genome.CDS.2408,group00596
AAA028G02.genome.CDS.2409,group00670
AAA028G02.genome.CDS.2027,group02544
AAA028G02.genome.CDS.2619,group03564
AAA028G02.genome.CDS.1346,group07467
AAA028G02.genome.CDS.1498,group00111
AAA028G02.genome.CDS.1499,group01919
AAA028G02.genome.CDS.1496,group05289
AAA028G02.genome.CDS.1497,group07401
AAA028G02.genome.CDS.1494,group07403
AAA028G02.genome.CDS.1495,group07402
AAA028G02.genome.CDS.1492,group07405
AAA028G02.genome.CDS.1493,group07404
AAA028G02.genome.CDS.1490,group02014
AAA028G02.genome.CDS.1491,group05290
AAA028G02.genome.CDS.2618,group03545
AAA028G02.genome.CDS.1795,group00044
AAA028G02.genome.CDS.1794,group00766
AAA028G02.genome.CDS.1797,group00891
AAA028G02.genome.CDS.1796,group00375
AAA028G02.genome.CDS.1370,group00543
AAA028G02.genome.CDS.1790,group07437
AAA028G02.genome.CDS.1793,group00260
AAA028G02.genome.CDS.1792,group00429
AAA028G02.genome.CDS.1799,group00925
AAA028G02.genome.CDS.1798,group00128
AAA028G02.genome.CDS.2578,group00428
AAA028G02.genome.CDS.2272,group00048
AAA028G02.genome.CDS.1380,group03956
AAA028G02.genome.CDS.1381,group02720
AAA028G02.genome.CDS.2277,group00297
AAA028G02.genome.CDS.2276,group00227
AAA028G02.genome.CDS.2275,group00893
AAA028G02.genome.CDS.2274,group00444
AAA028G02.genome.CDS.2570,group01682
AAA028G02.genome.CDS.2571,group00374
AAA028G02.genome.CDS.1421,group00639
AAA028G02.genome.CDS.1389,group02449
AAA028G02.genome.CDS.2574,group00617
AAA028G02.genome.CDS.1426,group02922
AAA028G02.genome.CDS.2449,group00030
AAA028G02.genome.CDS.2577,group00855
AAA028G02.genome.CDS.1975,group01141
AAA028G02.genome.CDS.1974,group01481
AAA028G02.genome.CDS.1977,group01099
AAA028G02.genome.CDS.2380,group01125
AAA028G02.genome.CDS.1971,group04808
AAA028G02.genome.CDS.1970,group01196
AAA028G02.genome.CDS.1973,group01791
AAA028G02.genome.CDS.1972,group00073
AAA028G02.genome.CDS.2447,group00321
AAA028G02.genome.CDS.1661,group02053
AAA028G02.genome.CDS.1979,group00918
AAA028G02.genome.CDS.1978,group00827
AAA028G02.genome.CDS.1409,group07480
AAA028G02.genome.CDS.2322,group00588
AAA028G02.genome.CDS.1771,group03017
AAA028G02.genome.CDS.1951,group05507
AAA028G02.genome.CDS.1549,group02223
AAA028G02.genome.CDS.1345,group07468
AAA028G02.genome.CDS.1540,group00936
AAA028G02.genome.CDS.1989,group02168
AAA028G02.genome.CDS.2473,group00886
AAA028G02.genome.CDS.1543,group00843
AAA028G02.genome.CDS.2475,group00848
AAA028G02.genome.CDS.2474,group00862
AAA028G02.genome.CDS.1546,group01551
AAA028G02.genome.CDS.2476,group00792
AAA028G02.genome.CDS.1980,group01626
AAA028G02.genome.CDS.2478,group00937
AAA028G02.genome.CDS.1982,group00806
AAA028G02.genome.CDS.1983,group00652
AAA028G02.genome.CDS.1984,group00767
AAA028G02.genome.CDS.1985,group01149
AAA028G02.genome.CDS.37,group07474
AAA028G02.genome.CDS.1987,group00402
AAA028G02.genome.CDS.1881,group00739
AAA028G02.genome.CDS.2201,group00076
AAA028G02.genome.CDS.2223,group05341
AAA028G02.genome.CDS.2597,group00628
AAA028G02.genome.CDS.1377,group01855
AAA028G02.genome.CDS.2594,group00478
AAA028G02.genome.CDS.1376,group00537
AAA028G02.genome.CDS.1809,group00442
AAA028G02.genome.CDS.1808,group00372
AAA028G02.genome.CDS.1882,group01091
AAA028G02.genome.CDS.1375,group02596
AAA028G02.genome.CDS.1581,group00349
AAA028G02.genome.CDS.1801,group00322
AAA028G02.genome.CDS.1885,group01545
AAA028G02.genome.CDS.1803,group00459
AAA028G02.genome.CDS.1802,group00237
AAA028G02.genome.CDS.1805,group00220
AAA028G02.genome.CDS.1804,group01265
AAA028G02.genome.CDS.1807,group00251
AAA028G02.genome.CDS.1806,group00287
AAA028G02.genome.CDS.2585,group00350
AAA028G02.genome.CDS.2584,group00267
AAA028G02.genome.CDS.2587,group00229
AAA028G02.genome.CDS.2586,group00609
AAA028G02.genome.CDS.1878,group00418
AAA028G02.genome.CDS.2580,group00303
AAA028G02.genome.CDS.2583,group00673
AAA028G02.genome.CDS.2582,group00903
AAA028G02.genome.CDS.1431,group02564
AAA028G02.genome.CDS.1875,group01006
AAA028G02.genome.CDS.1876,group01147
AAA028G02.genome.CDS.2050,group00075
AAA028G02.genome.CDS.2589,group00123
AAA028G02.genome.CDS.2588,group00807
AAA028G02.genome.CDS.1872,group00834
AAA028G02.genome.CDS.1873,group00743
AAA028G02.genome.CDS.1929,group00001
AAA028G02.genome.CDS.1339,group07461
AAA028G02.genome.CDS.2453,group00643
AAA028G02.genome.CDS.1337,group07463
AAA028G02.genome.CDS.1336,group07464
AAA028G02.genome.CDS.1335,group07443
AAA028G02.genome.CDS.1334,group07444
AAA028G02.genome.CDS.1333,group07445
AAA028G02.genome.CDS.1332,group07446
AAA028G02.genome.CDS.1331,group07447
AAA028G02.genome.CDS.1840,group00310
AAA028G02.genome.CDS.2273,group00883
AAA028G02.genome.CDS.1382,group07472
AAA028G02.genome.CDS.2628,group00081
AAA028G02.genome.CDS.2629,group00191
AAA028G02.genome.CDS.2579,group00351
AAA028G02.genome.CDS.2624,group00759
AAA028G02.genome.CDS.531,group05345
AAA028G02.genome.CDS.2626,group00094
AAA028G02.genome.CDS.2627,group00254
AAA028G02.genome.CDS.2620,group00479
AAA028G02.genome.CDS.2026,group00869
AAA028G02.genome.CDS.2622,group01570
AAA028G02.genome.CDS.2623,group00077
AAA028G02.genome.CDS.1724,group01261
AAA028G02.genome.CDS.1725,group00900
AAA028G02.genome.CDS.1726,group01085
AAA028G02.genome.CDS.1727,group01155
AAA028G02.genome.CDS.1721,group00554
AAA028G02.genome.CDS.1722,group00241
AAA028G02.genome.CDS.1723,group00223
AAA028G02.genome.CDS.1383,group02474
AAA028G02.genome.CDS.1386,group03395
AAA028G02.genome.CDS.1728,group02119
AAA028G02.genome.CDS.1729,group07411
AAA028G02.genome.CDS.1558,group07408
AAA028G02.genome.CDS.2299,group00331
AAA028G02.genome.CDS.2298,group00441
AAA028G02.genome.CDS.2352,group00461
AAA028G02.genome.CDS.2353,group00606
AAA028G02.genome.CDS.2354,group00183
AAA028G02.genome.CDS.2355,group00880
AAA028G02.genome.CDS.2356,group00976
AAA028G02.genome.CDS.1448,group02456
AAA028G02.genome.CDS.2291,group00222
AAA028G02.genome.CDS.2290,group00877
AAA028G02.genome.CDS.2293,group00722
AAA028G02.genome.CDS.2292,group00769
AAA028G02.genome.CDS.1508,group00013
AAA028G02.genome.CDS.2294,group00697
AAA028G02.genome.CDS.2297,group00881
AAA028G02.genome.CDS.2296,group00812
AAA028G02.genome.CDS.2192,group00884
AAA028G02.genome.CDS.2193,group00789
AAA028G02.genome.CDS.2059,group00373
AAA028G02.genome.CDS.2191,group00790
AAA028G02.genome.CDS.2196,group00726
AAA028G02.genome.CDS.2197,group00650
AAA028G02.genome.CDS.2194,group00912
AAA028G02.genome.CDS.1422,group00451
AAA028G02.genome.CDS.2053,group00078
AAA028G02.genome.CDS.2215,group00416
AAA028G02.genome.CDS.2051,group00164
AAA028G02.genome.CDS.2199,group00749
AAA028G02.genome.CDS.2057,group00124
AAA028G02.genome.CDS.2572,group00393
AAA028G02.genome.CDS.2055,group00513
AAA028G02.genome.CDS.2054,group00168
AAA028G02.genome.CDS.1751,group07423
AAA028G02.genome.CDS.1750,group07424
AAA028G02.genome.CDS.1753,group02331
AAA028G02.genome.CDS.1420,group01868
AAA028G02.genome.CDS.1755,group00914
AAA028G02.genome.CDS.1754,group00238
AAA028G02.genome.CDS.1757,group01090
AAA028G02.genome.CDS.1756,group01022
AAA028G02.genome.CDS.1759,group01009
AAA028G02.genome.CDS.1758,group00836
AAA028G02.genome.CDS.2216,group00721
AAA028G02.genome.CDS.2028,group01227
AAA028G02.genome.CDS.2575,group00113
AAA028G02.genome.CDS.1618,group03474
AAA028G02.genome.CDS.1619,group01420
AAA028G02.genome.CDS.1591,group00358
AAA028G02.genome.CDS.1590,group00448
AAA028G02.genome.CDS.1597,group00385
AAA028G02.genome.CDS.1596,group00233
AAA028G02.genome.CDS.1595,group00420
AAA028G02.genome.CDS.1440,group00729
AAA028G02.genome.CDS.1610,group00705
AAA028G02.genome.CDS.1612,group02761
AAA028G02.genome.CDS.1613,group00978
AAA028G02.genome.CDS.1614,group00983
AAA028G02.genome.CDS.1615,group00169
AAA028G02.genome.CDS.1616,group00638
AAA028G02.genome.CDS.1617,group00340
AAA028G02.genome.CDS.2129,group00110
AAA028G02.genome.CDS.2128,group00040
AAA028G02.genome.CDS.131,group07392
AAA028G02.genome.CDS.2126,group01851
AAA028G02.genome.CDS.2125,group01668
AAA028G02.genome.CDS.2142,group00334
AAA028G02.genome.CDS.2123,group00336
AAA028G02.genome.CDS.2122,group00601
AAA028G02.genome.CDS.2121,group00772
AAA028G02.genome.CDS.2120,group00109
AAA028G02.genome.CDS.2659,group00538
AAA028G02.genome.CDS.2658,group00786
AAA028G02.genome.CDS.1976,group01342
AAA028G02.genome.CDS.1950,group07433
AAA028G02.genome.CDS.2023,group02052
AAA028G02.genome.CDS.2651,group05516
AAA028G02.genome.CDS.2650,group07465
AAA028G02.genome.CDS.2653,group00579
AAA028G02.genome.CDS.2652,group04180
AAA028G02.genome.CDS.2655,group00259
AAA028G02.genome.CDS.2654,group01234
AAA028G02.genome.CDS.2657,group00755
AAA028G02.genome.CDS.2656,group01058
AAA028G02.genome.CDS.2534,group01013
AAA028G02.genome.CDS.2535,group00985
AAA028G02.genome.CDS.2536,group00016
AAA028G02.genome.CDS.2537,group00004
AAA028G02.genome.CDS.2530,group00006
AAA028G02.genome.CDS.2438,group00145
AAA028G02.genome.CDS.2532,group01132
AAA028G02.genome.CDS.2533,group01158
AAA028G02.genome.CDS.1504,group00065
AAA028G02.genome.CDS.1505,group00146
AAA028G02.genome.CDS.1506,group00126
AAA028G02.genome.CDS.1507,group02032
AAA028G02.genome.CDS.1500,group00147
AAA028G02.genome.CDS.1501,group00066
AAA028G02.genome.CDS.1502,group00258
AAA028G02.genome.CDS.1503,group00338
AAA028G02.genome.CDS.1387,group03394
AAA028G02.genome.CDS.2175,group00308
AAA028G02.genome.CDS.1518,group01024
AAA028G02.genome.CDS.2567,group00873
AAA028G02.genome.CDS.2153,group00485
AAA028G02.genome.CDS.1456,group03563
AAA028G02.genome.CDS.1470,group07406
AAA028G02.genome.CDS.2569,group00854
AAA028G02.genome.CDS.1468,group07391
AAA028G02.genome.CDS.1578,group00265
AAA028G02.genome.CDS.1472,group00365
AAA028G02.genome.CDS.1384,group03227
AAA028G02.genome.CDS.2350,group00404
AAA028G02.genome.CDS.1513,group02257
AAA028G02.genome.CDS.2542,group00457
AAA028G02.genome.CDS.1429,group03779
AAA028G02.genome.CDS.2441,group00708
AAA028G02.genome.CDS.1474,group00682
AAA028G02.genome.CDS.2443,group00458
AAA028G02.genome.CDS.1701,group02793
AAA028G02.genome.CDS.2442,group00312
AAA028G02.genome.CDS.2544,group00580
AAA028G02.genome.CDS.2383,group07449
AAA028G02.genome.CDS.2229,group01466
AAA028G02.genome.CDS.1379,group02587
AAA028G02.genome.CDS.1378,group00796
AAA028G02.genome.CDS.2387,group01320
AAA028G02.genome.CDS.2386,group01021
AAA028G02.genome.CDS.2385,group07451
AAA028G02.genome.CDS.2384,group00710
AAA028G02.genome.CDS.1373,group00593
AAA028G02.genome.CDS.2221,group00805
AAA028G02.genome.CDS.2222,group00353
AAA028G02.genome.CDS.2388,group00023
AAA028G02.genome.CDS.2224,group00020
AAA028G02.genome.CDS.2225,group05317
AAA028G02.genome.CDS.2226,group00021
AAA028G02.genome.CDS.1516,group02622
AAA028G02.genome.CDS.1845,group00948
AAA028G02.genome.CDS.1844,group00007
AAA028G02.genome.CDS.1928,group00003
AAA028G02.genome.CDS.1846,group00614
AAA028G02.genome.CDS.1841,group01062
AAA028G02.genome.CDS.1515,group03087
AAA028G02.genome.CDS.1843,group00850
AAA028G02.genome.CDS.1842,group00797
AAA028G02.genome.CDS.2444,group00888
AAA028G02.genome.CDS.1923,group00517
AAA028G02.genome.CDS.1920,group00667
AAA028G02.genome.CDS.1514,group01092
AAA028G02.genome.CDS.1926,group00520
AAA028G02.genome.CDS.1848,group00641
AAA028G02.genome.CDS.1924,group07435
AAA028G02.genome.CDS.1925,group00463
AAA028G02.genome.CDS.1415,group02190
