Compound	Name	Formula	Mass	KEGG maps	KEGG CID
cpd08743	cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA	C31H47N7O17P3S	914	<a href=&#39;javascript:addTab("00903","Limonene and pinene degradation","keggMapTabs","build_map","pathway=00903&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Limonene and pinene degradation</a>	C11946
cpd08744	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA	C31H49N7O18P3S	932	<a href=&#39;javascript:addTab("00903","Limonene and pinene degradation","keggMapTabs","build_map","pathway=00903&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Limonene and pinene degradation</a>	C11947
cpd08745	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	C31H47N7O18P3S	930	<a href=&#39;javascript:addTab("00903","Limonene and pinene degradation","keggMapTabs","build_map","pathway=00903&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Limonene and pinene degradation</a>	C11948
cpd08746	3-Isopropylbut-3-enoyl-CoA	C28H43N7O17P3S	874	<a href=&#39;javascript:addTab("00903","Limonene and pinene degradation","keggMapTabs","build_map","pathway=00903&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Limonene and pinene degradation</a>	C11949
cpd08747	3-Isopropylbut-3-enoic acid	C7H11O2	127	<a href=&#39;javascript:addTab("00903","Limonene and pinene degradation","keggMapTabs","build_map","pathway=00903&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Limonene and pinene degradation</a>	C11950
cpd08748	(+)-cis-Isopulegone	C10H16O	152	<a href=&#39;javascript:addTab("00902","Monoterpenoid biosynthesis","keggMapTabs","build_map","pathway=00902&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Monoterpenoid biosynthesis</a>	C11951
cpd08749	(+)-Isomenthone	C10H18O	154	<a href=&#39;javascript:addTab("00902","Monoterpenoid biosynthesis","keggMapTabs","build_map","pathway=00902&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Monoterpenoid biosynthesis</a>	C11952
cpd08750	6,8a-Seco-6,8a-deoxy-5-oxoavermectin &#39;&#39;2b&#39;&#39; aglycone	C33H48O8	572	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11953
cpd08751	5-Oxoavermectin &#39;&#39;2b&#39;&#39; aglycone	C33H46O9	586	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11954
cpd08752	Avermectin B2b aglycone	C33H48O9	588	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11955
cpd08753	Avermectin A2b aglycone	C34H50O9	602	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11956
cpd08754	Avermectin B2b monosaccharide	C40H60O12	732	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11957
cpd08755	Avermectin A2b monosaccharide	C41H62O12	746	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11958
cpd08756	Avermectin B2b	C47H72O15	876	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11959
cpd08757	Avermectin A2b	C48H74O15	890	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11960
cpd08758	6,8a-Seco-6,8a-deoxy-5-oxoavermectin &#39;&#39;1b&#39;&#39; aglycone	C33H46O7	554	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11961
cpd08759	5-Oxoavermectin &#39;&#39;1b&#39;&#39; aglycone	C33H44O8	568	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11962
cpd08760	Avermectin B1b aglycone	C33H46O8	570	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11963
cpd08761	Avermectin A1b aglycone	C34H48O8	584	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11964
cpd08762	Avermectin B1b monosaccharide	C40H58O11	714	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11965
cpd08763	Avermectin A1b monosaccharide	C41H60O11	728	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11966
cpd08764	Avermectin B1b	C47H70O14	858	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11967
cpd08765	Avermectin A1b	C48H72O14	872	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11968
cpd08766	6,8a-Seco-6,8a-deoxy-5-oxoavermectin &#39;&#39;2a&#39;&#39; aglycone	C34H50O8	586	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11969
cpd08767	5-Oxoavermectin &#39;&#39;2a&#39;&#39; aglycone	C34H48O9	600	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11970
cpd08768	Avermectin B2a aglycone	C34H50O9	602	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11971
cpd08769	Avermectin A2a aglycone	C35H52O9	616	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11972
cpd08770	Avermectin B2a monosaccharide	C41H62O12	746	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11973
cpd08771	Avermectin A2a monosaccharide	C42H64O12	760	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11974
cpd08772	Avermectin B2a	C48H74O15	890	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11975
cpd08773	Avermectin A2a	C49H76O15	904	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11976
cpd08774	6,8a-Seco-6,8a-deoxy-5-oxoavermectin &#39;&#39;1a&#39;&#39; aglycone	C34H48O7	568	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11977
cpd08775	5-Oxoavermectin &#39;&#39;1a&#39;&#39; aglycone	C34H46O8	582	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11978
cpd08776	Avermectin B1a aglycone	C34H48O8	584	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11979
cpd08777	Avermectin A1a aglycone	C35H50O8	598	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11980
cpd08778	Avermectin B1a monosaccharide	C41H60O11	728	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11981
cpd08779	Avermectin A1a monosaccharide	C42H62O11	742	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11982
cpd08780	Avermectin B1a	C48H72O14	872	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11983
cpd08781	Avermectin A1a	C49H74O14	886	<a href=&#39;javascript:addTab("01052","Type I polyketide structures","keggMapTabs","build_map","pathway=01052&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Type I polyketide structures</a><br><br><a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11984
cpd08782	Megalomicin A	C44H82N2O15	878	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11985
cpd08783	Megalomicin B	C46H84N2O16	920	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11986
cpd08784	Megalomicin C1	C48H86N2O17	962	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11987
cpd08785	Megalomicin C2	C49H88N2O17	976	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11988
cpd08786	8,8a-Deoxyoleandolide	C20H36O6	372	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11989
cpd08787	Oleandolide	C20H34O7	386	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11990
cpd08788	L-Olivosyl-oleandolide	C26H44O10	516	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11991
cpd08789	L-Oleandrosyl-oleandolide	C27H46O10	530	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11992
cpd08790	10-Deoxymethynolide	C17H28O4	296	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11993
cpd08791	10-Deoxymethymycin,<br>YC-17	C25H44NO6	454	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11994
cpd08792	Neomethymycin	C25H44NO7	470	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11995
cpd08793	Methymycin	C25H44NO7	470	<a href=&#39;javascript:addTab("01052","Type I polyketide structures","keggMapTabs","build_map","pathway=01052&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Type I polyketide structures</a><br><br><a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11996
cpd08794	Narbonolide	C20H32O5	352	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11997
cpd08795	Narbomycin	C28H48NO7	510	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11998
cpd08796	Pikromycin	C28H48NO8	526	<a href=&#39;javascript:addTab("01052","Type I polyketide structures","keggMapTabs","build_map","pathway=01052&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Type I polyketide structures</a><br><br><a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C11999
cpd08797	Protylonolide,<br>Tylactone	C23H38O5	394	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C12000
cpd08798	5-O-beta-D-Mycaminosyltylactone	C31H54NO8	568	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C12001
cpd08799	5-O-beta-D-Mycaminosyltylonolide	C31H52NO10	598	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C12002
cpd08800	Demethyllactenocin	C37H62NO14	744	<a href=&#39;javascript:addTab("00522","Biosynthesis of 12-, 14- and 16-membered macrolides","keggMapTabs","build_map","pathway=00522&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of 12-, 14- and 16-membered macrolides</a>	C12003
cpd08801	Liposidomycin B	C42H65N5O21S	1007	None	C12006
cpd08802	MRD A,<br>Mureidomycin A	C38H48N8O12S	840	None	C12007
cpd08803	Ramoplanin A2	C119H156N21O40Cl	2553	None	C12008
cpd08804	RU-66647,<br>RU66647,<br>HMR-3647,<br>HMR3647,<br>Telithromycin	C43H66N5O10	812	None	C12009
cpd08805	9-(N,N-Dimethylglycylamido)minocycline,<br>DMG-MINO	C27H34N5O8	556	None	C12011
cpd08806	WAY-GAR-936,<br>GAR 936,<br>Tigecycline	C29H39N5O8	585	None	C12012
cpd08807	Daptomycin	C72H98N17O26	1616	None	C12013
cpd08808	Chloroeremomycin	C73H90N10O26Cl2	1592	<a href=&#39;javascript:addTab("01055","Biosynthesis of vancomycin group antibiotics","keggMapTabs","build_map","pathway=01055&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of vancomycin group antibiotics</a>	C12014
cpd08809	A47934	C58H42N7O21SCl3	1309	None	C12016
cpd08810	MK826	C21H21N3O7S2	491	None	C12017
cpd08811	SM-17466	C20H20N4O5S2	460	None	C12018
cpd08812	2-(Biaryl)carbapenems	C21H18NO4	348	None	C12019
cpd08813	Abbott-195773,<br>A-195773,<br>ABT-773,<br>Cethromycin	C42H60N3O10	766	None	C12020
cpd08814	D-Alanyl-phosphate,<br>Alanylphosphate	C3H8NO5P	169	None	C12021
cpd08815	Phosphophosphinate	C6H13NO7P2	273	None	C12022
cpd08816	2-((3-Methoxy-5-(1H-pyrrol-2-yl)-2H-pyrrol-2-ylidene)methyl)-5- undecyl-1H-pyrrole,<br>Undecylprodigiosin	C25H35N3O	393	None	C12023
cpd08817	CDA,<br>Calcium-dependent antibiotic	C67H76N14O26	1492	None	C12024
cpd08818	2,6-Diamino-7-hydroxy-azelaic acid	C9H18N2O5	234	None	C12025
cpd08819	L-3,5-Dihydroxyphenylglycine,<br>3,5-Dihydroxy-phenylglycine	C8H9NO4	183	<a href=&#39;javascript:addTab("01055","Biosynthesis of vancomycin group antibiotics","keggMapTabs","build_map","pathway=01055&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of vancomycin group antibiotics</a>	C12026
cpd08820	2-Amino-9,10-epoxy-8-oxodecanoic acid	C10H17NO4	215	None	C12027
cpd08821	2-Butenyl-4-methylthreonine,<br>(E)-2-Butenyl-4-methyl-threonine	C9H17NO3	187	None	C12029
cpd08822	Mycosubtilin	C37H51N12O14R	888	<a href=&#39;javascript:addTab("01054","Nonribosomal peptide structures","keggMapTabs","build_map","pathway=01054&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Nonribosomal peptide structures</a>	C12030
cpd08823	Chlorobiocin,<br>Clorobiocin	C35H36N2O11Cl	695	<a href=&#39;javascript:addTab("00401","Novobiocin biosynthesis","keggMapTabs","build_map","pathway=00401&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Novobiocin biosynthesis</a>	C12032
cpd08824	p-Aminophenylalanine	C9H12N2O2	180	None	C12033
cpd08825	Oritavancin,<br>LY333328,<br>Chlorobiphenyl-chloroeremomycin	C86H99N10O26Cl3	1792	None	C12034
cpd08826	Chlorobiphenyl-vancomycin	C79H85N9O24Cl3	1648	None	C12035
cpd08827	Chlorobiphenyl-desleucyl-vancomycin	C72H71N8O23Cl3	1520	None	C12036
cpd08828	Pyochelin	C14H15N2O3S2	323	<a href=&#39;javascript:addTab("01053","Biosynthesis of siderophore group nonribosomal peptides","keggMapTabs","build_map","pathway=01053&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of siderophore group nonribosomal peptides</a>	C12037
cpd08829	Yersiniabactin	C21H26N3O4S3	480	<a href=&#39;javascript:addTab("01053","Biosynthesis of siderophore group nonribosomal peptides","keggMapTabs","build_map","pathway=01053&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of siderophore group nonribosomal peptides</a>	C12038
cpd08830	Desoxyepothilone b,<br>Epothilone D	C27H41NO5S	491	None	C12039
cpd08831	Telomestatin	C26H14N8O7S	582	None	C12040
cpd08832	Tyrocidine	C66H88N13O13	1270	<a href=&#39;javascript:addTab("01054","Nonribosomal peptide structures","keggMapTabs","build_map","pathway=01054&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Nonribosomal peptide structures</a>	C12041
cpd08833	Fengycin	C72H109N12O20	1461	<a href=&#39;javascript:addTab("01054","Nonribosomal peptide structures","keggMapTabs","build_map","pathway=01054&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Nonribosomal peptide structures</a>	C12042
cpd08834	Surfactin	C53H91N7O13	1033	<a href=&#39;javascript:addTab("01054","Nonribosomal peptide structures","keggMapTabs","build_map","pathway=01054&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Nonribosomal peptide structures</a>	C12043
cpd08835	Rifamycin SV,<br>Rifamycin	C37H46NO12	696	<a href=&#39;javascript:addTab("01051","Biosynthesis of ansamycins","keggMapTabs","build_map","pathway=01051&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of ansamycins</a>	C12044
cpd08836	2&#39;-De(acetylmethylamino)-2&#39;-methylmaytansine,<br>Maytansinol isobutyrate,<br>C15003P3,<br>Antibiotic C15003P3,<br>Ansamitosin P3,<br>Ansamitocin P3	C32H43N2O9Cl	634	<a href=&#39;javascript:addTab("01052","Type I polyketide structures","keggMapTabs","build_map","pathway=01052&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Type I polyketide structures</a><br><br><a href=&#39;javascript:addTab("01051","Biosynthesis of ansamycins","keggMapTabs","build_map","pathway=01051&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Biosynthesis of ansamycins</a>	C12045
cpd08837	Teichomycin A2 factor 2,<br>Teicoplanin A2-2	C88H96N9O33Cl2	1876	None	C12046
cpd08838	Nanchangmycin	C47H77O14	865	None	C12047
cpd08839	Griseorhodin A	C25H16O12	508	None	C12048
cpd08840	Neocarzinostatin chromophore	C35H34NO12	660	None	C12049
cpd08841	Everninomicin,<br>Everninomycin	C70H96NO38Cl2	1628	None	C12050
cpd08842	BRN1070340,<br>Micrococcin P1,<br>Micrococcin	C48H49N13O9S6	1143	None	C12051
cpd08843	Thiocillin	C49H51N13O8S6	1141	None	C12052
cpd08844	Nosiheptide	C51H43N13O12S6	1221	None	C12053
cpd08845	Thiostrepton	C72H86N19O18S5	1664	None	C12054
cpd08846	Sulfamycin B	C54H52N16O16S2	1244	None	C12055
cpd08847	Actinonin	C19H35N3O5	385	None	C12056
cpd08848	Cyclothialidine	C26H34N5O12S	640	None	C12057
cpd08849	Cerulenin	C12H17NO3	223	None	C12058
cpd08850	Triclosan	C12H7O2Cl3	288	None	C12059
cpd08851	Naphthyl dipeptide	C25H32N4O2	420	None	C12062
cpd08852	Resorcinol monoacetate	C8H8O3	152	None	C12064
