Rhodoluna.genome.CDS.1931,group01871
Rhodoluna.genome.CDS.1829,group05875
Rhodoluna.genome.CDS.1828,group04116
Rhodoluna.genome.CDS.2732,group00074
Rhodoluna.genome.CDS.2045,group00591
Rhodoluna.genome.CDS.2730,group00215
Rhodoluna.genome.CDS.2731,group00281
Rhodoluna.genome.CDS.2737,group00103
Rhodoluna.genome.CDS.1739,group00582
Rhodoluna.genome.CDS.1738,group00035
Rhodoluna.genome.CDS.1733,group00177
Rhodoluna.genome.CDS.1732,group00512
Rhodoluna.genome.CDS.1731,group03109
Rhodoluna.genome.CDS.2735,group00039
Rhodoluna.genome.CDS.1737,group06533
Rhodoluna.genome.CDS.1736,group02699
Rhodoluna.genome.CDS.1735,group00058
Rhodoluna.genome.CDS.1734,group08121
Rhodoluna.genome.CDS.893,group06675
Rhodoluna.genome.CDS.891,group01317
Rhodoluna.genome.CDS.1609,group12977
Rhodoluna.genome.CDS.1608,group00331
Rhodoluna.genome.CDS.1607,group00914
Rhodoluna.genome.CDS.1606,group01298
Rhodoluna.genome.CDS.1605,group00801
Rhodoluna.genome.CDS.1604,group00669
Rhodoluna.genome.CDS.1603,group00643
Rhodoluna.genome.CDS.1602,group00793
Rhodoluna.genome.CDS.1601,group00037
Rhodoluna.genome.CDS.1600,group00337
Rhodoluna.genome.CDS.1548,group00637
Rhodoluna.genome.CDS.1549,group03396
Rhodoluna.genome.CDS.1540,group00056
Rhodoluna.genome.CDS.1541,group02143
Rhodoluna.genome.CDS.1542,group00199
Rhodoluna.genome.CDS.1543,group01846
Rhodoluna.genome.CDS.1544,group00256
Rhodoluna.genome.CDS.1545,group06547
Rhodoluna.genome.CDS.1547,group00011
Rhodoluna.genome.CDS.2707,group12229
Rhodoluna.genome.CDS.2706,group00349
Rhodoluna.genome.CDS.2705,group01203
Rhodoluna.genome.CDS.2704,group00573
Rhodoluna.genome.CDS.2703,group01586
Rhodoluna.genome.CDS.2702,group02109
Rhodoluna.genome.CDS.2701,group03444
Rhodoluna.genome.CDS.2700,group00427
Rhodoluna.genome.CDS.2709,group08533
Rhodoluna.genome.CDS.2708,group00597
Rhodoluna.genome.CDS.2633,group06648
Rhodoluna.genome.CDS.2632,group06649
Rhodoluna.genome.CDS.2631,group05705
Rhodoluna.genome.CDS.2630,group00629
Rhodoluna.genome.CDS.2637,group04154
Rhodoluna.genome.CDS.2636,group00750
Rhodoluna.genome.CDS.2635,group00954
Rhodoluna.genome.CDS.2634,group03595
Rhodoluna.genome.CDS.2639,group01981
Rhodoluna.genome.CDS.2638,group03792
Rhodoluna.genome.CDS.2389,group00705
Rhodoluna.genome.CDS.2388,group00704
Rhodoluna.genome.CDS.2383,group03320
Rhodoluna.genome.CDS.2382,group02895
Rhodoluna.genome.CDS.2381,group03511
Rhodoluna.genome.CDS.2380,group12056
Rhodoluna.genome.CDS.2387,group07320
Rhodoluna.genome.CDS.2386,group00797
Rhodoluna.genome.CDS.2385,group04578
Rhodoluna.genome.CDS.2384,group00569
Rhodoluna.genome.CDS.2419,group00013
Rhodoluna.genome.CDS.2418,group00186
Rhodoluna.genome.CDS.2149,group05873
Rhodoluna.genome.CDS.2148,group00832
Rhodoluna.genome.CDS.2145,group00548
Rhodoluna.genome.CDS.2144,group10969
Rhodoluna.genome.CDS.2147,group10443
Rhodoluna.genome.CDS.2146,group00487
Rhodoluna.genome.CDS.2417,group12962
Rhodoluna.genome.CDS.2416,group05640
Rhodoluna.genome.CDS.2143,group00405
Rhodoluna.genome.CDS.2414,group00857
Rhodoluna.genome.CDS.1762,group00576
Rhodoluna.genome.CDS.2569,group00845
Rhodoluna.genome.CDS.2568,group00821
Rhodoluna.genome.CDS.2567,group00825
Rhodoluna.genome.CDS.2566,group00764
Rhodoluna.genome.CDS.2565,group00714
Rhodoluna.genome.CDS.2564,group00611
Rhodoluna.genome.CDS.2563,group03268
Rhodoluna.genome.CDS.2562,group00328
Rhodoluna.genome.CDS.2561,group04318
Rhodoluna.genome.CDS.2560,group04577
Rhodoluna.genome.CDS.2099,group00297
Rhodoluna.genome.CDS.2098,group00227
Rhodoluna.genome.CDS.2097,group01353
Rhodoluna.genome.CDS.2096,group11758
Rhodoluna.genome.CDS.2095,group00063
Rhodoluna.genome.CDS.2094,group00948
Rhodoluna.genome.CDS.2093,group00082
Rhodoluna.genome.CDS.2092,group05289
Rhodoluna.genome.CDS.2091,group00129
Rhodoluna.genome.CDS.2090,group00095
Rhodoluna.genome.CDS.1944,group00852
Rhodoluna.genome.CDS.1945,group00889
Rhodoluna.genome.CDS.1946,group03537
Rhodoluna.genome.CDS.1947,group00075
Rhodoluna.genome.CDS.1940,group12709
Rhodoluna.genome.CDS.1941,group00054
Rhodoluna.genome.CDS.1942,group12938
Rhodoluna.genome.CDS.1943,group00071
Rhodoluna.genome.CDS.1948,group00164
Rhodoluna.genome.CDS.1949,group00194
Rhodoluna.genome.CDS.1838,group00127
Rhodoluna.genome.CDS.1839,group00642
Rhodoluna.genome.CDS.1830,group01921
Rhodoluna.genome.CDS.1831,group00700
Rhodoluna.genome.CDS.1832,group06248
Rhodoluna.genome.CDS.1833,group02824
Rhodoluna.genome.CDS.1834,group00100
Rhodoluna.genome.CDS.1835,group00131
Rhodoluna.genome.CDS.1836,group00155
Rhodoluna.genome.CDS.1837,group01261
Rhodoluna.genome.CDS.1728,group01013
Rhodoluna.genome.CDS.1729,group00505
Rhodoluna.genome.CDS.1724,group04388
Rhodoluna.genome.CDS.1725,group00834
Rhodoluna.genome.CDS.1726,group04090
Rhodoluna.genome.CDS.1727,group05625
Rhodoluna.genome.CDS.1720,group00697
Rhodoluna.genome.CDS.1721,group05402
Rhodoluna.genome.CDS.1722,group00690
Rhodoluna.genome.CDS.1723,group00302
Rhodoluna.genome.CDS.1610,group04166
Rhodoluna.genome.CDS.1611,group05979
Rhodoluna.genome.CDS.1612,group00498
Rhodoluna.genome.CDS.1613,group09639
Rhodoluna.genome.CDS.1614,group00942
Rhodoluna.genome.CDS.1615,group02481
Rhodoluna.genome.CDS.1616,group00009
Rhodoluna.genome.CDS.1617,group11426
Rhodoluna.genome.CDS.1618,group00771
Rhodoluna.genome.CDS.1619,group01186
Rhodoluna.genome.CDS.1539,group00231
Rhodoluna.genome.CDS.1538,group01376
Rhodoluna.genome.CDS.1535,group00625
Rhodoluna.genome.CDS.1534,group02614
Rhodoluna.genome.CDS.1537,group08001
Rhodoluna.genome.CDS.1536,group00624
Rhodoluna.genome.CDS.1531,group00562
Rhodoluna.genome.CDS.1530,group00232
Rhodoluna.genome.CDS.1533,group01385
Rhodoluna.genome.CDS.1532,group00161
Rhodoluna.genome.CDS.376,group02475
Rhodoluna.genome.CDS.772,group06383
Rhodoluna.genome.CDS.2624,group06372
Rhodoluna.genome.CDS.2625,group00686
Rhodoluna.genome.CDS.2626,group10861
Rhodoluna.genome.CDS.2627,group03290
Rhodoluna.genome.CDS.2620,group01259
Rhodoluna.genome.CDS.2621,group12170
Rhodoluna.genome.CDS.2622,group06650
Rhodoluna.genome.CDS.2623,group00383
Rhodoluna.genome.CDS.2628,group00826
Rhodoluna.genome.CDS.2629,group00681
Rhodoluna.genome.CDS.1441,group00221
Rhodoluna.genome.CDS.1440,group05637
Rhodoluna.genome.CDS.1443,group08420
Rhodoluna.genome.CDS.1442,group01300
Rhodoluna.genome.CDS.1445,group00153
Rhodoluna.genome.CDS.1444,group08235
Rhodoluna.genome.CDS.1447,group00045
Rhodoluna.genome.CDS.1446,group00713
Rhodoluna.genome.CDS.1449,group00510
Rhodoluna.genome.CDS.1448,group06255
Rhodoluna.genome.CDS.2398,group06903
Rhodoluna.genome.CDS.2399,group00655
Rhodoluna.genome.CDS.2394,group00559
Rhodoluna.genome.CDS.2395,group05192
Rhodoluna.genome.CDS.2396,group04346
Rhodoluna.genome.CDS.2397,group04151
Rhodoluna.genome.CDS.2390,group00038
Rhodoluna.genome.CDS.2391,group01347
Rhodoluna.genome.CDS.2393,group00007
Rhodoluna.genome.CDS.2408,group00316
Rhodoluna.genome.CDS.2409,group00765
Rhodoluna.genome.CDS.2158,group00640
Rhodoluna.genome.CDS.2159,group00093
Rhodoluna.genome.CDS.2404,group01962
Rhodoluna.genome.CDS.2157,group01581
Rhodoluna.genome.CDS.2406,group03280
Rhodoluna.genome.CDS.2155,group00665
Rhodoluna.genome.CDS.2152,group00885
Rhodoluna.genome.CDS.2153,group00183
Rhodoluna.genome.CDS.2402,group06192
Rhodoluna.genome.CDS.2151,group01008
Rhodoluna.genome.CDS.2718,group08095
Rhodoluna.genome.CDS.2719,group03763
Rhodoluna.genome.CDS.2710,group00090
Rhodoluna.genome.CDS.2711,group09633
Rhodoluna.genome.CDS.2712,group00613
Rhodoluna.genome.CDS.2713,group00335
Rhodoluna.genome.CDS.2714,group14024
Rhodoluna.genome.CDS.2715,group03028
Rhodoluna.genome.CDS.2716,group00902
Rhodoluna.genome.CDS.2717,group02125
Rhodoluna.genome.CDS.2570,group00916
Rhodoluna.genome.CDS.2571,group00894
Rhodoluna.genome.CDS.2572,group00896
Rhodoluna.genome.CDS.2573,group00820
Rhodoluna.genome.CDS.2574,group00873
Rhodoluna.genome.CDS.2575,group08128
Rhodoluna.genome.CDS.2576,group00854
Rhodoluna.genome.CDS.2577,group13688
Rhodoluna.genome.CDS.2578,group07818
Rhodoluna.genome.CDS.2579,group01797
Rhodoluna.genome.CDS.2080,group03521
Rhodoluna.genome.CDS.2081,group11743
Rhodoluna.genome.CDS.2082,group00769
Rhodoluna.genome.CDS.2083,group07304
Rhodoluna.genome.CDS.2084,group02749
Rhodoluna.genome.CDS.2085,group00274
Rhodoluna.genome.CDS.2086,group02220
Rhodoluna.genome.CDS.2087,group00273
Rhodoluna.genome.CDS.2088,group00208
Rhodoluna.genome.CDS.2089,group00151
Rhodoluna.genome.CDS.1849,group00470
Rhodoluna.genome.CDS.1848,group05602
Rhodoluna.genome.CDS.1845,group06511
Rhodoluna.genome.CDS.1844,group00188
Rhodoluna.genome.CDS.1847,group00543
Rhodoluna.genome.CDS.1846,group00193
Rhodoluna.genome.CDS.1841,group00621
Rhodoluna.genome.CDS.1840,group00205
Rhodoluna.genome.CDS.1843,group00086
Rhodoluna.genome.CDS.1842,group00084
Rhodoluna.genome.CDS.1385,group00000
Rhodoluna.genome.CDS.2695,group04870
Rhodoluna.genome.CDS.967,group06913
Rhodoluna.genome.CDS.2346,group00755
Rhodoluna.genome.CDS.2697,group00489
Rhodoluna.genome.CDS.2696,group00011
Rhodoluna.genome.CDS.2691,group01669
Rhodoluna.genome.CDS.2342,group07223
Rhodoluna.genome.CDS.2340,group07495
Rhodoluna.genome.CDS.1999,group01277
Rhodoluna.genome.CDS.1998,group06680
Rhodoluna.genome.CDS.1996,group01946
Rhodoluna.genome.CDS.1995,group02959
Rhodoluna.genome.CDS.1994,group00252
Rhodoluna.genome.CDS.1993,group00209
Rhodoluna.genome.CDS.1992,group00567
Rhodoluna.genome.CDS.1991,group04083
Rhodoluna.genome.CDS.1990,group03094
Rhodoluna.genome.CDS.1665,group06693
Rhodoluna.genome.CDS.1664,group06694
Rhodoluna.genome.CDS.1667,group03997
Rhodoluna.genome.CDS.1666,group00587
Rhodoluna.genome.CDS.1661,group08535
Rhodoluna.genome.CDS.1660,group00858
Rhodoluna.genome.CDS.1663,group06624
Rhodoluna.genome.CDS.1662,group04202
Rhodoluna.genome.CDS.1669,group08240
Rhodoluna.genome.CDS.1668,group00587
Rhodoluna.genome.CDS.1528,group01851
Rhodoluna.genome.CDS.1529,group00759
Rhodoluna.genome.CDS.1526,group00703
Rhodoluna.genome.CDS.1527,group03056
Rhodoluna.genome.CDS.1524,group02595
Rhodoluna.genome.CDS.1525,group00740
Rhodoluna.genome.CDS.1522,group00999
Rhodoluna.genome.CDS.1523,group12543
Rhodoluna.genome.CDS.1520,group07147
Rhodoluna.genome.CDS.1521,group01311
Rhodoluna.genome.CDS.989,group04944
Rhodoluna.genome.CDS.2668,group04582
Rhodoluna.genome.CDS.1484,group01991
Rhodoluna.genome.CDS.1452,group01366
Rhodoluna.genome.CDS.1453,group01212
Rhodoluna.genome.CDS.1450,group00891
Rhodoluna.genome.CDS.1451,group02666
Rhodoluna.genome.CDS.1456,group10262
Rhodoluna.genome.CDS.1457,group00005
Rhodoluna.genome.CDS.1454,group02696
Rhodoluna.genome.CDS.1455,group03090
Rhodoluna.genome.CDS.1458,group00830
Rhodoluna.genome.CDS.1459,group01526
Rhodoluna.genome.CDS.2361,group00279
Rhodoluna.genome.CDS.2360,group00128
Rhodoluna.genome.CDS.2362,group00322
Rhodoluna.genome.CDS.2365,group07323
Rhodoluna.genome.CDS.2364,group00237
Rhodoluna.genome.CDS.2367,group00220
Rhodoluna.genome.CDS.2366,group00918
Rhodoluna.genome.CDS.2369,group00287
Rhodoluna.genome.CDS.2368,group06912
Rhodoluna.genome.CDS.2665,group00942
Rhodoluna.genome.CDS.2163,group02955
Rhodoluna.genome.CDS.2162,group08262
Rhodoluna.genome.CDS.2161,group00563
Rhodoluna.genome.CDS.2160,group13903
Rhodoluna.genome.CDS.2167,group04099
Rhodoluna.genome.CDS.2166,group01292
Rhodoluna.genome.CDS.2165,group00645
Rhodoluna.genome.CDS.2164,group00777
Rhodoluna.genome.CDS.2169,group00130
Rhodoluna.genome.CDS.2168,group00290
Rhodoluna.genome.CDS.2505,group00879
Rhodoluna.genome.CDS.2504,group00973
Rhodoluna.genome.CDS.2506,group00904
Rhodoluna.genome.CDS.2501,group01870
Rhodoluna.genome.CDS.2500,group01668
Rhodoluna.genome.CDS.2503,group03342
Rhodoluna.genome.CDS.2502,group00114
Rhodoluna.genome.CDS.2509,group00133
Rhodoluna.genome.CDS.2508,group03527
Rhodoluna.genome.CDS.1274,group12610
Rhodoluna.genome.CDS.2219,group01809
Rhodoluna.genome.CDS.2218,group03996
Rhodoluna.genome.CDS.2441,group00570
Rhodoluna.genome.CDS.2211,group00172
Rhodoluna.genome.CDS.2210,group00145
Rhodoluna.genome.CDS.2213,group00122
Rhodoluna.genome.CDS.2212,group00115
Rhodoluna.genome.CDS.2215,group00097
Rhodoluna.genome.CDS.2214,group00098
Rhodoluna.genome.CDS.2217,group00072
Rhodoluna.genome.CDS.2216,group00061
Rhodoluna.genome.CDS.2443,group05627
Rhodoluna.genome.CDS.2116,group00050
Rhodoluna.genome.CDS.1390,group00629
Rhodoluna.genome.CDS.2117,group00138
Rhodoluna.genome.CDS.2114,group00217
Rhodoluna.genome.CDS.2115,group00410
Rhodoluna.genome.CDS.2189,group02273
Rhodoluna.genome.CDS.2188,group00416
Rhodoluna.genome.CDS.2181,group02505
Rhodoluna.genome.CDS.2180,group02465
Rhodoluna.genome.CDS.2183,group01779
Rhodoluna.genome.CDS.2182,group00222
Rhodoluna.genome.CDS.2185,group00406
Rhodoluna.genome.CDS.2184,group00480
Rhodoluna.genome.CDS.2187,group00721
Rhodoluna.genome.CDS.2186,group00696
Rhodoluna.genome.CDS.1858,group00327
Rhodoluna.genome.CDS.1859,group00444
Rhodoluna.genome.CDS.1856,group00492
Rhodoluna.genome.CDS.1857,group12705
Rhodoluna.genome.CDS.1854,group03780
Rhodoluna.genome.CDS.1855,group00461
Rhodoluna.genome.CDS.1852,group00307
Rhodoluna.genome.CDS.1853,group06948
Rhodoluna.genome.CDS.1850,group00532
Rhodoluna.genome.CDS.1851,group00533
Rhodoluna.genome.CDS.1980,group00126
Rhodoluna.genome.CDS.1981,group00197
Rhodoluna.genome.CDS.1982,group00554
Rhodoluna.genome.CDS.1983,group00241
Rhodoluna.genome.CDS.1984,group00223
Rhodoluna.genome.CDS.1985,group00319
Rhodoluna.genome.CDS.1986,group01733
Rhodoluna.genome.CDS.1987,group08124
Rhodoluna.genome.CDS.1988,group00117
Rhodoluna.genome.CDS.1989,group00710
Rhodoluna.genome.CDS.1393,group01180
Rhodoluna.genome.CDS.1489,group10720
Rhodoluna.genome.CDS.1392,group01271
Rhodoluna.genome.CDS.2592,group01604
Rhodoluna.genome.CDS.2593,group00555
Rhodoluna.genome.CDS.2590,group00945
Rhodoluna.genome.CDS.2591,group00941
Rhodoluna.genome.CDS.1676,group01982
Rhodoluna.genome.CDS.1677,group00460
Rhodoluna.genome.CDS.1674,group09162
Rhodoluna.genome.CDS.1675,group02887
Rhodoluna.genome.CDS.1672,group03811
Rhodoluna.genome.CDS.1673,group06690
Rhodoluna.genome.CDS.1670,group06692
Rhodoluna.genome.CDS.1671,group06691
Rhodoluna.genome.CDS.1678,group00440
Rhodoluna.genome.CDS.1679,group06573
Rhodoluna.genome.CDS.1513,group00485
Rhodoluna.genome.CDS.1512,group00963
Rhodoluna.genome.CDS.1511,group01251
Rhodoluna.genome.CDS.1510,group04929
Rhodoluna.genome.CDS.1517,group02485
Rhodoluna.genome.CDS.1516,group00971
Rhodoluna.genome.CDS.1515,group12547
Rhodoluna.genome.CDS.1514,group00968
Rhodoluna.genome.CDS.1519,group00285
Rhodoluna.genome.CDS.1518,group01275
Rhodoluna.genome.CDS.1467,group01186
Rhodoluna.genome.CDS.1466,group03289
Rhodoluna.genome.CDS.1465,group02470
Rhodoluna.genome.CDS.1464,group02434
Rhodoluna.genome.CDS.1463,group07495
Rhodoluna.genome.CDS.1780,group04115
Rhodoluna.genome.CDS.1461,group04031
Rhodoluna.genome.CDS.1460,group00435
Rhodoluna.genome.CDS.1469,group02642
Rhodoluna.genome.CDS.1468,group05561
Rhodoluna.genome.CDS.2372,group00442
Rhodoluna.genome.CDS.2373,group00753
Rhodoluna.genome.CDS.2370,group00251
Rhodoluna.genome.CDS.2371,group00372
Rhodoluna.genome.CDS.2376,group00185
Rhodoluna.genome.CDS.2377,group10470
Rhodoluna.genome.CDS.2374,group09627
Rhodoluna.genome.CDS.2375,group07994
Rhodoluna.genome.CDS.2378,group05193
Rhodoluna.genome.CDS.2379,group00179
Rhodoluna.genome.CDS.2174,group00314
Rhodoluna.genome.CDS.2175,group06676
Rhodoluna.genome.CDS.2176,group00659
Rhodoluna.genome.CDS.2177,group00864
Rhodoluna.genome.CDS.2170,group00498
Rhodoluna.genome.CDS.2171,group00377
Rhodoluna.genome.CDS.2172,group00144
Rhodoluna.genome.CDS.2173,group08679
Rhodoluna.genome.CDS.2178,group00162
Rhodoluna.genome.CDS.2179,group08763
Rhodoluna.genome.CDS.2516,group04575
Rhodoluna.genome.CDS.2517,group00226
Rhodoluna.genome.CDS.2514,group05187
Rhodoluna.genome.CDS.2515,group00827
Rhodoluna.genome.CDS.2512,group12755
Rhodoluna.genome.CDS.2513,group08749
Rhodoluna.genome.CDS.2510,group05661
Rhodoluna.genome.CDS.2511,group08563
Rhodoluna.genome.CDS.2518,group09138
Rhodoluna.genome.CDS.2519,group06658
Rhodoluna.genome.CDS.2208,group00244
Rhodoluna.genome.CDS.2209,group01154
Rhodoluna.genome.CDS.2202,group00243
Rhodoluna.genome.CDS.2203,group00321
Rhodoluna.genome.CDS.2200,group00994
Rhodoluna.genome.CDS.2201,group00030
Rhodoluna.genome.CDS.2206,group00458
Rhodoluna.genome.CDS.2207,group07142
Rhodoluna.genome.CDS.2204,group01648
Rhodoluna.genome.CDS.2205,group00881
Rhodoluna.genome.CDS.2642,group04158
Rhodoluna.genome.CDS.2315,group09996
Rhodoluna.genome.CDS.2316,group08226
Rhodoluna.genome.CDS.2198,group00593
Rhodoluna.genome.CDS.2199,group08653
Rhodoluna.genome.CDS.2192,group00034
Rhodoluna.genome.CDS.2646,group01083
Rhodoluna.genome.CDS.2190,group03214
Rhodoluna.genome.CDS.2191,group00803
Rhodoluna.genome.CDS.2196,group00970
Rhodoluna.genome.CDS.2194,group00586
Rhodoluna.genome.CDS.2195,group01970
Rhodoluna.genome.CDS.2644,group04350
Rhodoluna.genome.CDS.2645,group00843
Rhodoluna.genome.CDS.2647,group02678
Rhodoluna.genome.CDS.944,group06900
Rhodoluna.genome.CDS.1730,group04152
Rhodoluna.genome.CDS.1863,group00565
Rhodoluna.genome.CDS.1862,group01046
Rhodoluna.genome.CDS.1861,group00564
Rhodoluna.genome.CDS.1860,group00265
Rhodoluna.genome.CDS.1866,group00584
Rhodoluna.genome.CDS.1865,group00519
Rhodoluna.genome.CDS.1864,group00393
Rhodoluna.genome.CDS.1649,group06698
Rhodoluna.genome.CDS.1648,group03554
Rhodoluna.genome.CDS.1643,group12642
Rhodoluna.genome.CDS.1642,group00728
Rhodoluna.genome.CDS.1641,group03915
Rhodoluna.genome.CDS.1640,group00988
Rhodoluna.genome.CDS.1647,group01660
Rhodoluna.genome.CDS.1646,group04192
Rhodoluna.genome.CDS.1645,group01309
Rhodoluna.genome.CDS.1644,group02463
Rhodoluna.genome.CDS.1889,group02675
Rhodoluna.genome.CDS.1888,group00137
Rhodoluna.genome.CDS.1881,group09142
Rhodoluna.genome.CDS.1880,group04914
Rhodoluna.genome.CDS.1883,group02698
Rhodoluna.genome.CDS.1882,group00245
Rhodoluna.genome.CDS.1885,group09755
Rhodoluna.genome.CDS.1884,group00250
Rhodoluna.genome.CDS.1887,group12777
Rhodoluna.genome.CDS.1886,group00160
Rhodoluna.genome.CDS.1504,group01465
Rhodoluna.genome.CDS.1505,group01205
Rhodoluna.genome.CDS.1506,group08213
Rhodoluna.genome.CDS.1507,group11648
Rhodoluna.genome.CDS.1500,group05250
Rhodoluna.genome.CDS.1501,group03304
Rhodoluna.genome.CDS.1502,group00706
Rhodoluna.genome.CDS.1503,group01552
Rhodoluna.genome.CDS.1508,group05612
Rhodoluna.genome.CDS.1509,group00928
Rhodoluna.genome.CDS.1478,group05509
Rhodoluna.genome.CDS.1479,group01386
Rhodoluna.genome.CDS.1470,group07897
Rhodoluna.genome.CDS.1471,group02073
Rhodoluna.genome.CDS.1472,group00010
Rhodoluna.genome.CDS.1473,group00788
Rhodoluna.genome.CDS.1474,group08503
Rhodoluna.genome.CDS.1475,group01398
Rhodoluna.genome.CDS.1476,group05668
Rhodoluna.genome.CDS.1477,group02536
Rhodoluna.genome.CDS.2347,group02954
Rhodoluna.genome.CDS.2694,group00849
Rhodoluna.genome.CDS.2345,group05656
Rhodoluna.genome.CDS.2344,group00676
Rhodoluna.genome.CDS.2343,group02183
Rhodoluna.genome.CDS.2690,group01038
Rhodoluna.genome.CDS.2693,group09064
Rhodoluna.genome.CDS.2692,group00490
Rhodoluna.genome.CDS.2699,group00469
Rhodoluna.genome.CDS.2698,group00732
Rhodoluna.genome.CDS.2349,group00238
Rhodoluna.genome.CDS.2348,group12283
Rhodoluna.genome.CDS.2743,group00299
Rhodoluna.genome.CDS.2742,group00008
Rhodoluna.genome.CDS.2741,group00171
Rhodoluna.genome.CDS.2740,group00296
Rhodoluna.genome.CDS.2747,group09900
Rhodoluna.genome.CDS.2746,group00875
Rhodoluna.genome.CDS.2745,group00494
Rhodoluna.genome.CDS.2744,group00462
Rhodoluna.genome.CDS.2529,group05006
Rhodoluna.genome.CDS.2528,group00057
Rhodoluna.genome.CDS.2523,group00497
Rhodoluna.genome.CDS.2522,group07485
Rhodoluna.genome.CDS.2521,group06657
Rhodoluna.genome.CDS.2520,group00955
Rhodoluna.genome.CDS.2527,group02833
Rhodoluna.genome.CDS.2526,group00152
Rhodoluna.genome.CDS.2525,group04229
Rhodoluna.genome.CDS.2524,group00751
Rhodoluna.genome.CDS.31,group00002
Rhodoluna.genome.CDS.2239,group01042
Rhodoluna.genome.CDS.2238,group07471
Rhodoluna.genome.CDS.2237,group00585
Rhodoluna.genome.CDS.2236,group00493
Rhodoluna.genome.CDS.2235,group00415
Rhodoluna.genome.CDS.2234,group00527
Rhodoluna.genome.CDS.2233,group02483
Rhodoluna.genome.CDS.2232,group00255
Rhodoluna.genome.CDS.2231,group02441
Rhodoluna.genome.CDS.2230,group00252
Rhodoluna.genome.CDS.1874,group00173
Rhodoluna.genome.CDS.1875,group00371
Rhodoluna.genome.CDS.1876,group10533
Rhodoluna.genome.CDS.1877,group00330
Rhodoluna.genome.CDS.1870,group08655
Rhodoluna.genome.CDS.1871,group06683
Rhodoluna.genome.CDS.1872,group01038
Rhodoluna.genome.CDS.1873,group06682
Rhodoluna.genome.CDS.1878,group02033
Rhodoluna.genome.CDS.1879,group13739
Rhodoluna.genome.CDS.1658,group12591
Rhodoluna.genome.CDS.1659,group01611
Rhodoluna.genome.CDS.1654,group08980
Rhodoluna.genome.CDS.1655,group09276
Rhodoluna.genome.CDS.1656,group06539
Rhodoluna.genome.CDS.1657,group01190
Rhodoluna.genome.CDS.1650,group01589
Rhodoluna.genome.CDS.1651,group06697
Rhodoluna.genome.CDS.1652,group06624
Rhodoluna.genome.CDS.1653,group00073
Rhodoluna.genome.CDS.1898,group06963
Rhodoluna.genome.CDS.1899,group08086
Rhodoluna.genome.CDS.1892,group00694
Rhodoluna.genome.CDS.1893,group07309
Rhodoluna.genome.CDS.1891,group00911
Rhodoluna.genome.CDS.1896,group02680
Rhodoluna.genome.CDS.1897,group00804
Rhodoluna.genome.CDS.1894,group12593
Rhodoluna.genome.CDS.1895,group02944
Rhodoluna.genome.CDS.2613,group01281
Rhodoluna.genome.CDS.1409,group00632
Rhodoluna.genome.CDS.1405,group01197
Rhodoluna.genome.CDS.1404,group01236
Rhodoluna.genome.CDS.1407,group05665
Rhodoluna.genome.CDS.1406,group00891
Rhodoluna.genome.CDS.1401,group00536
Rhodoluna.genome.CDS.1400,group06725
Rhodoluna.genome.CDS.1403,group01026
Rhodoluna.genome.CDS.1402,group08416
Rhodoluna.genome.CDS.2686,group01311
Rhodoluna.genome.CDS.2687,group00264
Rhodoluna.genome.CDS.2684,group08977
Rhodoluna.genome.CDS.2685,group00434
Rhodoluna.genome.CDS.2682,group09017
Rhodoluna.genome.CDS.2683,group02940
Rhodoluna.genome.CDS.2680,group02012
Rhodoluna.genome.CDS.2681,group01398
Rhodoluna.genome.CDS.2688,group12934
Rhodoluna.genome.CDS.2689,group00887
Rhodoluna.genome.CDS.2358,group00107
Rhodoluna.genome.CDS.2359,group00375
Rhodoluna.genome.CDS.2350,group00995
Rhodoluna.genome.CDS.2351,group00602
Rhodoluna.genome.CDS.2352,group00663
Rhodoluna.genome.CDS.2353,group00641
Rhodoluna.genome.CDS.2354,group05547
Rhodoluna.genome.CDS.2355,group00260
Rhodoluna.genome.CDS.2356,group00766
Rhodoluna.genome.CDS.2357,group00044
Rhodoluna.genome.CDS.2538,group00016
Rhodoluna.genome.CDS.2539,group11291
Rhodoluna.genome.CDS.2534,group00014
Rhodoluna.genome.CDS.2535,group00634
Rhodoluna.genome.CDS.2536,group00515
Rhodoluna.genome.CDS.2537,group00004
Rhodoluna.genome.CDS.2530,group00361
Rhodoluna.genome.CDS.2531,group03442
Rhodoluna.genome.CDS.2532,group09717
Rhodoluna.genome.CDS.2533,group00612
Rhodoluna.genome.CDS.1224,group06654
Rhodoluna.genome.CDS.2220,group06006
Rhodoluna.genome.CDS.2221,group00840
Rhodoluna.genome.CDS.2222,group00324
Rhodoluna.genome.CDS.2223,group02706
Rhodoluna.genome.CDS.2224,group03305
Rhodoluna.genome.CDS.2225,group00391
Rhodoluna.genome.CDS.2226,group00278
Rhodoluna.genome.CDS.2227,group00574
Rhodoluna.genome.CDS.2228,group00308
Rhodoluna.genome.CDS.2229,group00025
Rhodoluna.genome.CDS.1134,group01121
Rhodoluna.genome.CDS.1799,group03285
Rhodoluna.genome.CDS.1798,group00275
Rhodoluna.genome.CDS.1795,group00211
Rhodoluna.genome.CDS.1794,group01514
Rhodoluna.genome.CDS.1797,group03812
Rhodoluna.genome.CDS.1796,group00919
Rhodoluna.genome.CDS.1791,group13947
Rhodoluna.genome.CDS.1790,group00443
Rhodoluna.genome.CDS.1793,group04096
Rhodoluna.genome.CDS.1792,group00993
