Attributes {
	id:kb|g.236059
	source:KBase
	gene_subsystem_hash:HASH(0x5371b978)
	source_id:kb|g.236059
	geneAliasHash:HASH(0x4d6fb008)
	scientific_name:GFM TBepimetabat3256
	domain:Bacteria
	genetic_code:11
	dna_size:1750691
	num_contigs:204
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/76/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236059.CDS.382	CDS		kb|g.236059	;	No annotated function	13369	12175	-	TBepi.metabat.3256_1001756	
kb|g.236059.CDS.383	CDS	ATP-dependent DNA helicase UvrD/PcrA	kb|g.236059	none		15552	13413	-	TBepi.metabat.3256_1001756	ATP-dependent DNA helicase UvrD/PcrA
kb|g.236059.CDS.384	CDS		kb|g.236059	;	No annotated function	894	30	-	TBepi.metabat.3256_1000586	
kb|g.236059.CDS.385	CDS		kb|g.236059	;	No annotated function	1058	1265	+	TBepi.metabat.3256_1000586	
kb|g.236059.CDS.386	CDS		kb|g.236059	;	No annotated function	1284	1665	+	TBepi.metabat.3256_1000586	
kb|g.236059.CDS.387	CDS	Glycosyltransferase MshA involved in mycothiol biosynthesis (EC 2.4.1.-)	kb|g.236059	none		1670	2936	+	TBepi.metabat.3256_1000586	Glycosyltransferase MshA involved in mycothiol biosynthesis (EC 2.4.1.-)
kb|g.236059.CDS.388	CDS		kb|g.236059	;	No annotated function	2932	3448	+	TBepi.metabat.3256_1000586	
kb|g.236059.CDS.389	CDS	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	kb|g.236059	none		3457	4267	+	TBepi.metabat.3256_1000586	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)
kb|g.236059.CDS.390	CDS		kb|g.236059	;	No annotated function	4263	5073	+	TBepi.metabat.3256_1000586	
kb|g.236059.CDS.391	CDS		kb|g.236059	;	No annotated function	5103	5841	+	TBepi.metabat.3256_1000586	
kb|g.236059.CDS.392	CDS	Glutamyl-tRNA reductase (EC 1.2.1.70)	kb|g.236059	none		5911	7195	+	TBepi.metabat.3256_1000586	Glutamyl-tRNA reductase (EC 1.2.1.70)
kb|g.236059.CDS.393	CDS	Porphobilinogen deaminase (EC 2.5.1.61)	kb|g.236059	none		7200	8124	+	TBepi.metabat.3256_1000586	Porphobilinogen deaminase (EC 2.5.1.61)
kb|g.236059.CDS.394	CDS		kb|g.236059	;	No annotated function	8120	8861	+	TBepi.metabat.3256_1000586	
kb|g.236059.CDS.395	CDS	Porphobilinogen synthase (EC 4.2.1.24)	kb|g.236059	none		8870	9851	+	TBepi.metabat.3256_1000586	Porphobilinogen synthase (EC 4.2.1.24)
kb|g.236059.CDS.396	CDS	Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	kb|g.236059	none		9847	11122	+	TBepi.metabat.3256_1000586	Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)
kb|g.236059.CDS.397	CDS		kb|g.236059	;	No annotated function	11118	11421	+	TBepi.metabat.3256_1000586	
kb|g.236059.CDS.398	CDS		kb|g.236059	;	No annotated function	11420	11534	+	TBepi.metabat.3256_1000586	
kb|g.236059.CDS.399	CDS		kb|g.236059	;	No annotated function	12869	11540	-	TBepi.metabat.3256_1000586	
kb|g.236059.CDS.400	CDS		kb|g.236059	;	No annotated function	13751	12962	-	TBepi.metabat.3256_1000586	
kb|g.236059.CDS.401	CDS		kb|g.236059	;	No annotated function	14167	13747	-	TBepi.metabat.3256_1000586	
kb|g.236059.CDS.402	CDS	NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	kb|g.236059	none		14343	14796	+	TBepi.metabat.3256_1000586	NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)
kb|g.236059.CDS.403	CDS	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	kb|g.236059	none		14801	15359	+	TBepi.metabat.3256_1000586	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)
kb|g.236059.CDS.404	CDS	NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)	kb|g.236059	none		15355	15856	+	TBepi.metabat.3256_1000586	NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)
kb|g.236059.CDS.405	CDS	NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	kb|g.236059	none		15859	17218	+	TBepi.metabat.3256_1000586	NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)
kb|g.236059.CDS.406	CDS	NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)	kb|g.236059	none		17214	17832	+	TBepi.metabat.3256_1000586	NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)
kb|g.236059.CDS.407	CDS	NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	kb|g.236059	none		17828	19124	+	TBepi.metabat.3256_1000586	NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)
kb|g.236059.CDS.408	CDS	NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)	kb|g.236059	none		19113	21771	+	TBepi.metabat.3256_1000586	NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)
kb|g.236059.CDS.409	CDS	NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	kb|g.236059	none		21767	23048	+	TBepi.metabat.3256_1000586	NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)
kb|g.236059.CDS.410	CDS	NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	kb|g.236059	none		23047	23872	+	TBepi.metabat.3256_1000586	NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)
kb|g.236059.CDS.411	CDS	NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	kb|g.236059	none		23868	24453	+	TBepi.metabat.3256_1000586	NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)
kb|g.236059.CDS.412	CDS	NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	kb|g.236059	none		24449	24755	+	TBepi.metabat.3256_1000586	NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)
kb|g.236059.CDS.413	CDS	NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	kb|g.236059	none		24756	26646	+	TBepi.metabat.3256_1000586	NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)
kb|g.236059.CDS.414	CDS	NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)	kb|g.236059	none		26645	28187	+	TBepi.metabat.3256_1000586	NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)
kb|g.236059.CDS.415	CDS		kb|g.236059	;	No annotated function	12	1194	+	TBepi.metabat.3256_1001336	
kb|g.236059.CDS.416	CDS		kb|g.236059	;	No annotated function	1190	2576	+	TBepi.metabat.3256_1001336	
kb|g.236059.CDS.417	CDS		kb|g.236059	;	No annotated function	2705	2546	-	TBepi.metabat.3256_1001336	
kb|g.236059.CDS.418	CDS		kb|g.236059	;	No annotated function	2700	3762	+	TBepi.metabat.3256_1001336	
kb|g.236059.CDS.419	CDS		kb|g.236059	;	No annotated function	3961	4717	+	TBepi.metabat.3256_1001336	
kb|g.236059.CDS.420	CDS	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	kb|g.236059	none		5522	4712	-	TBepi.metabat.3256_1001336	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
kb|g.236059.CDS.421	CDS	COG0488: ATPase components of ABC transporters with duplicated ATPase domains	kb|g.236059	none		5628	7341	+	TBepi.metabat.3256_1001336	COG0488: ATPase components of ABC transporters with duplicated ATPase domains
kb|g.236059.CDS.422	CDS		kb|g.236059	;	No annotated function	8222	7319	-	TBepi.metabat.3256_1001336	
kb|g.236059.CDS.423	CDS		kb|g.236059	;	No annotated function	8319	9378	+	TBepi.metabat.3256_1001336	
kb|g.236059.CDS.424	CDS		kb|g.236059	;	No annotated function	9382	10561	+	TBepi.metabat.3256_1001336	
kb|g.236059.CDS.425	CDS		kb|g.236059	;	No annotated function	10631	11528	+	TBepi.metabat.3256_1001336	
kb|g.236059.CDS.426	CDS	L-lactate dehydrogenase (EC 1.1.2.3)	kb|g.236059	none		12703	11530	-	TBepi.metabat.3256_1001336	L-lactate dehydrogenase (EC 1.1.2.3)
kb|g.236059.CDS.427	CDS		kb|g.236059	;	No annotated function	12773	12935	+	TBepi.metabat.3256_1001336	
kb|g.236059.CDS.428	CDS		kb|g.236059	;	No annotated function	13036	13795	+	TBepi.metabat.3256_1001336	
kb|g.236059.CDS.429	CDS		kb|g.236059	;	No annotated function	14992	14383	-	TBepi.metabat.3256_1001336	
kb|g.236059.CDS.430	CDS		kb|g.236059	;	No annotated function	15720	14991	-	TBepi.metabat.3256_1001336	
kb|g.236059.CDS.431	CDS		kb|g.236059	;	No annotated function	17390	15716	-	TBepi.metabat.3256_1001336	
kb|g.236059.CDS.432	CDS		kb|g.236059	;	No annotated function	18323	17471	-	TBepi.metabat.3256_1001336	
kb|g.236059.CDS.433	CDS		kb|g.236059	;	No annotated function	77	320	+	TBepi.metabat.3256_1014351	
kb|g.236059.CDS.434	CDS		kb|g.236059	;	No annotated function	321	1425	+	TBepi.metabat.3256_1014351	
kb|g.236059.CDS.435	CDS	DNA polymerase IV (EC 2.7.7.7)	kb|g.236059	none		2706	1413	-	TBepi.metabat.3256_1014351	DNA polymerase IV (EC 2.7.7.7)
kb|g.236059.CDS.436	CDS		kb|g.236059	;	No annotated function	3412	2698	-	TBepi.metabat.3256_1014351	
kb|g.236059.CDS.437	CDS	Ribonucleotide reductase transcriptional regulator NrdR	kb|g.236059	none		3843	3408	-	TBepi.metabat.3256_1014351	Ribonucleotide reductase transcriptional regulator NrdR
kb|g.236059.CDS.438	CDS		kb|g.236059	;	No annotated function	3867	3999	+	TBepi.metabat.3256_1014351	
kb|g.236059.CDS.439	CDS		kb|g.236059	;	No annotated function	16	1090	+	TBepi.metabat.3256_1011599	
kb|g.236059.CDS.440	CDS		kb|g.236059	;	No annotated function	1099	1624	+	TBepi.metabat.3256_1011599	
kb|g.236059.CDS.441	CDS		kb|g.236059	;	No annotated function	2579	1628	-	TBepi.metabat.3256_1011599	
kb|g.236059.CDS.442	CDS		kb|g.236059	;	No annotated function	9	393	+	TBepi.metabat.3256_1010502	
kb|g.236059.CDS.443	CDS		kb|g.236059	;	No annotated function	590	371	-	TBepi.metabat.3256_1010502	
kb|g.236059.CDS.444	CDS	FIG000325: clustered with transcription termination protein NusA	kb|g.236059	none		2298	1833	-	TBepi.metabat.3256_1010502	FIG000325: clustered with transcription termination protein NusA
kb|g.236059.CDS.445	CDS	Transcription termination protein NusA	kb|g.236059	none		1837	649	-	TBepi.metabat.3256_1010502	Transcription termination protein NusA
kb|g.236059.CDS.446	CDS	Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type	kb|g.236059	none		4175	2483	-	TBepi.metabat.3256_1010502	Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type
kb|g.236059.CDS.447	CDS	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	kb|g.236059	none		4958	4217	-	TBepi.metabat.3256_1010502	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)
kb|g.236059.CDS.448	CDS		kb|g.236059	;	No annotated function	519	669	+	TBepi.metabat.3256_1010299	
kb|g.236059.CDS.449	CDS		kb|g.236059	;	No annotated function	2267	641	-	TBepi.metabat.3256_1010299	
kb|g.236059.CDS.450	CDS		kb|g.236059	;	No annotated function	2294	2474	+	TBepi.metabat.3256_1010299	
kb|g.236059.CDS.451	CDS	Methylsuccinyl-CoA dehydrogenase, predicted by (Erb et al, 2007)	kb|g.236059	none		4083	2469	-	TBepi.metabat.3256_1010299	Methylsuccinyl-CoA dehydrogenase, predicted by (Erb et al, 2007)
kb|g.236059.CDS.452	CDS		kb|g.236059	;	No annotated function	4744	4093	-	TBepi.metabat.3256_1010299	
kb|g.236059.CDS.453	CDS		kb|g.236059	;	No annotated function	4908	4740	-	TBepi.metabat.3256_1010299	
kb|g.236059.CDS.454	CDS	Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)	kb|g.236059	none		129	867	+	TBepi.metabat.3256_1009948	Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)
kb|g.236059.CDS.455	CDS	Protoporphyrinogen IX oxidase, aerobic, HemY (EC 1.3.3.4)	kb|g.236059	none		866	2318	+	TBepi.metabat.3256_1009948	Protoporphyrinogen IX oxidase, aerobic, HemY (EC 1.3.3.4)
kb|g.236059.CDS.456	CDS		kb|g.236059	;	No annotated function	2805	2307	-	TBepi.metabat.3256_1009948	
kb|g.236059.CDS.457	CDS		kb|g.236059	;	No annotated function	4658	2849	-	TBepi.metabat.3256_1009948	
kb|g.236059.CDS.458	CDS		kb|g.236059	;	No annotated function	1299	507	-	TBepi.metabat.3256_1008110	
kb|g.236059.CDS.459	CDS		kb|g.236059	;	No annotated function	1503	2640	+	TBepi.metabat.3256_1008110	
kb|g.236059.CDS.460	CDS		kb|g.236059	;	No annotated function	3328	2605	-	TBepi.metabat.3256_1008110	
kb|g.236059.CDS.461	CDS		kb|g.236059	;	No annotated function	4331	3434	-	TBepi.metabat.3256_1008110	
kb|g.236059.CDS.462	CDS		kb|g.236059	;	No annotated function	4384	5389	+	TBepi.metabat.3256_1008110	
kb|g.236059.CDS.463	CDS		kb|g.236059	;	No annotated function	794	224	-	TBepi.metabat.3256_1007331	
kb|g.236059.CDS.464	CDS	2-oxoglutarate oxidoreductase, beta subunit (EC 1.2.7.3)	kb|g.236059	none		1820	800	-	TBepi.metabat.3256_1007331	2-oxoglutarate oxidoreductase, beta subunit (EC 1.2.7.3)
kb|g.236059.CDS.465	CDS	2-oxoglutarate oxidoreductase, alpha subunit (EC 1.2.7.3)	kb|g.236059	none		3721	1819	-	TBepi.metabat.3256_1007331	2-oxoglutarate oxidoreductase, alpha subunit (EC 1.2.7.3)
kb|g.236059.CDS.466	CDS	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	kb|g.236059	none		4860	3810	-	TBepi.metabat.3256_1007331	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)
kb|g.236059.CDS.467	CDS		kb|g.236059	;	No annotated function	5764	4978	-	TBepi.metabat.3256_1007331	
kb|g.236059.CDS.468	CDS		kb|g.236059	;	No annotated function	6414	5724	-	TBepi.metabat.3256_1007331	
kb|g.236059.CDS.469	CDS		kb|g.236059	;	No annotated function	159	1104	+	TBepi.metabat.3256_1004811	
kb|g.236059.CDS.470	CDS		kb|g.236059	;	No annotated function	1425	1662	+	TBepi.metabat.3256_1004811	
kb|g.236059.CDS.471	CDS		kb|g.236059	;	No annotated function	1356	1197	-	TBepi.metabat.3256_1004811	
kb|g.236059.CDS.472	CDS	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)	kb|g.236059	none		3122	1709	-	TBepi.metabat.3256_1004811	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)
kb|g.236059.CDS.473	CDS	NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)	kb|g.236059	none		3505	3118	-	TBepi.metabat.3256_1004811	NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)
kb|g.236059.CDS.474	CDS	NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)	kb|g.236059	none		4659	3501	-	TBepi.metabat.3256_1004811	NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)
kb|g.236059.CDS.475	CDS	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	kb|g.236059	none		5530	4711	-	TBepi.metabat.3256_1004811	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
kb|g.236059.CDS.476	CDS	Probable enoyl-CoA hydratase EchA20 (EC 4.2.1.17)	kb|g.236059	none		5628	6387	+	TBepi.metabat.3256_1004811	Probable enoyl-CoA hydratase EchA20 (EC 4.2.1.17)
kb|g.236059.CDS.477	CDS	3-oxoadipate CoA-transferase subunit A (EC 2.8.3.6); Glutaconate CoA-transferase subunit A (EC 2.8.3.12)	kb|g.236059	;		6389	7280	+	TBepi.metabat.3256_1004811	3-oxoadipate CoA-transferase subunit A (EC 2.8.3.6);Glutaconate CoA-transferase subunit A (EC 2.8.3.12)
kb|g.236059.CDS.478	CDS	Putative CoA-transferase subunit beta Rv3552/MT3656 (EC 2.8.3.-)	kb|g.236059	none		7276	8032	+	TBepi.metabat.3256_1004811	Putative CoA-transferase subunit beta Rv3552/MT3656 (EC 2.8.3.-)
kb|g.236059.CDS.479	CDS	Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)	kb|g.236059	none		9	780	+	TBepi.metabat.3256_1004597	Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)
kb|g.236059.CDS.480	CDS		kb|g.236059	;	No annotated function	1759	775	-	TBepi.metabat.3256_1004597	
kb|g.236059.CDS.481	CDS	Aldehyde dehydrogenase (EC 1.2.1.3)	kb|g.236059	none		3501	1761	-	TBepi.metabat.3256_1004597	Aldehyde dehydrogenase (EC 1.2.1.3)
kb|g.236059.CDS.482	CDS		kb|g.236059	;	No annotated function	3574	4441	+	TBepi.metabat.3256_1004597	
kb|g.236059.CDS.483	CDS		kb|g.236059	;	No annotated function	4593	5253	+	TBepi.metabat.3256_1004597	
kb|g.236059.CDS.484	CDS		kb|g.236059	;	No annotated function	5331	5892	+	TBepi.metabat.3256_1004597	
kb|g.236059.CDS.485	CDS	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	kb|g.236059	none		5930	7157	+	TBepi.metabat.3256_1004597	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)
kb|g.236059.CDS.486	CDS		kb|g.236059	;	No annotated function	7178	7478	+	TBepi.metabat.3256_1004597	
kb|g.236059.CDS.487	CDS		kb|g.236059	;	No annotated function	50	842	+	TBepi.metabat.3256_1006201	
kb|g.236059.CDS.488	CDS		kb|g.236059	;	No annotated function	1862	845	-	TBepi.metabat.3256_1006201	
kb|g.236059.CDS.489	CDS		kb|g.236059	;	No annotated function	2322	1854	-	TBepi.metabat.3256_1006201	
kb|g.236059.CDS.490	CDS		kb|g.236059	;	No annotated function	3056	2321	-	TBepi.metabat.3256_1006201	
kb|g.236059.CDS.491	CDS		kb|g.236059	;	No annotated function	3112	3817	+	TBepi.metabat.3256_1006201	
kb|g.236059.CDS.492	CDS		kb|g.236059	;	No annotated function	4261	3790	-	TBepi.metabat.3256_1006201	
kb|g.236059.CDS.493	CDS		kb|g.236059	;	No annotated function	5424	4257	-	TBepi.metabat.3256_1006201	
kb|g.236059.CDS.494	CDS		kb|g.236059	;	No annotated function	6191	5426	-	TBepi.metabat.3256_1006201	
kb|g.236059.CDS.495	CDS	ABC-type amino acid transport system, permease component	kb|g.236059	none		7186	6187	-	TBepi.metabat.3256_1006201	ABC-type amino acid transport system, permease component
kb|g.236059.CDS.496	CDS	Cysteinyl-tRNA synthetase (EC 6.1.1.16)	kb|g.236059	none		756	2121	+	TBepi.metabat.3256_1006107	Cysteinyl-tRNA synthetase (EC 6.1.1.16)
kb|g.236059.CDS.497	CDS		kb|g.236059	;	No annotated function	2245	2449	+	TBepi.metabat.3256_1006107	
kb|g.236059.CDS.498	CDS		kb|g.236059	;	No annotated function	2588	4112	+	TBepi.metabat.3256_1006107	
kb|g.236059.CDS.499	CDS		kb|g.236059	;	No annotated function	4098	4479	+	TBepi.metabat.3256_1006107	
kb|g.236059.CDS.500	CDS	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	kb|g.236059	none		4580	5795	+	TBepi.metabat.3256_1006107	Butyryl-CoA dehydrogenase (EC 1.3.99.2)
kb|g.236059.CDS.501	CDS		kb|g.236059	;	No annotated function	5853	6252	+	TBepi.metabat.3256_1006107	
kb|g.236059.CDS.502	CDS	Enoyl-CoA hydratase (EC 4.2.1.17)	kb|g.236059	none		17	815	+	TBepi.metabat.3256_1003265	Enoyl-CoA hydratase (EC 4.2.1.17)
kb|g.236059.CDS.503	CDS		kb|g.236059	;	No annotated function	1160	818	-	TBepi.metabat.3256_1003265	
kb|g.236059.CDS.504	CDS	L-malyl-CoA/beta-methylmalyl-CoA lyase (EC 4.1.3.-)	kb|g.236059	none		2083	1207	-	TBepi.metabat.3256_1003265	L-malyl-CoA/beta-methylmalyl-CoA lyase (EC 4.1.3.-)
kb|g.236059.CDS.505	CDS	Malyl-CoA lyase (EC 4.1.3.24)	kb|g.236059	none		3149	2084	-	TBepi.metabat.3256_1003265	Malyl-CoA lyase (EC 4.1.3.24)
kb|g.236059.CDS.506	CDS	Iron-sulfur cluster assembly protein SufB	kb|g.236059	none		4624	3223	-	TBepi.metabat.3256_1003265	Iron-sulfur cluster assembly protein SufB
kb|g.236059.CDS.507	CDS		kb|g.236059	;	No annotated function	4673	4793	+	TBepi.metabat.3256_1003265	
kb|g.236059.CDS.508	CDS	Protease II (EC 3.4.21.83)	kb|g.236059	none		4789	6895	+	TBepi.metabat.3256_1003265	Protease II (EC 3.4.21.83)
kb|g.236059.CDS.509	CDS		kb|g.236059	;	No annotated function	7780	6883	-	TBepi.metabat.3256_1003265	
kb|g.236059.CDS.510	CDS	Nitrilotriacetate monooxygenase component B (EC 1.14.13.-)	kb|g.236059	none		8351	7865	-	TBepi.metabat.3256_1003265	Nitrilotriacetate monooxygenase component B (EC 1.14.13.-)
kb|g.236059.CDS.511	CDS		kb|g.236059	;	No annotated function	8411	9281	+	TBepi.metabat.3256_1003265	
kb|g.236059.CDS.512	CDS	A/G-specific adenine glycosylase (EC 3.2.2.-)	kb|g.236059	none		10105	9280	-	TBepi.metabat.3256_1003265	A/G-specific adenine glycosylase (EC 3.2.2.-)
kb|g.236059.CDS.513	CDS	Mesaconyl-CoA hydratase	kb|g.236059	none		10655	10154	-	TBepi.metabat.3256_1003265	Mesaconyl-CoA hydratase
kb|g.236059.CDS.514	CDS		kb|g.236059	;	No annotated function	10882	10666	-	TBepi.metabat.3256_1003265	
kb|g.236059.CDS.515	CDS		kb|g.236059	;	No annotated function	51	867	+	TBepi.metabat.3256_1004673	
kb|g.236059.CDS.516	CDS		kb|g.236059	;	No annotated function	2410	862	-	TBepi.metabat.3256_1004673	
kb|g.236059.CDS.517	CDS		kb|g.236059	;	No annotated function	3719	2486	-	TBepi.metabat.3256_1004673	
kb|g.236059.CDS.518	CDS		kb|g.236059	;	No annotated function	3778	4174	+	TBepi.metabat.3256_1004673	
kb|g.236059.CDS.519	CDS		kb|g.236059	;	No annotated function	4180	4483	+	TBepi.metabat.3256_1004673	
kb|g.236059.CDS.520	CDS	HNH endonuclease family protein	kb|g.236059	none		4488	5016	+	TBepi.metabat.3256_1004673	HNH endonuclease family protein
kb|g.236059.CDS.521	CDS		kb|g.236059	;	No annotated function	6627	5019	-	TBepi.metabat.3256_1004673	
kb|g.236059.CDS.522	CDS	ABC-type multidrug transport system, ATPase component	kb|g.236059	none		7508	6623	-	TBepi.metabat.3256_1004673	ABC-type multidrug transport system, ATPase component
kb|g.236059.CDS.523	CDS		kb|g.236059	;	No annotated function	7719	8154	+	TBepi.metabat.3256_1004673	
kb|g.236059.CDS.524	CDS	Fumarate hydratase class II (EC 4.2.1.2)	kb|g.236059	none		20	833	+	TBepi.metabat.3256_1002082	Fumarate hydratase class II (EC 4.2.1.2)
kb|g.236059.CDS.525	CDS		kb|g.236059	;	No annotated function	829	1159	+	TBepi.metabat.3256_1002082	
kb|g.236059.CDS.526	CDS		kb|g.236059	;	No annotated function	1898	1154	-	TBepi.metabat.3256_1002082	
kb|g.236059.CDS.527	CDS		kb|g.236059	;	No annotated function	2523	1935	-	TBepi.metabat.3256_1002082	
kb|g.236059.CDS.528	CDS	Probable protease htpX homolog 1 (EC 3.4.24.-)	kb|g.236059	none		3425	2522	-	TBepi.metabat.3256_1002082	Probable protease htpX homolog 1 (EC 3.4.24.-)
kb|g.236059.CDS.529	CDS	PspA/IM30 family protein	kb|g.236059	none		4159	3421	-	TBepi.metabat.3256_1002082	PspA/IM30 family protein
kb|g.236059.CDS.530	CDS	Mycothiol S-conjugate amidase Mca	kb|g.236059	none		4258	5119	+	TBepi.metabat.3256_1002082	Mycothiol S-conjugate amidase Mca
kb|g.236059.CDS.531	CDS		kb|g.236059	;	No annotated function	5935	5110	-	TBepi.metabat.3256_1002082	
kb|g.236059.CDS.532	CDS	Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)	kb|g.236059	none		6434	5939	-	TBepi.metabat.3256_1002082	Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)
kb|g.236059.CDS.533	CDS	Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)	kb|g.236059	none		7654	6433	-	TBepi.metabat.3256_1002082	Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)
kb|g.236059.CDS.534	CDS		kb|g.236059	;	No annotated function	7690	8605	+	TBepi.metabat.3256_1002082	
kb|g.236059.CDS.535	CDS		kb|g.236059	;	No annotated function	9213	8607	-	TBepi.metabat.3256_1002082	
kb|g.236059.CDS.536	CDS		kb|g.236059	;	No annotated function	9513	9249	-	TBepi.metabat.3256_1002082	
kb|g.236059.CDS.537	CDS		kb|g.236059	;	No annotated function	11128	9658	-	TBepi.metabat.3256_1002082	
kb|g.236059.CDS.538	CDS		kb|g.236059	;	No annotated function	11561	11732	+	TBepi.metabat.3256_1002082	
kb|g.236059.CDS.539	CDS		kb|g.236059	;	No annotated function	12536	11750	-	TBepi.metabat.3256_1002082	
kb|g.236059.CDS.540	CDS		kb|g.236059	;	No annotated function	12559	12919	+	TBepi.metabat.3256_1002082	
kb|g.236059.CDS.541	CDS	Threonine dehydrogenase and related Zn-dependent dehydrogenases	kb|g.236059	none		13958	12914	-	TBepi.metabat.3256_1002082	Threonine dehydrogenase and related Zn-dependent dehydrogenases
kb|g.236059.CDS.542	CDS		kb|g.236059	;	No annotated function	14106	13962	-	TBepi.metabat.3256_1002082	
kb|g.236059.CDS.543	CDS		kb|g.236059	;	No annotated function	36	612	+	TBepi.metabat.3256_1007281	
kb|g.236059.CDS.544	CDS		kb|g.236059	;	No annotated function	1611	612	-	TBepi.metabat.3256_1007281	
kb|g.236059.CDS.545	CDS		kb|g.236059	;	No annotated function	1672	2320	+	TBepi.metabat.3256_1007281	
kb|g.236059.CDS.546	CDS		kb|g.236059	;	No annotated function	2321	3488	+	TBepi.metabat.3256_1007281	
kb|g.236059.CDS.547	CDS		kb|g.236059	;	No annotated function	3768	3483	-	TBepi.metabat.3256_1007281	
kb|g.236059.CDS.548	CDS		kb|g.236059	;	No annotated function	4002	4230	+	TBepi.metabat.3256_1007281	
kb|g.236059.CDS.549	CDS		kb|g.236059	;	No annotated function	4273	5152	+	TBepi.metabat.3256_1007281	
kb|g.236059.CDS.550	CDS	Sporulation regulatory protein WhiB	kb|g.236059	none		5427	5154	-	TBepi.metabat.3256_1007281	Sporulation regulatory protein WhiB
kb|g.236059.CDS.551	CDS	FIG019045: long form Mg-chelase associated protein with vWA domain	kb|g.236059	none		6458	5558	-	TBepi.metabat.3256_1007281	FIG019045: long form Mg-chelase associated protein with vWA domain
kb|g.236059.CDS.552	CDS		kb|g.236059	;	No annotated function	1120	379	-	TBepi.metabat.3256_1004143	
kb|g.236059.CDS.553	CDS		kb|g.236059	;	No annotated function	1363	1138	-	TBepi.metabat.3256_1004143	
kb|g.236059.CDS.554	CDS		kb|g.236059	;	No annotated function	1910	1415	-	TBepi.metabat.3256_1004143	
kb|g.236059.CDS.555	CDS		kb|g.236059	;	No annotated function	2155	1906	-	TBepi.metabat.3256_1004143	
