AAA027M14.genome.CDS.1136,group00380
AAA027M14.genome.CDS.1275,group00333
AAA027M14.genome.CDS.1276,group08428
AAA027M14.genome.CDS.1277,group07820
AAA027M14.genome.CDS.1278,group01017
AAA027M14.genome.CDS.1279,group00217
AAA027M14.genome.CDS.1373,group00494
AAA027M14.genome.CDS.1372,group11426
AAA027M14.genome.CDS.1375,group00298
AAA027M14.genome.CDS.1374,group00461
AAA027M14.genome.CDS.1377,group00170
AAA027M14.genome.CDS.1376,group00008
AAA027M14.genome.CDS.1340,group05885
AAA027M14.genome.CDS.857,group00560
AAA027M14.genome.CDS.1308,group00062
AAA027M14.genome.CDS.1309,group02474
AAA027M14.genome.CDS.1658,group00664
AAA027M14.genome.CDS.1341,group00246
AAA027M14.genome.CDS.1656,group00669
AAA027M14.genome.CDS.1305,group00122
AAA027M14.genome.CDS.1306,group01321
AAA027M14.genome.CDS.1655,group08480
AAA027M14.genome.CDS.1300,group00244
AAA027M14.genome.CDS.1653,group05864
AAA027M14.genome.CDS.1302,group00147
AAA027M14.genome.CDS.1651,group05866
AAA027M14.genome.CDS.1304,group00115
AAA027M14.genome.CDS.1611,group03657
AAA027M14.genome.CDS.1657,group00565
AAA027M14.genome.CDS.1616,group00641
AAA027M14.genome.CDS.1617,group00153
AAA027M14.genome.CDS.1307,group00097
AAA027M14.genome.CDS.1614,group00439
AAA027M14.genome.CDS.1223,group00176
AAA027M14.genome.CDS.1652,group05865
AAA027M14.genome.CDS.1615,group01039
AAA027M14.genome.CDS.1301,group08763
AAA027M14.genome.CDS.1650,group01993
AAA027M14.genome.CDS.1303,group00172
AAA027M14.genome.CDS.1664,group00940
AAA027M14.genome.CDS.1579,group03557
AAA027M14.genome.CDS.1578,group04409
AAA027M14.genome.CDS.1573,group10917
AAA027M14.genome.CDS.1572,group05211
AAA027M14.genome.CDS.1571,group00434
AAA027M14.genome.CDS.1570,group00789
AAA027M14.genome.CDS.1577,group04130
AAA027M14.genome.CDS.1576,group02218
AAA027M14.genome.CDS.1575,group01644
AAA027M14.genome.CDS.1574,group08235
AAA027M14.genome.CDS.1098,group00508
AAA027M14.genome.CDS.1214,group05879
AAA027M14.genome.CDS.1210,group00817
AAA027M14.genome.CDS.1099,group00094
AAA027M14.genome.CDS.890,group12797
AAA027M14.genome.CDS.1001,group08128
AAA027M14.genome.CDS.1489,group00240
AAA027M14.genome.CDS.868,group00961
AAA027M14.genome.CDS.1488,group00225
AAA027M14.genome.CDS.891,group01019
AAA027M14.genome.CDS.1148,group00055
AAA027M14.genome.CDS.1186,group00344
AAA027M14.genome.CDS.973,group05870
AAA027M14.genome.CDS.1184,group00374
AAA027M14.genome.CDS.1185,group00659
AAA027M14.genome.CDS.1182,group10778
AAA027M14.genome.CDS.1183,group00393
AAA027M14.genome.CDS.1180,group05854
AAA027M14.genome.CDS.972,group04318
AAA027M14.genome.CDS.988,group10697
AAA027M14.genome.CDS.1188,group00345
AAA027M14.genome.CDS.1189,group00801
AAA027M14.genome.CDS.836,group01241
AAA027M14.genome.CDS.837,group01337
AAA027M14.genome.CDS.834,group05857
AAA027M14.genome.CDS.1480,group00357
AAA027M14.genome.CDS.832,group08240
AAA027M14.genome.CDS.833,group00183
AAA027M14.genome.CDS.830,group00591
AAA027M14.genome.CDS.831,group08165
AAA027M14.genome.CDS.977,group00326
AAA027M14.genome.CDS.838,group02402
AAA027M14.genome.CDS.839,group07147
AAA027M14.genome.CDS.1054,group00671
AAA027M14.genome.CDS.1055,group00267
AAA027M14.genome.CDS.1056,group06578
AAA027M14.genome.CDS.1057,group00606
AAA027M14.genome.CDS.1119,group13751
AAA027M14.genome.CDS.1118,group04116
AAA027M14.genome.CDS.1052,group02776
AAA027M14.genome.CDS.1053,group00905
AAA027M14.genome.CDS.1115,group00116
AAA027M14.genome.CDS.1114,group00934
AAA027M14.genome.CDS.1117,group00102
AAA027M14.genome.CDS.1116,group01024
AAA027M14.genome.CDS.1058,group00229
AAA027M14.genome.CDS.1059,group00807
AAA027M14.genome.CDS.1113,group00611
AAA027M14.genome.CDS.1112,group01112
AAA027M14.genome.CDS.1006,group00010
AAA027M14.genome.CDS.1211,group00787
AAA027M14.genome.CDS.1627,group00005
AAA027M14.genome.CDS.1334,group00454
AAA027M14.genome.CDS.1625,group00697
AAA027M14.genome.CDS.1624,group00356
AAA027M14.genome.CDS.1623,group00797
AAA027M14.genome.CDS.1622,group00203
AAA027M14.genome.CDS.1333,group00840
AAA027M14.genome.CDS.1620,group00141
AAA027M14.genome.CDS.835,group13619
AAA278I18.genome.CDS.1719,group04455
AAA027M14.genome.CDS.1338,group08257
AAA027M14.genome.CDS.1629,group00004
AAA027M14.genome.CDS.1628,group00071
AAA027M14.genome.CDS.1021,group13659
AAA027M14.genome.CDS.1472,group00012
AAA027M14.genome.CDS.1023,group00045
AAA027M14.genome.CDS.1022,group00635
AAA027M14.genome.CDS.1025,group05197
AAA027M14.genome.CDS.1024,group05742
AAA027M14.genome.CDS.1027,group12383
AAA027M14.genome.CDS.1026,group00574
AAA027M14.genome.CDS.902,group01259
AAA027M14.genome.CDS.903,group11238
AAA027M14.genome.CDS.1452,group00645
AAA027M14.genome.CDS.901,group11178
AAA027M14.genome.CDS.906,group00742
AAA027M14.genome.CDS.1455,group00222
AAA027M14.genome.CDS.904,group01330
AAA027M14.genome.CDS.905,group00955
AAA027M14.genome.CDS.706,group00383
AAA027M14.genome.CDS.1471,group00453
AAA027M14.genome.CDS.920,group00625
AAA027M14.genome.CDS.1477,group12328
AAA027M14.genome.CDS.1133,group01106
AAA027M14.genome.CDS.1474,group00275
AAA027M14.genome.CDS.1260,group04475
AAA027M14.genome.CDS.923,group02869
AAA027M14.genome.CDS.1520,group00728
AAA027M14.genome.CDS.1521,group00919
AAA027M14.genome.CDS.1522,group05897
AAA027M14.genome.CDS.1523,group00919
AAA027M14.genome.CDS.1524,group03973
AAA027M14.genome.CDS.1525,group01057
AAA027M14.genome.CDS.1526,group03919
AAA027M14.genome.CDS.1527,group02766
AAA027M14.genome.CDS.1241,group00047
AAA027M14.genome.CDS.1240,group00375
AAA027M14.genome.CDS.1243,group00260
AAA027M14.genome.CDS.1242,group00766
AAA027M14.genome.CDS.1245,group01010
AAA027M14.genome.CDS.1244,group07129
AAA027M14.genome.CDS.1247,group11925
AAA027M14.genome.CDS.1246,group05877
AAA027M14.genome.CDS.1132,group01343
AAA027M14.genome.CDS.1479,group07520
AAA027M14.genome.CDS.1238,group00128
AAA027M14.genome.CDS.1239,group00897
AAA027M14.genome.CDS.1234,group00328
AAA027M14.genome.CDS.1235,group00277
AAA027M14.genome.CDS.1236,group10600
AAA027M14.genome.CDS.1237,group00922
AAA027M14.genome.CDS.1230,group00223
AAA027M14.genome.CDS.1231,group04698
AAA027M14.genome.CDS.1232,group05424
AAA027M14.genome.CDS.1233,group04034
AAA027M14.genome.CDS.1221,group12056
AAA027M14.genome.CDS.885,group00969
AAA027M14.genome.CDS.1008,group00540
