bin_29_2_acIII.genome.CDS.3819,group00707
bin_29_2_acIII.genome.CDS.2963,group00748
bin_29_2_acIII.genome.CDS.2964,group01952
bin_29_2_acIII.genome.CDS.2965,group00929
bin_29_2_acIII.genome.CDS.2966,group05612
bin_29_2_acIII.genome.CDS.2967,group00490
bin_29_2_acIII.genome.CDS.2968,group07054
bin_29_2_acIII.genome.CDS.2969,group01240
bin_29_2_acIII.genome.CDS.4322,group00814
bin_29_2_acIII.genome.CDS.4631,group02437
bin_29_2_acIII.genome.CDS.4636,group06913
bin_29_2_acIII.genome.CDS.4637,group06912
bin_29_2_acIII.genome.CDS.2564,group05358
bin_29_2_acIII.genome.CDS.2565,group03593
bin_29_2_acIII.genome.CDS.2566,group00256
bin_29_2_acIII.genome.CDS.2567,group01264
bin_29_2_acIII.genome.CDS.2560,group01852
bin_29_2_acIII.genome.CDS.2561,group03516
bin_29_2_acIII.genome.CDS.2562,group01027
bin_29_2_acIII.genome.CDS.2563,group06944
bin_29_2_acIII.genome.CDS.4327,group00835
bin_29_2_acIII.genome.CDS.2568,group05562
bin_29_2_acIII.genome.CDS.2569,group02931
bin_29_2_acIII.genome.CDS.3569,group07123
bin_29_2_acIII.genome.CDS.3568,group00676
bin_29_2_acIII.genome.CDS.3567,group01185
bin_29_2_acIII.genome.CDS.3566,group02896
bin_29_2_acIII.genome.CDS.3565,group03520
bin_29_2_acIII.genome.CDS.3564,group01242
bin_29_2_acIII.genome.CDS.3563,group00773
bin_29_2_acIII.genome.CDS.3562,group00263
bin_29_2_acIII.genome.CDS.3561,group07125
bin_29_2_acIII.genome.CDS.3560,group01056
bin_29_2_acIII.genome.CDS.4558,group00878
bin_29_2_acIII.genome.CDS.2588,group01306
bin_29_2_acIII.genome.CDS.2589,group00730
bin_29_2_acIII.genome.CDS.2586,group07121
bin_29_2_acIII.genome.CDS.2587,group00176
bin_29_2_acIII.genome.CDS.2584,group00882
bin_29_2_acIII.genome.CDS.2585,group00275
bin_29_2_acIII.genome.CDS.2582,group02414
bin_29_2_acIII.genome.CDS.2583,group03026
bin_29_2_acIII.genome.CDS.2580,group00471
bin_29_2_acIII.genome.CDS.2581,group00012
bin_29_2_acIII.genome.CDS.4535,group01230
bin_29_2_acIII.genome.CDS.3214,group06998
bin_29_2_acIII.genome.CDS.4241,group07225
bin_29_2_acIII.genome.CDS.3960,group01147
bin_29_2_acIII.genome.CDS.4531,group06830
bin_29_2_acIII.genome.CDS.4530,group00723
bin_29_2_acIII.genome.CDS.4533,group00615
bin_29_2_acIII.genome.CDS.3212,group06999
bin_29_2_acIII.genome.CDS.2616,group00007
bin_29_2_acIII.genome.CDS.2617,group00559
bin_29_2_acIII.genome.CDS.3969,group00249
bin_29_2_acIII.genome.CDS.2615,group02692
bin_29_2_acIII.genome.CDS.2612,group00705
bin_29_2_acIII.genome.CDS.3218,group01288
bin_29_2_acIII.genome.CDS.2610,group03802
bin_29_2_acIII.genome.CDS.2611,group00704
bin_29_2_acIII.genome.CDS.4409,group00083
bin_29_2_acIII.genome.CDS.3368,group00643
bin_29_2_acIII.genome.CDS.3361,group01088
bin_29_2_acIII.genome.CDS.3360,group01144
bin_29_2_acIII.genome.CDS.4403,group00373
bin_29_2_acIII.genome.CDS.4402,group00204
bin_29_2_acIII.genome.CDS.4405,group06854
bin_29_2_acIII.genome.CDS.3364,group00604
bin_29_2_acIII.genome.CDS.3367,group00793
bin_29_2_acIII.genome.CDS.3366,group00037
bin_29_2_acIII.genome.CDS.3699,group00721
bin_29_2_acIII.genome.CDS.3698,group00695
bin_29_2_acIII.genome.CDS.3691,group02243
bin_29_2_acIII.genome.CDS.3690,group02087
bin_29_2_acIII.genome.CDS.3693,group01770
bin_29_2_acIII.genome.CDS.3692,group03282
bin_29_2_acIII.genome.CDS.3695,group07315
bin_29_2_acIII.genome.CDS.3694,group01059
bin_29_2_acIII.genome.CDS.3697,group00406
bin_29_2_acIII.genome.CDS.3696,group00481
bin_29_2_acIII.genome.CDS.4621,group02437
bin_29_2_acIII.genome.CDS.4620,group00918
bin_29_2_acIII.genome.CDS.4623,group06921
bin_29_2_acIII.genome.CDS.4622,group06922
bin_29_2_acIII.genome.CDS.4625,group06919
bin_29_2_acIII.genome.CDS.4624,group06920
bin_29_2_acIII.genome.CDS.4627,group06917
bin_29_2_acIII.genome.CDS.4626,group06918
bin_29_2_acIII.genome.CDS.4629,group06915
bin_29_2_acIII.genome.CDS.4628,group06916
bin_29_2_acIII.genome.CDS.49,group03656
bin_29_2_acIII.genome.CDS.3105,group00140
bin_29_2_acIII.genome.CDS.4339,group03159
bin_29_2_acIII.genome.CDS.4338,group00089
bin_29_2_acIII.genome.CDS.4337,group01152
bin_29_2_acIII.genome.CDS.4336,group01934
bin_29_2_acIII.genome.CDS.4335,group00637
bin_29_2_acIII.genome.CDS.4334,group03806
bin_29_2_acIII.genome.CDS.4333,group00436
bin_29_2_acIII.genome.CDS.4332,group00319
bin_29_2_acIII.genome.CDS.4331,group00997
bin_29_2_acIII.genome.CDS.4330,group00105
bin_29_2_acIII.genome.CDS.3185,group07008
bin_29_2_acIII.genome.CDS.3184,group01186
bin_29_2_acIII.genome.CDS.3187,group01355
bin_29_2_acIII.genome.CDS.3186,group01467
bin_29_2_acIII.genome.CDS.3181,group00508
bin_29_2_acIII.genome.CDS.3180,group07009
bin_29_2_acIII.genome.CDS.3183,group00395
bin_29_2_acIII.genome.CDS.3182,group02195
bin_29_2_acIII.genome.CDS.4737,group02477
bin_29_2_acIII.genome.CDS.3189,group00959
bin_29_2_acIII.genome.CDS.3188,group01277
bin_29_2_acIII.genome.CDS.3100,group00203
bin_29_2_acIII.genome.CDS.4735,group06874
bin_29_2_acIII.genome.CDS.3102,group02482
bin_29_2_acIII.genome.CDS.3210,group07000
bin_29_2_acIII.genome.CDS.4759,group01940
bin_29_2_acIII.genome.CDS.4758,group02861
bin_29_2_acIII.genome.CDS.4755,group00898
bin_29_2_acIII.genome.CDS.4754,group06871
bin_29_2_acIII.genome.CDS.4757,group06870
bin_29_2_acIII.genome.CDS.4756,group00740
bin_29_2_acIII.genome.CDS.4751,group01658
bin_29_2_acIII.genome.CDS.4750,group01658
bin_29_2_acIII.genome.CDS.4753,group01327
bin_29_2_acIII.genome.CDS.4752,group00435
bin_29_2_acIII.genome.CDS.3213,group00678
bin_29_2_acIII.genome.CDS.3250,group00036
bin_29_2_acIII.genome.CDS.2925,group00703
bin_29_2_acIII.genome.CDS.3898,group01209
bin_29_2_acIII.genome.CDS.3989,group01276
bin_29_2_acIII.genome.CDS.3988,group07266
bin_29_2_acIII.genome.CDS.3985,group04696
bin_29_2_acIII.genome.CDS.3984,group01932
bin_29_2_acIII.genome.CDS.3987,group00140
bin_29_2_acIII.genome.CDS.3986,group04712
bin_29_2_acIII.genome.CDS.3981,group03796
bin_29_2_acIII.genome.CDS.3980,group03285
bin_29_2_acIII.genome.CDS.3983,group03794
bin_29_2_acIII.genome.CDS.3982,group03795
bin_29_2_acIII.genome.CDS.2922,group05263
bin_29_2_acIII.genome.CDS.1877,group07221
bin_29_2_acIII.genome.CDS.1698,group07244
bin_29_2_acIII.genome.CDS.1878,group07220
bin_29_2_acIII.genome.CDS.2843,group00013
bin_29_2_acIII.genome.CDS.3255,group02455
bin_29_2_acIII.genome.CDS.3325,group00735
bin_29_2_acIII.genome.CDS.4544,group02376
bin_29_2_acIII.genome.CDS.4350,group01103
bin_29_2_acIII.genome.CDS.2725,group00683
bin_29_2_acIII.genome.CDS.3327,group00620
bin_29_2_acIII.genome.CDS.3326,group00343
bin_29_2_acIII.genome.CDS.4547,group00524
bin_29_2_acIII.genome.CDS.4501,group06835
bin_29_2_acIII.genome.CDS.774,group07003
bin_29_2_acIII.genome.CDS.773,group07004
bin_29_2_acIII.genome.CDS.3806,group00884
bin_29_2_acIII.genome.CDS.4502,group00681
bin_29_2_acIII.genome.CDS.3738,group00095
bin_29_2_acIII.genome.CDS.2775,group00289
bin_29_2_acIII.genome.CDS.2774,group00006
bin_29_2_acIII.genome.CDS.2777,group00724
bin_29_2_acIII.genome.CDS.2800,group00896
bin_29_2_acIII.genome.CDS.2807,group00862
bin_29_2_acIII.genome.CDS.2806,group00848
bin_29_2_acIII.genome.CDS.2805,group00792
bin_29_2_acIII.genome.CDS.2804,group00854
bin_29_2_acIII.genome.CDS.4503,group00629
bin_29_2_acIII.genome.CDS.2809,group00920
bin_29_2_acIII.genome.CDS.2808,group00886
bin_29_2_acIII.genome.CDS.2779,group01610
bin_29_2_acIII.genome.CDS.2778,group00282
bin_29_2_acIII.genome.CDS.977,group01551
bin_29_2_acIII.genome.CDS.3322,group01150
bin_29_2_acIII.genome.CDS.2979,group02374
bin_29_2_acIII.genome.CDS.2978,group02129
bin_29_2_acIII.genome.CDS.2977,group03556
bin_29_2_acIII.genome.CDS.2976,group07050
bin_29_2_acIII.genome.CDS.2974,group07051
bin_29_2_acIII.genome.CDS.2973,group07052
bin_29_2_acIII.genome.CDS.2972,group05272
bin_29_2_acIII.genome.CDS.2971,group07053
bin_29_2_acIII.genome.CDS.2970,group03927
bin_29_2_acIII.genome.CDS.2573,group01588
bin_29_2_acIII.genome.CDS.2572,group01783
bin_29_2_acIII.genome.CDS.2571,group03903
bin_29_2_acIII.genome.CDS.2570,group02449
bin_29_2_acIII.genome.CDS.2577,group03025
bin_29_2_acIII.genome.CDS.2576,group03384
bin_29_2_acIII.genome.CDS.2575,group03040
bin_29_2_acIII.genome.CDS.2574,group07122
bin_29_2_acIII.genome.CDS.2579,group00453
bin_29_2_acIII.genome.CDS.2578,group00392
bin_29_2_acIII.genome.CDS.3312,group00767
bin_29_2_acIII.genome.CDS.3518,group00942
bin_29_2_acIII.genome.CDS.2651,group05076
bin_29_2_acIII.genome.CDS.3512,group02642
bin_29_2_acIII.genome.CDS.3314,group03108
bin_29_2_acIII.genome.CDS.3510,group02323
bin_29_2_acIII.genome.CDS.3511,group01094
bin_29_2_acIII.genome.CDS.3516,group04361
bin_29_2_acIII.genome.CDS.3517,group02481
bin_29_2_acIII.genome.CDS.3514,group02941
bin_29_2_acIII.genome.CDS.4475,group03897
bin_29_2_acIII.genome.CDS.2599,group07115
bin_29_2_acIII.genome.CDS.3316,group06976
bin_29_2_acIII.genome.CDS.2595,group07117
bin_29_2_acIII.genome.CDS.2594,group07118
bin_29_2_acIII.genome.CDS.2597,group01449
bin_29_2_acIII.genome.CDS.2596,group04199
bin_29_2_acIII.genome.CDS.2591,group03518
bin_29_2_acIII.genome.CDS.2590,group00668
bin_29_2_acIII.genome.CDS.2593,group02806
bin_29_2_acIII.genome.CDS.2592,group07119
bin_29_2_acIII.genome.CDS.4500,group01314
bin_29_2_acIII.genome.CDS.3733,group00129
bin_29_2_acIII.genome.CDS.3222,group00310
bin_29_2_acIII.genome.CDS.3223,group02598
bin_29_2_acIII.genome.CDS.3224,group00860
bin_29_2_acIII.genome.CDS.3225,group02275
bin_29_2_acIII.genome.CDS.4506,group00869
bin_29_2_acIII.genome.CDS.4507,group03292
bin_29_2_acIII.genome.CDS.3228,group01003
bin_29_2_acIII.genome.CDS.3229,group00531
bin_29_2_acIII.genome.CDS.3653,group01520
bin_29_2_acIII.genome.CDS.3739,group00151
bin_29_2_acIII.genome.CDS.2601,group07113
bin_29_2_acIII.genome.CDS.2600,group07114
bin_29_2_acIII.genome.CDS.2603,group03324
bin_29_2_acIII.genome.CDS.2602,group00149
bin_29_2_acIII.genome.CDS.3354,group01187
bin_29_2_acIII.genome.CDS.3427,group02336
bin_29_2_acIII.genome.CDS.3424,group00105
bin_29_2_acIII.genome.CDS.4437,group00572
bin_29_2_acIII.genome.CDS.3422,group00230
bin_29_2_acIII.genome.CDS.4431,group06851
bin_29_2_acIII.genome.CDS.3420,group04589
bin_29_2_acIII.genome.CDS.3421,group07146
bin_29_2_acIII.genome.CDS.4438,group00478
bin_29_2_acIII.genome.CDS.4439,group01980
bin_29_2_acIII.genome.CDS.3428,group07145
bin_29_2_acIII.genome.CDS.3429,group07144
bin_29_2_acIII.genome.CDS.3556,group00819
bin_29_2_acIII.genome.CDS.71,group06951
bin_29_2_acIII.genome.CDS.4188,group04231
bin_29_2_acIII.genome.CDS.4189,group07229
bin_29_2_acIII.genome.CDS.3005,group04174
bin_29_2_acIII.genome.CDS.4184,group01816
bin_29_2_acIII.genome.CDS.4185,group01925
bin_29_2_acIII.genome.CDS.4186,group00629
bin_29_2_acIII.genome.CDS.4187,group00681
bin_29_2_acIII.genome.CDS.4180,group07232
bin_29_2_acIII.genome.CDS.3006,group07044
bin_29_2_acIII.genome.CDS.4182,group00374
bin_29_2_acIII.genome.CDS.4183,group07231
bin_29_2_acIII.genome.CDS.4348,group00185
bin_29_2_acIII.genome.CDS.3555,group00390
bin_29_2_acIII.genome.CDS.4618,group00220
bin_29_2_acIII.genome.CDS.4619,group01295
bin_29_2_acIII.genome.CDS.3648,group00639
bin_29_2_acIII.genome.CDS.3649,group07205
bin_29_2_acIII.genome.CDS.4614,group00442
bin_29_2_acIII.genome.CDS.3647,group07206
bin_29_2_acIII.genome.CDS.4340,group01291
bin_29_2_acIII.genome.CDS.3645,group07208
bin_29_2_acIII.genome.CDS.3642,group07148
bin_29_2_acIII.genome.CDS.4347,group02480
bin_29_2_acIII.genome.CDS.3640,group07150
bin_29_2_acIII.genome.CDS.3641,group07149
bin_29_2_acIII.genome.CDS.3550,group01063
bin_29_2_acIII.genome.CDS.3551,group02886
bin_29_2_acIII.genome.CDS.4549,group06829
bin_29_2_acIII.genome.CDS.4470,group04703
bin_29_2_acIII.genome.CDS.4768,group02468
bin_29_2_acIII.genome.CDS.4769,group06868
bin_29_2_acIII.genome.CDS.4760,group03657
bin_29_2_acIII.genome.CDS.2533,group04355
bin_29_2_acIII.genome.CDS.4762,group00005
bin_29_2_acIII.genome.CDS.4763,group04357
bin_29_2_acIII.genome.CDS.4764,group02877
bin_29_2_acIII.genome.CDS.4765,group02394
bin_29_2_acIII.genome.CDS.4766,group03491
bin_29_2_acIII.genome.CDS.3009,group00813
bin_29_2_acIII.genome.CDS.2531,group06948
bin_29_2_acIII.genome.CDS.4430,group05648
bin_29_2_acIII.genome.CDS.3559,group00950
bin_29_2_acIII.genome.CDS.4298,group00765
bin_29_2_acIII.genome.CDS.4299,group00212
bin_29_2_acIII.genome.CDS.4290,group03280
bin_29_2_acIII.genome.CDS.4291,group02124
bin_29_2_acIII.genome.CDS.4292,group00587
bin_29_2_acIII.genome.CDS.4293,group01258
bin_29_2_acIII.genome.CDS.4294,group00109
bin_29_2_acIII.genome.CDS.4295,group00097
bin_29_2_acIII.genome.CDS.4296,group02297
bin_29_2_acIII.genome.CDS.4297,group00317
bin_29_2_acIII.genome.CDS.4198,group01191
bin_29_2_acIII.genome.CDS.4432,group06850
bin_29_2_acIII.genome.CDS.4433,group06848
bin_29_2_acIII.genome.CDS.4175,group00852
bin_29_2_acIII.genome.CDS.3386,group06965
bin_29_2_acIII.genome.CDS.3241,group00183
bin_29_2_acIII.genome.CDS.3384,group00133
bin_29_2_acIII.genome.CDS.3383,group01116
bin_29_2_acIII.genome.CDS.3382,group01397
bin_29_2_acIII.genome.CDS.4173,group01755
bin_29_2_acIII.genome.CDS.4172,group00075
bin_29_2_acIII.genome.CDS.1487,group04226
bin_29_2_acIII.genome.CDS.344,group00616
bin_29_2_acIII.genome.CDS.1488,group07279
bin_29_2_acIII.genome.CDS.3379,group00771
bin_29_2_acIII.genome.CDS.3388,group00816
bin_29_2_acIII.genome.CDS.3893,group03127
bin_29_2_acIII.genome.CDS.4478,group06844
bin_29_2_acIII.genome.CDS.4372,group00044
bin_29_2_acIII.genome.CDS.3891,group00024
bin_29_2_acIII.genome.CDS.3337,group00890
bin_29_2_acIII.genome.CDS.3890,group01378
bin_29_2_acIII.genome.CDS.2928,group01198
bin_29_2_acIII.genome.CDS.4377,group03933
bin_29_2_acIII.genome.CDS.4376,group03297
bin_29_2_acIII.genome.CDS.3671,group00849
bin_29_2_acIII.genome.CDS.4374,group00375
bin_29_2_acIII.genome.CDS.3776,group00677
bin_29_2_acIII.genome.CDS.3777,group00276
bin_29_2_acIII.genome.CDS.3899,group05049
bin_29_2_acIII.genome.CDS.3775,group01445
bin_29_2_acIII.genome.CDS.3772,group02593
bin_29_2_acIII.genome.CDS.3957,group00426
bin_29_2_acIII.genome.CDS.3954,group00389
bin_29_2_acIII.genome.CDS.4275,group01166
bin_29_2_acIII.genome.CDS.4579,group06823
bin_29_2_acIII.genome.CDS.3258,group02867
bin_29_2_acIII.genome.CDS.2740,group01271
bin_29_2_acIII.genome.CDS.2741,group03290
bin_29_2_acIII.genome.CDS.2742,group00497
bin_29_2_acIII.genome.CDS.2743,group00751
bin_29_2_acIII.genome.CDS.2744,group02691
bin_29_2_acIII.genome.CDS.2745,group00776
bin_29_2_acIII.genome.CDS.2746,group00152
bin_29_2_acIII.genome.CDS.2295,group06892
bin_29_2_acIII.genome.CDS.2748,group00057
bin_29_2_acIII.genome.CDS.2749,group03899
bin_29_2_acIII.genome.CDS.3209,group07001
bin_29_2_acIII.genome.CDS.4612,group01706
bin_29_2_acIII.genome.CDS.4571,group03567
bin_29_2_acIII.genome.CDS.3702,group00386
bin_29_2_acIII.genome.CDS.3701,group07314
bin_29_2_acIII.genome.CDS.3700,group00416
bin_29_2_acIII.genome.CDS.3330,group00758
bin_29_2_acIII.genome.CDS.4536,group00763
bin_29_2_acIII.genome.CDS.4575,group00417
bin_29_2_acIII.genome.CDS.2747,group00060
bin_29_2_acIII.genome.CDS.3254,group02940
bin_29_2_acIII.genome.CDS.2908,group05615
bin_29_2_acIII.genome.CDS.2909,group04738
bin_29_2_acIII.genome.CDS.3705,group00410
bin_29_2_acIII.genome.CDS.2902,group00161
bin_29_2_acIII.genome.CDS.2903,group00562
bin_29_2_acIII.genome.CDS.2900,group00341
bin_29_2_acIII.genome.CDS.3704,group00050
bin_29_2_acIII.genome.CDS.2906,group07060
bin_29_2_acIII.genome.CDS.2907,group00815
bin_29_2_acIII.genome.CDS.2904,group00232
bin_29_2_acIII.genome.CDS.2905,group00759
bin_29_2_acIII.genome.CDS.3509,group01663
bin_29_2_acIII.genome.CDS.3508,group01462
bin_29_2_acIII.genome.CDS.3501,group00839
bin_29_2_acIII.genome.CDS.3500,group00021
bin_29_2_acIII.genome.CDS.3503,group01316
bin_29_2_acIII.genome.CDS.3502,group01133
bin_29_2_acIII.genome.CDS.3505,group00107
bin_29_2_acIII.genome.CDS.3504,group03594
bin_29_2_acIII.genome.CDS.3507,group00555
bin_29_2_acIII.genome.CDS.3506,group00600
bin_29_2_acIII.genome.CDS.3721,group07312
bin_29_2_acIII.genome.CDS.3720,group00376
bin_29_2_acIII.genome.CDS.3723,group00296
bin_29_2_acIII.genome.CDS.3722,group00366
bin_29_2_acIII.genome.CDS.3725,group00297
bin_29_2_acIII.genome.CDS.3724,group00412
bin_29_2_acIII.genome.CDS.3727,group01356
bin_29_2_acIII.genome.CDS.3726,group00227
bin_29_2_acIII.genome.CDS.3729,group00063
bin_29_2_acIII.genome.CDS.3728,group00048
bin_29_2_acIII.genome.CDS.2632,group05590
bin_29_2_acIII.genome.CDS.2633,group07110
bin_29_2_acIII.genome.CDS.2634,group07109
bin_29_2_acIII.genome.CDS.2635,group01128
bin_29_2_acIII.genome.CDS.2636,group00718
bin_29_2_acIII.genome.CDS.2637,group00654
bin_29_2_acIII.genome.CDS.4423,group00975
bin_29_2_acIII.genome.CDS.4422,group00000
bin_29_2_acIII.genome.CDS.4421,group04088
bin_29_2_acIII.genome.CDS.4420,group01169
bin_29_2_acIII.genome.CDS.4427,group02832
bin_29_2_acIII.genome.CDS.3430,group07143
bin_29_2_acIII.genome.CDS.3433,group01553
bin_29_2_acIII.genome.CDS.4424,group01075
bin_29_2_acIII.genome.CDS.4429,group00740
bin_29_2_acIII.genome.CDS.4428,group00692
bin_29_2_acIII.genome.CDS.3439,group00648
bin_29_2_acIII.genome.CDS.3438,group00473
bin_29_2_acIII.genome.CDS.4532,group03660
bin_29_2_acIII.genome.CDS.4658,group01758
bin_29_2_acIII.genome.CDS.4199,group01190
bin_29_2_acIII.genome.CDS.4573,group00418
bin_29_2_acIII.genome.CDS.4307,group03997
bin_29_2_acIII.genome.CDS.4193,group00037
bin_29_2_acIII.genome.CDS.4191,group00826
bin_29_2_acIII.genome.CDS.4190,group03291
bin_29_2_acIII.genome.CDS.4197,group02949
bin_29_2_acIII.genome.CDS.4196,group00907
bin_29_2_acIII.genome.CDS.4195,group03661
bin_29_2_acIII.genome.CDS.4194,group01604
bin_29_2_acIII.genome.CDS.4359,group03714
bin_29_2_acIII.genome.CDS.4358,group00127
bin_29_2_acIII.genome.CDS.4609,group01485
bin_29_2_acIII.genome.CDS.4608,group06924
bin_29_2_acIII.genome.CDS.3659,group05464
bin_29_2_acIII.genome.CDS.3658,group07324
bin_29_2_acIII.genome.CDS.4351,group01146
bin_29_2_acIII.genome.CDS.4602,group05655
bin_29_2_acIII.genome.CDS.4601,group05654
bin_29_2_acIII.genome.CDS.4352,group00700
bin_29_2_acIII.genome.CDS.4607,group00043
bin_29_2_acIII.genome.CDS.4354,group00100
bin_29_2_acIII.genome.CDS.4605,group02185
bin_29_2_acIII.genome.CDS.3652,group05115
bin_29_2_acIII.genome.CDS.4572,group00776
bin_29_2_acIII.genome.CDS.3067,group00280
bin_29_2_acIII.genome.CDS.3239,group05315
bin_29_2_acIII.genome.CDS.4518,group06833
bin_29_2_acIII.genome.CDS.3237,group06996
bin_29_2_acIII.genome.CDS.3236,group00045
bin_29_2_acIII.genome.CDS.4515,group00581
bin_29_2_acIII.genome.CDS.4514,group00842
bin_29_2_acIII.genome.CDS.4513,group03293
bin_29_2_acIII.genome.CDS.4512,group04410
bin_29_2_acIII.genome.CDS.4511,group04410
bin_29_2_acIII.genome.CDS.3230,group02948
bin_29_2_acIII.genome.CDS.4777,group00332
bin_29_2_acIII.genome.CDS.4776,group03543
bin_29_2_acIII.genome.CDS.4775,group05518
bin_29_2_acIII.genome.CDS.4774,group00813
bin_29_2_acIII.genome.CDS.4773,group01302
bin_29_2_acIII.genome.CDS.4772,group00813
bin_29_2_acIII.genome.CDS.4771,group06866
bin_29_2_acIII.genome.CDS.4770,group06867
bin_29_2_acIII.genome.CDS.4779,group00441
bin_29_2_acIII.genome.CDS.4778,group00331
bin_29_2_acIII.genome.CDS.4308,group05644
bin_29_2_acIII.genome.CDS.4657,group00010
bin_29_2_acIII.genome.CDS.4574,group00528
bin_29_2_acIII.genome.CDS.4445,group01076
bin_29_2_acIII.genome.CDS.4287,group00110
bin_29_2_acIII.genome.CDS.4285,group04423
bin_29_2_acIII.genome.CDS.4284,group00040
bin_29_2_acIII.genome.CDS.4283,group00120
bin_29_2_acIII.genome.CDS.4282,group07222
bin_29_2_acIII.genome.CDS.4281,group01102
bin_29_2_acIII.genome.CDS.4280,group02415
bin_29_2_acIII.genome.CDS.4577,group06824
bin_29_2_acIII.genome.CDS.4289,group04423
bin_29_2_acIII.genome.CDS.4288,group00601
bin_29_2_acIII.genome.CDS.4444,group00123
bin_29_2_acIII.genome.CDS.2793,group00715
bin_29_2_acIII.genome.CDS.4539,group00541
bin_29_2_acIII.genome.CDS.2861,group07074
bin_29_2_acIII.genome.CDS.4447,group02126
bin_29_2_acIII.genome.CDS.2792,group00611
bin_29_2_acIII.genome.CDS.4538,group00540
bin_29_2_acIII.genome.CDS.4446,group00807
bin_29_2_acIII.genome.CDS.2791,group00688
bin_29_2_acIII.genome.CDS.1253,group03296
bin_29_2_acIII.genome.CDS.1252,group07317
bin_29_2_acIII.genome.CDS.4441,group03302
bin_29_2_acIII.genome.CDS.3235,group00713
bin_29_2_acIII.genome.CDS.2790,group00328
bin_29_2_acIII.genome.CDS.3174,group04149
bin_29_2_acIII.genome.CDS.4783,group06934
bin_29_2_acIII.genome.CDS.4780,group03192
bin_29_2_acIII.genome.CDS.2797,group00845
bin_29_2_acIII.genome.CDS.4786,group01514
bin_29_2_acIII.genome.CDS.4787,group01763
bin_29_2_acIII.genome.CDS.3172,group07014
bin_29_2_acIII.genome.CDS.4443,group00949
bin_29_2_acIII.genome.CDS.4785,group01434
bin_29_2_acIII.genome.CDS.2796,group00821
bin_29_2_acIII.genome.CDS.2901,group00561
bin_29_2_acIII.genome.CDS.3882,group07286
bin_29_2_acIII.genome.CDS.3231,group05637
bin_29_2_acIII.genome.CDS.288,group07093
bin_29_2_acIII.genome.CDS.2280,group06900
bin_29_2_acIII.genome.CDS.4158,group03421
bin_29_2_acIII.genome.CDS.4526,group00525
bin_29_2_acIII.genome.CDS.3309,group03971
bin_29_2_acIII.genome.CDS.919,group06971
bin_29_2_acIII.genome.CDS.913,group00358
bin_29_2_acIII.genome.CDS.911,group00359
bin_29_2_acIII.genome.CDS.4527,group00255
bin_29_2_acIII.genome.CDS.2919,group07058
bin_29_2_acIII.genome.CDS.2918,group07059
bin_29_2_acIII.genome.CDS.4524,group02054
bin_29_2_acIII.genome.CDS.2911,group00271
bin_29_2_acIII.genome.CDS.2910,group01856
bin_29_2_acIII.genome.CDS.2913,group01071
bin_29_2_acIII.genome.CDS.2912,group01060
bin_29_2_acIII.genome.CDS.2915,group00646
bin_29_2_acIII.genome.CDS.2914,group01203
bin_29_2_acIII.genome.CDS.2917,group01695
bin_29_2_acIII.genome.CDS.2916,group01878
bin_29_2_acIII.genome.CDS.2759,group02235
bin_29_2_acIII.genome.CDS.623,group07034
bin_29_2_acIII.genome.CDS.2757,group01816
bin_29_2_acIII.genome.CDS.2756,group00612
bin_29_2_acIII.genome.CDS.2755,group00631
bin_29_2_acIII.genome.CDS.2754,group03528
bin_29_2_acIII.genome.CDS.2753,group03445
bin_29_2_acIII.genome.CDS.2752,group00361
bin_29_2_acIII.genome.CDS.2751,group00649
bin_29_2_acIII.genome.CDS.2750,group07091
bin_29_2_acIII.genome.CDS.3534,group03783
bin_29_2_acIII.genome.CDS.3535,group04687
bin_29_2_acIII.genome.CDS.3536,group01596
bin_29_2_acIII.genome.CDS.3537,group01853
bin_29_2_acIII.genome.CDS.3530,group07129
bin_29_2_acIII.genome.CDS.3531,group02631
bin_29_2_acIII.genome.CDS.3532,group03782
bin_29_2_acIII.genome.CDS.3533,group03781
bin_29_2_acIII.genome.CDS.3538,group07128
bin_29_2_acIII.genome.CDS.3539,group02236
bin_29_2_acIII.genome.CDS.2627,group00813
bin_29_2_acIII.genome.CDS.2626,group01341
bin_29_2_acIII.genome.CDS.2625,group01660
bin_29_2_acIII.genome.CDS.2624,group00628
bin_29_2_acIII.genome.CDS.2623,group05618
bin_29_2_acIII.genome.CDS.2622,group05619
bin_29_2_acIII.genome.CDS.2621,group01955
bin_29_2_acIII.genome.CDS.2620,group01895
bin_29_2_acIII.genome.CDS.3084,group00875
bin_29_2_acIII.genome.CDS.3085,group00622
bin_29_2_acIII.genome.CDS.3086,group07033
bin_29_2_acIII.genome.CDS.3087,group00517
bin_29_2_acIII.genome.CDS.3080,group00298
bin_29_2_acIII.genome.CDS.3081,group00462
bin_29_2_acIII.genome.CDS.3082,group00494
bin_29_2_acIII.genome.CDS.3083,group00667
bin_29_2_acIII.genome.CDS.3400,group01171
bin_29_2_acIII.genome.CDS.3401,group00787
bin_29_2_acIII.genome.CDS.3403,group06963
bin_29_2_acIII.genome.CDS.3404,group00942
bin_29_2_acIII.genome.CDS.3405,group03529
bin_29_2_acIII.genome.CDS.3406,group06962
bin_29_2_acIII.genome.CDS.3407,group06961
bin_29_2_acIII.genome.CDS.3408,group05445
bin_29_2_acIII.genome.CDS.3409,group04147
bin_29_2_acIII.genome.CDS.4166,group00513
bin_29_2_acIII.genome.CDS.3399,group02600
