AAA044N04.genome.CDS.2453,group01019
AAA044N04.genome.CDS.2071,group00128
AAA044N04.genome.CDS.2072,group00897
AAA044N04.genome.CDS.2073,group00375
AAA044N04.genome.CDS.2074,group00044
AAA044N04.genome.CDS.2075,group00766
AAA044N04.genome.CDS.2077,group07129
AAA044N04.genome.CDS.2078,group00649
AAA044N04.genome.CDS.2170,group01714
AAA044N04.genome.CDS.2173,group00702
AAA044N04.genome.CDS.1652,group00064
AAA044N04.genome.CDS.2175,group00747
AAA044N04.genome.CDS.2174,group00017
AAA044N04.genome.CDS.2177,group00746
AAA044N04.genome.CDS.2176,group00042
AAA044N04.genome.CDS.2108,group10362
AAA044N04.genome.CDS.2109,group07427
AAA044N04.genome.CDS.2458,group01077
AAA044N04.genome.CDS.2525,group00326
AAA044N04.genome.CDS.2104,group00691
AAA044N04.genome.CDS.2105,group00311
AAA044N04.genome.CDS.2454,group00022
AAA044N04.genome.CDS.2107,group00671
AAA044N04.genome.CDS.2100,group00397
AAA044N04.genome.CDS.2502,group00235
AAA044N04.genome.CDS.2102,group00752
AAA044N04.genome.CDS.2451,group00003
AAA044N04.genome.CDS.1712,group00406
AAA044N04.genome.CDS.1794,group00130
AAA044N04.genome.CDS.2281,group00873
AAA044N04.genome.CDS.2534,group00367
AAA044N04.genome.CDS.1931,group00864
AAA044N04.genome.CDS.2129,group00751
AAA044N04.genome.CDS.2093,group00773
AAA044N04.genome.CDS.2232,group07845
AAA044N04.genome.CDS.1665,group00536
AAA044N04.genome.CDS.1426,group00961
AAA044N04.genome.CDS.2230,group00321
AAA044N04.genome.CDS.1427,group02626
AAA044N04.genome.CDS.2479,group00050
AAA044N04.genome.CDS.1667,group00577
AAA044N04.genome.CDS.1660,group07954
AAA044N04.genome.CDS.2237,group02616
AAA044N04.genome.CDS.2226,group01382
AAA044N04.genome.CDS.2478,group02010
AAA044N04.genome.CDS.1846,group11259
AAA044N04.genome.CDS.2013,group00501
AAA044N04.genome.CDS.1847,group00435
AAA044N04.genome.CDS.2473,group10919
AAA044N04.genome.CDS.1021,group11648
AAA044N04.genome.CDS.1780,group00876
AAA044N04.genome.CDS.1808,group00556
AAA044N04.genome.CDS.1809,group00415
AAA044N04.genome.CDS.2356,group00503
AAA044N04.genome.CDS.1804,group02256
AAA044N04.genome.CDS.1805,group08763
AAA044N04.genome.CDS.1806,group00107
AAA044N04.genome.CDS.1807,group00527
AAA044N04.genome.CDS.1800,group00659
AAA044N04.genome.CDS.1801,group00313
AAA044N04.genome.CDS.1802,group00859
AAA044N04.genome.CDS.1803,group00162
AAA044N04.genome.CDS.1368,group13210
AAA044N04.genome.CDS.1926,group00280
AAA044N04.genome.CDS.1778,group00665
AAA044N04.genome.CDS.1593,group00567
AAA044N04.genome.CDS.1970,group07690
AAA044N04.genome.CDS.1376,group00537
AAA044N04.genome.CDS.1377,group01708
AAA044N04.genome.CDS.1374,group04032
AAA044N04.genome.CDS.1375,group01398
AAA044N04.genome.CDS.1372,group00005
AAA044N04.genome.CDS.1373,group01969
AAA044N04.genome.CDS.1370,group12774
AAA044N04.genome.CDS.1371,group07680
AAA044N04.genome.CDS.1277,group00615
AAA044N04.genome.CDS.2260,group00735
AAA044N04.genome.CDS.1378,group02062
AAA044N04.genome.CDS.1379,group01112
AAA044N04.genome.CDS.1879,group08226
AAA044N04.genome.CDS.1878,group08410
AAA044N04.genome.CDS.1796,group01086
AAA044N04.genome.CDS.1797,group00377
AAA044N04.genome.CDS.1790,group00441
AAA044N04.genome.CDS.1975,group03497
AAA044N04.genome.CDS.1976,group02938
AAA044N04.genome.CDS.1977,group02255
AAA044N04.genome.CDS.1655,group00677
AAA044N04.genome.CDS.1870,group02339
AAA044N04.genome.CDS.1873,group08416
AAA044N04.genome.CDS.1656,group00703
AAA044N04.genome.CDS.1798,group06648
AAA044N04.genome.CDS.1650,group00068
AAA044N04.genome.CDS.1877,group01421
AAA044N04.genome.CDS.1876,group10778
AAA044N04.genome.CDS.2492,group00491
AAA044N04.genome.CDS.2287,group00061
AAA044N04.genome.CDS.2258,group00704
AAA044N04.genome.CDS.1629,group07705
AAA044N04.genome.CDS.1496,group01992
AAA044N04.genome.CDS.1987,group01056
AAA044N04.genome.CDS.2012,group00835
AAA044N04.genome.CDS.1475,group00021
AAA044N04.genome.CDS.1474,group01725
AAA044N04.genome.CDS.1477,group00020
AAA044N04.genome.CDS.1986,group03919
AAA044N04.genome.CDS.1471,group01023
AAA044N04.genome.CDS.1470,group00787
AAA044N04.genome.CDS.1473,group07447
AAA044N04.genome.CDS.1472,group01023
AAA044N04.genome.CDS.1772,group00376
AAA044N04.genome.CDS.2496,group02024
AAA044N04.genome.CDS.488,group00800
AAA044N04.genome.CDS.1771,group00252
AAA044N04.genome.CDS.1479,group05402
AAA044N04.genome.CDS.1777,group00553
AAA044N04.genome.CDS.1774,group00526
AAA044N04.genome.CDS.1775,group07897
AAA044N04.genome.CDS.2386,group05108
AAA044N04.genome.CDS.2387,group00067
AAA044N04.genome.CDS.2384,group00182
AAA044N04.genome.CDS.2259,group00475
AAA044N04.genome.CDS.1578,group00426
AAA044N04.genome.CDS.2383,group00211
AAA044N04.genome.CDS.2380,group05294
AAA044N04.genome.CDS.2381,group00452
AAA044N04.genome.CDS.1574,group04420
AAA044N04.genome.CDS.1575,group00655
AAA044N04.genome.CDS.1576,group00470
AAA044N04.genome.CDS.1577,group00869
AAA044N04.genome.CDS.1570,group04438
AAA044N04.genome.CDS.1571,group12706
AAA044N04.genome.CDS.1572,group00218
AAA044N04.genome.CDS.2389,group00147
AAA044N04.genome.CDS.1488,group00554
AAA044N04.genome.CDS.1489,group00241
AAA044N04.genome.CDS.1920,group03121
AAA044N04.genome.CDS.1480,group10214
AAA044N04.genome.CDS.1927,group00409
AAA044N04.genome.CDS.1482,group00597
AAA044N04.genome.CDS.1483,group12069
AAA044N04.genome.CDS.1484,group00283
AAA044N04.genome.CDS.1485,group00432
AAA044N04.genome.CDS.2215,group09179
AAA044N04.genome.CDS.1487,group00693
AAA044N04.genome.CDS.2254,group00971
AAA044N04.genome.CDS.242,group00105
AAA044N04.genome.CDS.2257,group00811
AAA044N04.genome.CDS.2250,group11479
AAA044N04.genome.CDS.2251,group06282
AAA044N04.genome.CDS.2252,group00983
AAA044N04.genome.CDS.2253,group01665
AAA044N04.genome.CDS.2315,group01088
AAA044N04.genome.CDS.2314,group12009
AAA044N04.genome.CDS.2317,group02162
AAA044N04.genome.CDS.1292,group03032
AAA044N04.genome.CDS.2311,group00791
AAA044N04.genome.CDS.2310,group02062
AAA044N04.genome.CDS.2313,group00613
AAA044N04.genome.CDS.2312,group00433
AAA044N04.genome.CDS.1509,group00926
AAA044N04.genome.CDS.1508,group00942
AAA044N04.genome.CDS.2035,group00946
AAA044N04.genome.CDS.1501,group00686
AAA044N04.genome.CDS.1500,group00982
AAA044N04.genome.CDS.1503,group08980
AAA044N04.genome.CDS.1502,group00683
AAA044N04.genome.CDS.1505,group10917
AAA044N04.genome.CDS.1727,group00621
AAA044N04.genome.CDS.1507,group01008
AAA044N04.genome.CDS.1506,group00911
AAA044N04.genome.CDS.2427,group00391
AAA044N04.genome.CDS.2134,group00458
AAA044N04.genome.CDS.2425,group00760
AAA044N04.genome.CDS.2136,group07708
AAA044N04.genome.CDS.2131,group00226
AAA044N04.genome.CDS.2422,group07168
AAA044N04.genome.CDS.2421,group00391
AAA044N04.genome.CDS.2420,group00065
AAA044N04.genome.CDS.2139,group00010
AAA044N04.genome.CDS.2138,group00049
AAA044N04.genome.CDS.2429,group00651
AAA044N04.genome.CDS.2428,group00589
AAA044N04.genome.CDS.2221,group11180
AAA044N04.genome.CDS.2220,group13897
AAA044N04.genome.CDS.2223,group00748
AAA044N04.genome.CDS.2222,group01586
AAA044N04.genome.CDS.2225,group00984
AAA044N04.genome.CDS.2224,group01121
AAA044N04.genome.CDS.2555,group05085
AAA044N04.genome.CDS.2554,group06921
AAA044N04.genome.CDS.2229,group05283
AAA044N04.genome.CDS.2228,group00224
AAA044N04.genome.CDS.2559,group11549
AAA044N04.genome.CDS.2558,group00324
AAA044N04.genome.CDS.2233,group00232
AAA044N04.genome.CDS.2388,group00111
AAA044N04.genome.CDS.791,group00260
AAA044N04.genome.CDS.2269,group12041
AAA044N04.genome.CDS.1573,group00607
AAA044N04.genome.CDS.2181,group00199
AAA044N04.genome.CDS.1863,group01099
AAA044N04.genome.CDS.2112,group08718
AAA044N04.genome.CDS.1729,group00363
AAA044N04.genome.CDS.1922,group00174
AAA044N04.genome.CDS.2049,group01176
AAA044N04.genome.CDS.2048,group00817
AAA044N04.genome.CDS.1520,group01516
AAA044N04.genome.CDS.2041,group01646
AAA044N04.genome.CDS.2040,group00310
AAA044N04.genome.CDS.2043,group00504
AAA044N04.genome.CDS.1685,group00912
AAA044N04.genome.CDS.2045,group00266
AAA044N04.genome.CDS.2044,group00043
AAA044N04.genome.CDS.2047,group09064
AAA044N04.genome.CDS.2046,group00858
AAA044N04.genome.CDS.2399,group01762
AAA044N04.genome.CDS.1788,group00812
AAA044N04.genome.CDS.2038,group00797
AAA044N04.genome.CDS.2039,group13756
AAA044N04.genome.CDS.2034,group00614
AAA044N04.genome.CDS.2261,group00343
AAA044N04.genome.CDS.2036,group00007
AAA044N04.genome.CDS.2037,group00850
AAA044N04.genome.CDS.2030,group00438
AAA044N04.genome.CDS.1921,group00285
AAA044N04.genome.CDS.2292,group00934
AAA044N04.genome.CDS.2033,group00690
AAA044N04.genome.CDS.1964,group05079
AAA044N04.genome.CDS.1481,group07674
AAA044N04.genome.CDS.1449,group10032
AAA044N04.genome.CDS.2398,group09996
AAA044N04.genome.CDS.1653,group00960
AAA044N04.genome.CDS.1478,group00814
AAA044N04.genome.CDS.1885,group00524
AAA044N04.genome.CDS.2463,group01033
AAA044N04.genome.CDS.1602,group00627
AAA044N04.genome.CDS.1332,group00576
AAA044N04.genome.CDS.1600,group00992
AAA044N04.genome.CDS.1601,group00205
AAA044N04.genome.CDS.1606,group00090
AAA044N04.genome.CDS.1607,group00765
AAA044N04.genome.CDS.1604,group00192
AAA044N04.genome.CDS.1605,group00246
AAA044N04.genome.CDS.1608,group00317
AAA044N04.genome.CDS.1609,group01319
AAA044N04.genome.CDS.1598,group00642
AAA044N04.genome.CDS.1330,group00587
AAA044N04.genome.CDS.2401,group08165
AAA044N04.genome.CDS.1835,group00720
AAA044N04.genome.CDS.1834,group00519
AAA044N04.genome.CDS.1837,group00565
AAA044N04.genome.CDS.1836,group00838
AAA044N04.genome.CDS.1830,group08655
AAA044N04.genome.CDS.1833,group00584
AAA044N04.genome.CDS.2538,group00557
AAA044N04.genome.CDS.1336,group00892
AAA044N04.genome.CDS.1114,group04409
AAA044N04.genome.CDS.1883,group01664
AAA044N04.genome.CDS.1112,group01621
AAA044N04.genome.CDS.2256,group00705
AAA044N04.genome.CDS.1441,group07014
AAA044N04.genome.CDS.1898,group00001
AAA044N04.genome.CDS.1938,group00696
AAA044N04.genome.CDS.1939,group00427
AAA044N04.genome.CDS.1288,group00611
AAA044N04.genome.CDS.1289,group08077
AAA044N04.genome.CDS.1286,group00764
AAA044N04.genome.CDS.2319,group00478
AAA044N04.genome.CDS.1284,group00820
AAA044N04.genome.CDS.1285,group00825
AAA044N04.genome.CDS.1930,group00217
AAA044N04.genome.CDS.1283,group00847
AAA044N04.genome.CDS.1932,group01007
AAA044N04.genome.CDS.1933,group00573
AAA044N04.genome.CDS.1736,group00394
AAA044N04.genome.CDS.1737,group00362
AAA044N04.genome.CDS.1734,group00202
AAA044N04.genome.CDS.1735,group00425
AAA044N04.genome.CDS.1732,group00284
AAA044N04.genome.CDS.1622,group00085
AAA044N04.genome.CDS.1730,group01000
AAA044N04.genome.CDS.2439,group01396
AAA044N04.genome.CDS.569,group06032
AAA044N04.genome.CDS.1738,group00257
AAA044N04.genome.CDS.2198,group00807
AAA044N04.genome.CDS.1309,group01013
AAA044N04.genome.CDS.1308,group00986
AAA044N04.genome.CDS.1307,group00016
AAA044N04.genome.CDS.1306,group00004
AAA044N04.genome.CDS.1305,group00342
AAA044N04.genome.CDS.1304,group00724
AAA044N04.genome.CDS.1303,group04318
AAA044N04.genome.CDS.1302,group00282
AAA044N04.genome.CDS.1301,group00454
AAA044N04.genome.CDS.1300,group00523
AAA044N04.genome.CDS.1949,group01024
AAA044N04.genome.CDS.1948,group01112
AAA044N04.genome.CDS.2316,group02542
AAA044N04.genome.CDS.1795,group00498
AAA044N04.genome.CDS.1364,group01127
AAA044N04.genome.CDS.1941,group00733
AAA044N04.genome.CDS.1940,group08653
AAA044N04.genome.CDS.1943,group07378
AAA044N04.genome.CDS.1942,group00489
AAA044N04.genome.CDS.1945,group04573
AAA044N04.genome.CDS.1944,group00490
AAA044N04.genome.CDS.1947,group01394
AAA044N04.genome.CDS.1946,group01790
AAA044N04.genome.CDS.2169,group00936
AAA044N04.genome.CDS.591,group03447
AAA044N04.genome.CDS.1718,group08420
AAA044N04.genome.CDS.1450,group00097
AAA044N04.genome.CDS.1452,group13627
AAA044N04.genome.CDS.1719,group04405
AAA044N04.genome.CDS.1545,group00124
AAA044N04.genome.CDS.1544,group00292
AAA044N04.genome.CDS.1428,group00395
AAA044N04.genome.CDS.1429,group00021
AAA044N04.genome.CDS.1541,group00168
AAA044N04.genome.CDS.1540,group00078
AAA044N04.genome.CDS.1543,group00513
AAA044N04.genome.CDS.1542,group02097
AAA044N04.genome.CDS.1422,group00242
AAA044N04.genome.CDS.1423,group01026
AAA044N04.genome.CDS.1420,group06963
AAA044N04.genome.CDS.1421,group08086
AAA044N04.genome.CDS.1549,group00450
AAA044N04.genome.CDS.1548,group08676
AAA044N04.genome.CDS.1424,group00024
AAA044N04.genome.CDS.1425,group00707
AAA044N04.genome.CDS.1334,group00776
AAA044N04.genome.CDS.1625,group00919
AAA044N04.genome.CDS.2342,group04130
AAA044N04.genome.CDS.2343,group07748
AAA044N04.genome.CDS.2340,group00430
AAA044N04.genome.CDS.2341,group00145
AAA044N04.genome.CDS.2346,group01628
AAA044N04.genome.CDS.2347,group06565
AAA044N04.genome.CDS.2344,group03501
AAA044N04.genome.CDS.2345,group00672
AAA044N04.genome.CDS.1710,group00721
AAA044N04.genome.CDS.2348,group12412
AAA044N04.genome.CDS.2349,group00669
AAA044N04.genome.CDS.2103,group01993
AAA044N04.genome.CDS.2008,group12709
AAA044N04.genome.CDS.2184,group02791
AAA044N04.genome.CDS.2185,group01021
AAA044N04.genome.CDS.2186,group01241
AAA044N04.genome.CDS.2187,group00829
AAA044N04.genome.CDS.2180,group00009
AAA044N04.genome.CDS.2268,group13086
AAA044N04.genome.CDS.2182,group00706
AAA044N04.genome.CDS.2183,group00023
AAA044N04.genome.CDS.2265,group00890
AAA044N04.genome.CDS.2264,group00736
AAA044N04.genome.CDS.2267,group00233
AAA044N04.genome.CDS.2266,group01769
AAA044N04.genome.CDS.2188,group11566
AAA044N04.genome.CDS.2189,group00351
AAA044N04.genome.CDS.2263,group00799
AAA044N04.genome.CDS.2262,group00620
AAA044N04.genome.CDS.1884,group00987
AAA044N04.genome.CDS.1783,group00769
AAA044N04.genome.CDS.1886,group00112
AAA044N04.genome.CDS.1887,group00661
AAA044N04.genome.CDS.1880,group01766
AAA044N04.genome.CDS.1881,group00181
AAA044N04.genome.CDS.1882,group04578
AAA044N04.genome.CDS.2462,group00593
AAA044N04.genome.CDS.1888,group00713
AAA044N04.genome.CDS.1889,group00153
AAA044N04.genome.CDS.1504,group00072
AAA044N04.genome.CDS.2005,group01405
AAA044N04.genome.CDS.2004,group01059
AAA044N04.genome.CDS.2168,group12383
AAA044N04.genome.CDS.2006,group01006
AAA044N04.genome.CDS.2000,group00813
AAA044N04.genome.CDS.2003,group01305
AAA044N04.genome.CDS.2002,group10223
AAA044N04.genome.CDS.2162,group00045
AAA044N04.genome.CDS.2163,group00826
AAA044N04.genome.CDS.2160,group01032
AAA044N04.genome.CDS.2161,group00637
AAA044N04.genome.CDS.2166,group00901
AAA044N04.genome.CDS.2167,group00575
AAA044N04.genome.CDS.2164,group00629
AAA044N04.genome.CDS.2165,group00681
AAA044N04.genome.CDS.2508,group00405
AAA044N04.genome.CDS.2135,group00654
AAA044N04.genome.CDS.2461,group00256
AAA044N04.genome.CDS.2460,group00472
AAA044N04.genome.CDS.2467,group10680
AAA044N04.genome.CDS.2466,group08749
AAA044N04.genome.CDS.2465,group08213
AAA044N04.genome.CDS.2426,group00685
AAA044N04.genome.CDS.2500,group00410
AAA044N04.genome.CDS.2501,group00414
AAA044N04.genome.CDS.2469,group00933
AAA044N04.genome.CDS.2503,group00200
AAA044N04.genome.CDS.2504,group03968
AAA044N04.genome.CDS.2505,group00599
AAA044N04.genome.CDS.2506,group00261
AAA044N04.genome.CDS.2507,group00031
AAA044N04.genome.CDS.1967,group10511
AAA044N04.genome.CDS.1579,group04408
AAA044N04.genome.CDS.2424,group00711
AAA044N04.genome.CDS.1456,group01389
AAA044N04.genome.CDS.1621,group00041
AAA044N04.genome.CDS.2423,group12865
AAA044N04.genome.CDS.1492,group01700
AAA044N04.genome.CDS.1965,group08235
AAA044N04.genome.CDS.2064,group00287
AAA044N04.genome.CDS.2130,group00497
AAA044N04.genome.CDS.2489,group00141
AAA044N04.genome.CDS.1530,group00368
AAA044N04.genome.CDS.2468,group12278
AAA044N04.genome.CDS.2133,group00750
AAA044N04.genome.CDS.1531,group00401
AAA044N04.genome.CDS.2481,group00386
AAA044N04.genome.CDS.2480,group00139
AAA044N04.genome.CDS.2483,group01010
AAA044N04.genome.CDS.2482,group01812
AAA044N04.genome.CDS.2485,group00516
AAA044N04.genome.CDS.2484,group00634
AAA044N04.genome.CDS.2487,group00016
AAA044N04.genome.CDS.2486,group00004
AAA044N04.genome.CDS.1626,group00102
AAA044N04.genome.CDS.2122,group00361
AAA044N04.genome.CDS.1678,group09831
AAA044N04.genome.CDS.1627,group00196
AAA044N04.genome.CDS.2010,group04030
AAA044N04.genome.CDS.2464,group00543
AAA044N04.genome.CDS.2551,group01454
AAA044N04.genome.CDS.2200,group00927
AAA044N04.genome.CDS.1335,group00728
AAA044N04.genome.CDS.1587,group00566
AAA044N04.genome.CDS.1539,group00195
AAA044N04.genome.CDS.1457,group10037
AAA044N04.genome.CDS.2011,group00743
AAA044N04.genome.CDS.1916,group00039
AAA044N04.genome.CDS.1872,group11935
AAA044N04.genome.CDS.2552,group01595
AAA044N04.genome.CDS.2550,group00058
AAA044N04.genome.CDS.1671,group00843
AAA044N04.genome.CDS.1260,group01596
AAA044N04.genome.CDS.1670,group04070
AAA044N04.genome.CDS.2557,group01238
AAA044N04.genome.CDS.2132,group13196
AAA044N04.genome.CDS.1581,group00436
AAA044N04.genome.CDS.1913,group00209
AAA044N04.genome.CDS.1905,group00875
AAA044N04.genome.CDS.1904,group09900
AAA044N04.genome.CDS.1907,group00494
AAA044N04.genome.CDS.1869,group02330
AAA044N04.genome.CDS.1901,group00520
AAA044N04.genome.CDS.2227,group05080
AAA044N04.genome.CDS.1648,group05272
AAA044N04.genome.CDS.1902,group00463
AAA044N04.genome.CDS.1862,group00827
AAA044N04.genome.CDS.1647,group00476
AAA044N04.genome.CDS.1644,group10155
AAA044N04.genome.CDS.1645,group00571
AAA044N04.genome.CDS.1866,group05250
AAA044N04.genome.CDS.1908,group00462
AAA044N04.genome.CDS.1640,group00193
AAA044N04.genome.CDS.1865,group00809
AAA044N04.genome.CDS.1851,group13185
AAA044N04.genome.CDS.1954,group01038
AAA044N04.genome.CDS.2513,group10443
AAA044N04.genome.CDS.1855,group08158
AAA044N04.genome.CDS.1466,group00254
AAA044N04.genome.CDS.1467,group00081
AAA044N04.genome.CDS.1464,group00177
AAA044N04.genome.CDS.1465,group00094
AAA044N04.genome.CDS.1462,group00051
AAA044N04.genome.CDS.2556,group01387
AAA044N04.genome.CDS.1749,group02747
AAA044N04.genome.CDS.1461,group00674
AAA044N04.genome.CDS.1747,group00768
AAA044N04.genome.CDS.1494,group08208
AAA044N04.genome.CDS.1745,group00853
AAA044N04.genome.CDS.1744,group00104
AAA044N04.genome.CDS.1743,group00106
AAA044N04.genome.CDS.1742,group00294
AAA044N04.genome.CDS.1741,group00657
AAA044N04.genome.CDS.1740,group00136
AAA044N04.genome.CDS.1546,group13639
AAA044N04.genome.CDS.1580,group00431
AAA044N04.genome.CDS.1583,group00716
AAA044N04.genome.CDS.1582,group01355
AAA044N04.genome.CDS.1585,group00898
AAA044N04.genome.CDS.1584,group00239
AAA044N04.genome.CDS.1703,group07583
AAA044N04.genome.CDS.1586,group13725
AAA044N04.genome.CDS.1589,group02829
AAA044N04.genome.CDS.1588,group00700
AAA044N04.genome.CDS.1850,group02248
AAA044N04.genome.CDS.2027,group02433
AAA044N04.genome.CDS.2514,group00138
AAA044N04.genome.CDS.1349,group06533
AAA044N04.genome.CDS.1348,group01563
AAA044N04.genome.CDS.1900,group02379
AAA044N04.genome.CDS.1343,group00658
AAA044N04.genome.CDS.1342,group00347
AAA044N04.genome.CDS.1341,group00346
AAA044N04.genome.CDS.1340,group00345
AAA044N04.genome.CDS.1347,group00551
AAA044N04.genome.CDS.1346,group00710
AAA044N04.genome.CDS.1345,group07217
AAA044N04.genome.CDS.1344,group07790
AAA044N04.genome.CDS.1408,group00212
AAA044N04.genome.CDS.1702,group00586
AAA044N04.genome.CDS.2308,group02493
AAA044N04.genome.CDS.1760,group00082
AAA044N04.genome.CDS.2306,group00027
AAA044N04.genome.CDS.2307,group02420
AAA044N04.genome.CDS.390,group00474
AAA044N04.genome.CDS.2518,group10360
AAA044N04.genome.CDS.2302,group07670
AAA044N04.genome.CDS.2303,group01346
AAA044N04.genome.CDS.2300,group02106
AAA044N04.genome.CDS.2301,group05665
AAA044N04.genome.CDS.1469,group05070
AAA044N04.genome.CDS.2111,group02372
AAA044N04.genome.CDS.1518,group00679
AAA044N04.genome.CDS.1519,group00680
AAA044N04.genome.CDS.2350,group07699
AAA044N04.genome.CDS.1512,group03355
AAA044N04.genome.CDS.1513,group01977
AAA044N04.genome.CDS.1510,group02467
AAA044N04.genome.CDS.1511,group11946
AAA044N04.genome.CDS.1516,group00647
AAA044N04.genome.CDS.1517,group01829
AAA044N04.genome.CDS.1514,group01313
AAA044N04.genome.CDS.1515,group00032
AAA044N04.genome.CDS.2531,group00841
AAA044N04.genome.CDS.2530,group00623
AAA044N04.genome.CDS.2124,group00215
AAA044N04.genome.CDS.2125,group00057
AAA044N04.genome.CDS.2535,group09926
AAA044N04.genome.CDS.2123,group00002
AAA044N04.genome.CDS.2537,group00460
AAA044N04.genome.CDS.2288,group05119
AAA044N04.genome.CDS.2539,group05084
AAA044N04.genome.CDS.2286,group00264
AAA044N04.genome.CDS.2285,group00083
AAA044N04.genome.CDS.2284,group00053
AAA044N04.genome.CDS.2283,group00349
AAA044N04.genome.CDS.2282,group02627
AAA044N04.genome.CDS.2128,group02350
AAA044N04.genome.CDS.2280,group00194
AAA044N04.genome.CDS.2544,group00010
AAA044N04.genome.CDS.2545,group01677
AAA044N04.genome.CDS.2546,group02596
AAA044N04.genome.CDS.2231,group00967
AAA044N04.genome.CDS.2540,group01975
AAA044N04.genome.CDS.2541,group03441
AAA044N04.genome.CDS.2542,group08192
AAA044N04.genome.CDS.2235,group00161
AAA044N04.genome.CDS.2238,group00625
AAA044N04.genome.CDS.2239,group00624
AAA044N04.genome.CDS.2397,group02250
AAA044N04.genome.CDS.2396,group08503
AAA044N04.genome.CDS.1367,group01203
AAA044N04.genome.CDS.2488,group00737
AAA044N04.genome.CDS.1699,group09811
AAA044N04.genome.CDS.2363,group10353
AAA044N04.genome.CDS.1751,group00274
AAA044N04.genome.CDS.1770,group00366
AAA044N04.genome.CDS.2018,group00725
AAA044N04.genome.CDS.1333,group01036
AAA044N04.genome.CDS.75,group00579
AAA044N04.genome.CDS.2058,group00176
AAA044N04.genome.CDS.2059,group00981
AAA044N04.genome.CDS.2510,group06333
AAA044N04.genome.CDS.1906,group11426
AAA044N04.genome.CDS.2052,group00668
AAA044N04.genome.CDS.2053,group01003
AAA044N04.genome.CDS.2050,group00029
AAA044N04.genome.CDS.2051,group12999
AAA044N04.genome.CDS.2056,group12056
AAA044N04.genome.CDS.2057,group00785
AAA044N04.genome.CDS.2054,group00590
AAA044N04.genome.CDS.2055,group00052
AAA044N04.genome.CDS.2438,group00197
AAA044N04.genome.CDS.2218,group00510
AAA044N04.genome.CDS.2219,group05087
AAA044N04.genome.CDS.2430,group00784
AAA044N04.genome.CDS.2431,group00210
AAA044N04.genome.CDS.2432,group00278
AAA044N04.genome.CDS.2433,group00632
AAA044N04.genome.CDS.2434,group11641
AAA044N04.genome.CDS.2435,group01515
AAA044N04.genome.CDS.2436,group01585
AAA044N04.genome.CDS.2437,group00664
AAA044N04.genome.CDS.1361,group00755
AAA044N04.genome.CDS.1691,group00185
AAA044N04.genome.CDS.1759,group05289
AAA044N04.genome.CDS.670,group10658
AAA044N04.genome.CDS.2120,group00014
AAA044N04.genome.CDS.2194,group00267
AAA044N04.genome.CDS.1331,group00113
AAA044N04.genome.CDS.2568,group01031
AAA044N04.genome.CDS.1637,group00084
AAA044N04.genome.CDS.1636,group01035
AAA044N04.genome.CDS.1635,group06547
AAA044N04.genome.CDS.1634,group00849
AAA044N04.genome.CDS.1633,group00975
AAA044N04.genome.CDS.1631,group00964
AAA044N04.genome.CDS.1630,group00172
AAA044N04.genome.CDS.2212,group01239
AAA044N04.genome.CDS.1639,group00188
AAA044N04.genome.CDS.1638,group00086
AAA044N04.genome.CDS.1826,group00534
AAA044N04.genome.CDS.1827,group02025
AAA044N04.genome.CDS.1824,group08976
AAA044N04.genome.CDS.1825,group07127
AAA044N04.genome.CDS.1822,group00633
AAA044N04.genome.CDS.1823,group00344
AAA044N04.genome.CDS.1820,group12985
AAA044N04.genome.CDS.1821,group00446
AAA044N04.genome.CDS.1041,group01747
AAA044N04.genome.CDS.1042,group00974
AAA044N04.genome.CDS.1363,group14044
AAA044N04.genome.CDS.1590,group00100
AAA044N04.genome.CDS.1828,group02174
AAA044N04.genome.CDS.1829,group01291
AAA044N04.genome.CDS.1874,group04840
AAA044N04.genome.CDS.2121,group00612
AAA044N04.genome.CDS.1591,group00131
AAA044N04.genome.CDS.1868,group02171
AAA044N04.genome.CDS.1911,group00171
