acMicro-1.genome.CDS.1003,group03127
acMicro-1.genome.CDS.1438,group00873
acMicro-1.genome.CDS.1014,group03270
acMicro-1.genome.CDS.1015,group03273
acMicro-1.genome.CDS.1016,group03279
acMicro-1.genome.CDS.956,group00354
acMicro-1.genome.CDS.1010,group05294
acMicro-1.genome.CDS.1011,group03786
acMicro-1.genome.CDS.1012,group00681
acMicro-1.genome.CDS.1013,group00708
acMicro-1.genome.CDS.1018,group04692
acMicro-1.genome.CDS.708,group09064
acMicro-1.genome.CDS.1499,group03657
acMicro-1.genome.CDS.970,group00278
acMicro-1.genome.CDS.1120,group01092
acMicro-1.genome.CDS.682,group04366
acMicro-1.genome.CDS.1437,group08128
acMicro-1.genome.CDS.165,group09864
acMicro-1.genome.CDS.1396,group06029
acMicro-1.genome.CDS.1308,group04349
acMicro-1.genome.CDS.1238,group00621
acMicro-1.genome.CDS.1261,group00265
acMicro-1.genome.CDS.1260,group02274
acMicro-1.genome.CDS.1267,group00273
acMicro-1.genome.CDS.1266,group00380
acMicro-1.genome.CDS.1265,group01754
acMicro-1.genome.CDS.1264,group00388
acMicro-1.genome.CDS.1300,group02275
acMicro-1.genome.CDS.1301,group08749
acMicro-1.genome.CDS.261,group00843
acMicro-1.genome.CDS.1268,group07148
acMicro-1.genome.CDS.1304,group02948
acMicro-1.genome.CDS.1305,group00220
acMicro-1.genome.CDS.1306,group00155
acMicro-1.genome.CDS.1307,group09831
acMicro-1.genome.CDS.1454,group00594
acMicro-1.genome.CDS.1455,group00610
acMicro-1.genome.CDS.1456,group00618
acMicro-1.genome.CDS.1541,group01462
acMicro-1.genome.CDS.1519,group08449
acMicro-1.genome.CDS.1451,group09107
acMicro-1.genome.CDS.1452,group04577
acMicro-1.genome.CDS.1453,group00595
acMicro-1.genome.CDS.1515,group01260
acMicro-1.genome.CDS.1546,group02127
acMicro-1.genome.CDS.1517,group09069
acMicro-1.genome.CDS.1516,group08359
acMicro-1.genome.CDS.1458,group07649
acMicro-1.genome.CDS.1510,group00704
acMicro-1.genome.CDS.1513,group12865
acMicro-1.genome.CDS.1512,group00791
acMicro-1.genome.CDS.980,group03506
acMicro-1.genome.CDS.84,group08384
acMicro-1.genome.CDS.981,group03946
acMicro-1.genome.CDS.1060,group00972
acMicro-1.genome.CDS.1063,group00435
acMicro-1.genome.CDS.1062,group08399
acMicro-1.genome.CDS.1065,group00004
acMicro-1.genome.CDS.1064,group06327
acMicro-1.genome.CDS.1067,group01278
acMicro-1.genome.CDS.1066,group00476
acMicro-1.genome.CDS.1069,group06192
acMicro-1.genome.CDS.1068,group08702
acMicro-1.genome.CDS.1548,group01208
acMicro-1.genome.CDS.1421,group00086
acMicro-1.genome.CDS.1420,group00180
acMicro-1.genome.CDS.1423,group08353
acMicro-1.genome.CDS.1422,group00084
acMicro-1.genome.CDS.1425,group08678
acMicro-1.genome.CDS.1424,group00627
acMicro-1.genome.CDS.1427,group00127
acMicro-1.genome.CDS.1426,group00642
acMicro-1.genome.CDS.942,group00146
acMicro-1.genome.CDS.943,group00064
acMicro-1.genome.CDS.940,group00197
acMicro-1.genome.CDS.941,group00126
acMicro-1.genome.CDS.946,group00066
acMicro-1.genome.CDS.947,group00147
acMicro-1.genome.CDS.944,group00331
acMicro-1.genome.CDS.1235,group11946
acMicro-1.genome.CDS.1376,group02687
acMicro-1.genome.CDS.988,group01511
acMicro-1.genome.CDS.822,group03303
acMicro-1.genome.CDS.861,group00252
acMicro-1.genome.CDS.1587,group00641
acMicro-1.genome.CDS.1584,group00760
acMicro-1.genome.CDS.862,group02959
acMicro-1.genome.CDS.1582,group00107
acMicro-1.genome.CDS.864,group00208
acMicro-1.genome.CDS.867,group08563
acMicro-1.genome.CDS.866,group07954
acMicro-1.genome.CDS.869,group07848
acMicro-1.genome.CDS.868,group03304
acMicro-1.genome.CDS.1588,group00662
acMicro-1.genome.CDS.1589,group00602
acMicro-1.genome.CDS.1263,group09158
acMicro-1.genome.CDS.1638,group07560
acMicro-1.genome.CDS.1639,group00345
acMicro-1.genome.CDS.1309,group00853
acMicro-1.genome.CDS.1634,group00131
acMicro-1.genome.CDS.1635,group00100
acMicro-1.genome.CDS.1636,group13176
acMicro-1.genome.CDS.1637,group00700
acMicro-1.genome.CDS.1630,group00315
acMicro-1.genome.CDS.1631,group00162
acMicro-1.genome.CDS.1632,group00162
acMicro-1.genome.CDS.1633,group08372
acMicro-1.genome.CDS.1211,group02685
acMicro-1.genome.CDS.1289,group00568
acMicro-1.genome.CDS.1288,group00218
acMicro-1.genome.CDS.1543,group11393
acMicro-1.genome.CDS.1281,group03796
acMicro-1.genome.CDS.1280,group03795
acMicro-1.genome.CDS.1283,group00633
acMicro-1.genome.CDS.1282,group03285
acMicro-1.genome.CDS.1285,group01809
acMicro-1.genome.CDS.1284,group07229
acMicro-1.genome.CDS.1287,group12706
acMicro-1.genome.CDS.1286,group05402
acMicro-1.genome.CDS.1730,group00512
acMicro-1.genome.CDS.1302,group01952
acMicro-1.genome.CDS.945,group07304
acMicro-1.genome.CDS.1475,group00327
acMicro-1.genome.CDS.1303,group00532
acMicro-1.genome.CDS.933,group01202
acMicro-1.genome.CDS.1390,group00363
acMicro-1.genome.CDS.1318,group03286
acMicro-1.genome.CDS.1472,group04708
acMicro-1.genome.CDS.1349,group03791
acMicro-1.genome.CDS.1620,group01267
acMicro-1.genome.CDS.1121,group06608
acMicro-1.genome.CDS.1122,group00302
acMicro-1.genome.CDS.1123,group02946
acMicro-1.genome.CDS.1124,group00009
acMicro-1.genome.CDS.1125,group08320
acMicro-1.genome.CDS.1126,group00034
acMicro-1.genome.CDS.1127,group00805
acMicro-1.genome.CDS.1128,group00417
acMicro-1.genome.CDS.1640,group00986
acMicro-1.genome.CDS.1643,group01186
acMicro-1.genome.CDS.1642,group00634
acMicro-1.genome.CDS.1645,group00717
acMicro-1.genome.CDS.1644,group03805
acMicro-1.genome.CDS.1647,group00089
acMicro-1.genome.CDS.1646,group01309
acMicro-1.genome.CDS.1344,group00692
acMicro-1.genome.CDS.1353,group04698
acMicro-1.genome.CDS.1346,group00752
acMicro-1.genome.CDS.1347,group01014
acMicro-1.genome.CDS.1340,group00576
acMicro-1.genome.CDS.1028,group00161
acMicro-1.genome.CDS.1343,group00310
acMicro-1.genome.CDS.186,group00337
acMicro-1.genome.CDS.1024,group01660
acMicro-1.genome.CDS.1027,group00769
acMicro-1.genome.CDS.1026,group00137
acMicro-1.genome.CDS.1348,group00577
acMicro-1.genome.CDS.1020,group02944
acMicro-1.genome.CDS.1023,group00694
acMicro-1.genome.CDS.1022,group05928
acMicro-1.genome.CDS.1140,group03282
acMicro-1.genome.CDS.1514,group00563
acMicro-1.genome.CDS.1470,group00725
acMicro-1.genome.CDS.938,group08383
acMicro-1.genome.CDS.1511,group03802
acMicro-1.genome.CDS.233,group01311
acMicro-1.genome.CDS.1459,group00580
acMicro-1.genome.CDS.1052,group11238
acMicro-1.genome.CDS.986,group08391
acMicro-1.genome.CDS.987,group08390
acMicro-1.genome.CDS.1540,group00123
acMicro-1.genome.CDS.985,group08392
acMicro-1.genome.CDS.982,group02707
acMicro-1.genome.CDS.983,group06006
acMicro-1.genome.CDS.1544,group00801
acMicro-1.genome.CDS.1545,group03295
acMicro-1.genome.CDS.1230,group00734
acMicro-1.genome.CDS.1231,group00104
acMicro-1.genome.CDS.1232,group09639
acMicro-1.genome.CDS.1549,group00678
acMicro-1.genome.CDS.821,group08378
acMicro-1.genome.CDS.871,group03811
acMicro-1.genome.CDS.1236,group01982
acMicro-1.genome.CDS.1237,group02704
acMicro-1.genome.CDS.1469,group02690
acMicro-1.genome.CDS.1468,group00233
acMicro-1.genome.CDS.1465,group00282
acMicro-1.genome.CDS.1464,group03752
acMicro-1.genome.CDS.1467,group02475
acMicro-1.genome.CDS.1466,group08357
acMicro-1.genome.CDS.1461,group00458
acMicro-1.genome.CDS.1460,group00523
acMicro-1.genome.CDS.1463,group00661
acMicro-1.genome.CDS.1462,group00247
acMicro-1.genome.CDS.1331,group11178
acMicro-1.genome.CDS.1330,group00649
acMicro-1.genome.CDS.1333,group01941
acMicro-1.genome.CDS.1332,group02125
acMicro-1.genome.CDS.1335,group00355
acMicro-1.genome.CDS.1334,group01040
acMicro-1.genome.CDS.1337,group04714
acMicro-1.genome.CDS.1336,group00236
acMicro-1.genome.CDS.1339,group00112
acMicro-1.genome.CDS.1338,group00092
acMicro-1.genome.CDS.1660,group07495
