acMicro-4.genome.CDS.1877,group00109
acMicro-4.genome.CDS.1688,group01559
acMicro-4.genome.CDS.2191,group00961
acMicro-4.genome.CDS.2190,group00543
acMicro-4.genome.CDS.2193,group01920
acMicro-4.genome.CDS.2192,group00707
acMicro-4.genome.CDS.1925,group03556
acMicro-4.genome.CDS.1924,group01580
acMicro-4.genome.CDS.2197,group00242
acMicro-4.genome.CDS.2196,group01078
acMicro-4.genome.CDS.1929,group01952
acMicro-4.genome.CDS.1928,group05612
acMicro-4.genome.CDS.1988,group04096
acMicro-4.genome.CDS.1184,group03285
acMicro-4.genome.CDS.1987,group02831
acMicro-4.genome.CDS.1434,group00568
acMicro-4.genome.CDS.459,group06488
acMicro-4.genome.CDS.2208,group00230
acMicro-4.genome.CDS.101,group01053
acMicro-4.genome.CDS.1985,group00340
acMicro-4.genome.CDS.1367,group02705
acMicro-4.genome.CDS.1366,group03307
acMicro-4.genome.CDS.1365,group00391
acMicro-4.genome.CDS.1364,group00278
acMicro-4.genome.CDS.1288,group00223
acMicro-4.genome.CDS.1289,group00319
acMicro-4.genome.CDS.1361,group00252
acMicro-4.genome.CDS.1360,group02703
acMicro-4.genome.CDS.1284,group00126
acMicro-4.genome.CDS.2133,group05619
acMicro-4.genome.CDS.1286,group00554
acMicro-4.genome.CDS.1287,group00241
acMicro-4.genome.CDS.1280,group00258
acMicro-4.genome.CDS.1281,group00338
acMicro-4.genome.CDS.1369,group00841
acMicro-4.genome.CDS.1283,group00146
acMicro-4.genome.CDS.1886,group00280
acMicro-4.genome.CDS.1887,group00409
acMicro-4.genome.CDS.1884,group00281
acMicro-4.genome.CDS.1885,group00214
acMicro-4.genome.CDS.1882,group02685
acMicro-4.genome.CDS.2131,group00628
acMicro-4.genome.CDS.1880,group00087
acMicro-4.genome.CDS.1449,group00413
acMicro-4.genome.CDS.1446,group00200
acMicro-4.genome.CDS.1447,group00235
acMicro-4.genome.CDS.1444,group00599
acMicro-4.genome.CDS.1153,group00419
acMicro-4.genome.CDS.1442,group00031
acMicro-4.genome.CDS.1443,group00261
acMicro-4.genome.CDS.1888,group00216
acMicro-4.genome.CDS.1441,group00224
acMicro-4.genome.CDS.2194,group00712
acMicro-4.genome.CDS.172,group00111
acMicro-4.genome.CDS.1183,group03796
acMicro-4.genome.CDS.1666,group06498
acMicro-4.genome.CDS.1667,group03593
acMicro-4.genome.CDS.1664,group05602
acMicro-4.genome.CDS.1852,group00002
acMicro-4.genome.CDS.1662,group01169
acMicro-4.genome.CDS.1663,group00247
acMicro-4.genome.CDS.1660,group00975
acMicro-4.genome.CDS.1661,group00000
acMicro-4.genome.CDS.1547,group02699
acMicro-4.genome.CDS.1546,group00051
acMicro-4.genome.CDS.1545,group00301
acMicro-4.genome.CDS.1544,group00177
acMicro-4.genome.CDS.1543,group00512
acMicro-4.genome.CDS.1542,group00505
acMicro-4.genome.CDS.1668,group02440
acMicro-4.genome.CDS.1669,group01217
acMicro-4.genome.CDS.2024,group00709
acMicro-4.genome.CDS.1290,group00583
acMicro-4.genome.CDS.453,group00400
acMicro-4.genome.CDS.2144,group03802
acMicro-4.genome.CDS.1149,group02693
acMicro-4.genome.CDS.1148,group01041
acMicro-4.genome.CDS.586,group00587
acMicro-4.genome.CDS.1143,group01282
acMicro-4.genome.CDS.1142,group00033
acMicro-4.genome.CDS.2100,group00775
acMicro-4.genome.CDS.2101,group00846
acMicro-4.genome.CDS.1147,group00639
acMicro-4.genome.CDS.2107,group06457
acMicro-4.genome.CDS.2104,group02689
acMicro-4.genome.CDS.2105,group01804
acMicro-4.genome.CDS.1603,group00483
acMicro-4.genome.CDS.2140,group00529
acMicro-4.genome.CDS.1150,group00175
acMicro-4.genome.CDS.2141,group00038
acMicro-4.genome.CDS.1769,group06443
acMicro-4.genome.CDS.1959,group00550
acMicro-4.genome.CDS.1718,group02679
acMicro-4.genome.CDS.1719,group00134
acMicro-4.genome.CDS.1712,group00804
acMicro-4.genome.CDS.1363,group00574
acMicro-4.genome.CDS.1710,group00105
acMicro-4.genome.CDS.1711,group06436
acMicro-4.genome.CDS.2199,group00680
acMicro-4.genome.CDS.1717,group00913
acMicro-4.genome.CDS.1715,group00648
acMicro-4.genome.CDS.1781,group00109
acMicro-4.genome.CDS.1285,group00197
acMicro-4.genome.CDS.1783,group02297
acMicro-4.genome.CDS.1782,group00097
acMicro-4.genome.CDS.1785,group00765
acMicro-4.genome.CDS.1784,group00317
acMicro-4.genome.CDS.1787,group00246
acMicro-4.genome.CDS.1786,group00212
acMicro-4.genome.CDS.1789,group00096
acMicro-4.genome.CDS.1788,group00192
acMicro-4.genome.CDS.1241,group03286
acMicro-4.genome.CDS.1122,group02091
acMicro-4.genome.CDS.2047,group00764
acMicro-4.genome.CDS.2046,group00825
acMicro-4.genome.CDS.2045,group00821
acMicro-4.genome.CDS.2044,group00845
acMicro-4.genome.CDS.2043,group00917
acMicro-4.genome.CDS.2042,group00897
acMicro-4.genome.CDS.2041,group00896
acMicro-4.genome.CDS.2040,group00820
acMicro-4.genome.CDS.2198,group03127
acMicro-4.genome.CDS.1188,group05588
acMicro-4.genome.CDS.1481,group00412
acMicro-4.genome.CDS.2049,group00611
acMicro-4.genome.CDS.2048,group00715
acMicro-4.genome.CDS.1152,group00198
acMicro-4.genome.CDS.2001,group00266
acMicro-4.genome.CDS.2000,group00487
acMicro-4.genome.CDS.1282,group00065
acMicro-4.genome.CDS.1368,group00324
acMicro-4.genome.CDS.1980,group00056
acMicro-4.genome.CDS.1598,group01250
acMicro-4.genome.CDS.2148,group01262
acMicro-4.genome.CDS.1564,group00071
acMicro-4.genome.CDS.2212,group00089
acMicro-4.genome.CDS.2213,group00089
acMicro-4.genome.CDS.2210,group00717
acMicro-4.genome.CDS.2062,group00282
acMicro-4.genome.CDS.2216,group00271
acMicro-4.genome.CDS.2217,group05622
acMicro-4.genome.CDS.2214,group00436
acMicro-4.genome.CDS.2215,group01185
acMicro-4.genome.CDS.1487,group02636
acMicro-4.genome.CDS.2218,group00802
acMicro-4.genome.CDS.2219,group03029
acMicro-4.genome.CDS.1883,group00074
acMicro-4.genome.CDS.1842,group00140
acMicro-4.genome.CDS.1792,group00186
acMicro-4.genome.CDS.1840,group01239
acMicro-4.genome.CDS.1841,group01406
acMicro-4.genome.CDS.1846,group00026
acMicro-4.genome.CDS.1847,group00203
acMicro-4.genome.CDS.1844,group01350
acMicro-4.genome.CDS.1845,group02482
acMicro-4.genome.CDS.1848,group06471
acMicro-4.genome.CDS.1849,group01082
acMicro-4.genome.CDS.1790,group00859
acMicro-4.genome.CDS.1193,group00239
acMicro-4.genome.CDS.1969,group00562
acMicro-4.genome.CDS.1968,group00232
acMicro-4.genome.CDS.555,group01265
acMicro-4.genome.CDS.1965,group03762
acMicro-4.genome.CDS.229,group00466
acMicro-4.genome.CDS.1967,group00759
acMicro-4.genome.CDS.1966,group05615
acMicro-4.genome.CDS.1961,group00551
acMicro-4.genome.CDS.1960,group00617
acMicro-4.genome.CDS.1962,group03519
acMicro-4.genome.CDS.1141,group00546
acMicro-4.genome.CDS.1943,group00968
acMicro-4.genome.CDS.1757,group00330
acMicro-4.genome.CDS.310,group00313
acMicro-4.genome.CDS.1941,group00969
acMicro-4.genome.CDS.1248,group01071
acMicro-4.genome.CDS.1322,group06486
acMicro-4.genome.CDS.1321,group00929
acMicro-4.genome.CDS.1320,group01139
acMicro-4.genome.CDS.1327,group01129
acMicro-4.genome.CDS.1440,group00405
acMicro-4.genome.CDS.1325,group00304
acMicro-4.genome.CDS.1324,group00422
acMicro-4.genome.CDS.1240,group00513
acMicro-4.genome.CDS.1182,group05587
acMicro-4.genome.CDS.1329,group00008
acMicro-4.genome.CDS.1328,group00446
acMicro-4.genome.CDS.1244,group06427
acMicro-4.genome.CDS.1651,group02250
acMicro-4.genome.CDS.1246,group00504
acMicro-4.genome.CDS.1247,group01783
acMicro-4.genome.CDS.1650,group00322
acMicro-4.genome.CDS.1683,group05604
acMicro-4.genome.CDS.1125,group00347
acMicro-4.genome.CDS.1751,group05609
acMicro-4.genome.CDS.1656,group00321
acMicro-4.genome.CDS.1540,group06490
acMicro-4.genome.CDS.1654,group00459
acMicro-4.genome.CDS.1550,group00582
acMicro-4.genome.CDS.1436,group00323
acMicro-4.genome.CDS.1435,group00831
acMicro-4.genome.CDS.1948,group01529
acMicro-4.genome.CDS.1433,group00976
acMicro-4.genome.CDS.1432,group03152
acMicro-4.genome.CDS.1431,group00880
acMicro-4.genome.CDS.1430,group00183
acMicro-4.genome.CDS.1439,group00499
acMicro-4.genome.CDS.1612,group00328
acMicro-4.genome.CDS.1187,group00674
acMicro-4.genome.CDS.2147,group00569
acMicro-4.genome.CDS.1185,group00633
acMicro-4.genome.CDS.2145,group00797
acMicro-4.genome.CDS.2142,group00705
acMicro-4.genome.CDS.2143,group00704
acMicro-4.genome.CDS.1181,group00210
acMicro-4.genome.CDS.1180,group00993
acMicro-4.genome.CDS.1614,group00193
acMicro-4.genome.CDS.1027,group02692
acMicro-4.genome.CDS.2172,group00430
acMicro-4.genome.CDS.1189,group00144
acMicro-4.genome.CDS.2149,group06449
acMicro-4.genome.CDS.2003,group00767
acMicro-4.genome.CDS.8,group01050
acMicro-4.genome.CDS.1518,group00357
acMicro-4.genome.CDS.2007,group00169
acMicro-4.genome.CDS.2006,group06463
acMicro-4.genome.CDS.2005,group01121
acMicro-4.genome.CDS.2004,group00560
acMicro-4.genome.CDS.2009,group02553
acMicro-4.genome.CDS.7,group06433
acMicro-4.genome.CDS.1756,group01097
acMicro-4.genome.CDS.992,group00339
acMicro-4.genome.CDS.1754,group02527
acMicro-4.genome.CDS.1755,group00514
acMicro-4.genome.CDS.1752,group06444
acMicro-4.genome.CDS.1753,group00245
acMicro-4.genome.CDS.1619,group00012
acMicro-4.genome.CDS.1618,group02173
acMicro-4.genome.CDS.1617,group02334
acMicro-4.genome.CDS.1616,group02333
acMicro-4.genome.CDS.1615,group02362
acMicro-4.genome.CDS.1739,group00311
acMicro-4.genome.CDS.1613,group00939
acMicro-4.genome.CDS.1314,group00275
acMicro-4.genome.CDS.1611,group00464
acMicro-4.genome.CDS.1759,group00371
acMicro-4.genome.CDS.1111,group00426
acMicro-4.genome.CDS.1509,group00257
acMicro-4.genome.CDS.1113,group00467
acMicro-4.genome.CDS.1114,group00339
acMicro-4.genome.CDS.1115,group01134
acMicro-4.genome.CDS.1116,group01110
acMicro-4.genome.CDS.1117,group05372
acMicro-4.genome.CDS.1118,group03118
acMicro-4.genome.CDS.1119,group04137
acMicro-4.genome.CDS.1501,group06476
acMicro-4.genome.CDS.1500,group00059
acMicro-4.genome.CDS.1507,group00136
acMicro-4.genome.CDS.2111,group00776
acMicro-4.genome.CDS.1505,group00657
acMicro-4.genome.CDS.1504,group00002
acMicro-4.genome.CDS.1503,group00844
acMicro-4.genome.CDS.1665,group00539
acMicro-4.genome.CDS.1502,group00522
acMicro-4.genome.CDS.1998,group01099
acMicro-4.genome.CDS.1549,group00035
acMicro-4.genome.CDS.1548,group00552
acMicro-4.genome.CDS.991,group06459
acMicro-4.genome.CDS.601,group00365
acMicro-4.genome.CDS.1891,group02676
acMicro-4.genome.CDS.1243,group06428
acMicro-4.genome.CDS.2099,group00174
acMicro-4.genome.CDS.1793,group01017
acMicro-4.genome.CDS.2113,group01706
acMicro-4.genome.CDS.1685,group05606
acMicro-4.genome.CDS.2098,group00960
acMicro-4.genome.CDS.1541,group06489
acMicro-4.genome.CDS.2094,group00118
acMicro-4.genome.CDS.2095,group00118
acMicro-4.genome.CDS.2096,group00226
acMicro-4.genome.CDS.2097,group00722
acMicro-4.genome.CDS.2090,group00497
acMicro-4.genome.CDS.2091,group02476
acMicro-4.genome.CDS.2092,group00455
acMicro-4.genome.CDS.2093,group06460
acMicro-4.genome.CDS.1865,group00549
acMicro-4.genome.CDS.1582,group00276
acMicro-4.genome.CDS.1229,group00852
acMicro-4.genome.CDS.1913,group00701
acMicro-4.genome.CDS.615,group00122
acMicro-4.genome.CDS.617,group00843
acMicro-4.genome.CDS.1808,group01663
acMicro-4.genome.CDS.344,group00719
acMicro-4.genome.CDS.1806,group04206
acMicro-4.genome.CDS.1807,group05611
acMicro-4.genome.CDS.1804,group01228
acMicro-4.genome.CDS.1762,group00170
acMicro-4.genome.CDS.1802,group01462
acMicro-4.genome.CDS.1803,group06441
acMicro-4.genome.CDS.1800,group00600
acMicro-4.genome.CDS.1801,group00555
acMicro-4.genome.CDS.2211,group00774
acMicro-4.genome.CDS.1699,group05325
acMicro-4.genome.CDS.1204,group00201
acMicro-4.genome.CDS.1205,group01975
acMicro-4.genome.CDS.1206,group03808
acMicro-4.genome.CDS.1207,group00142
acMicro-4.genome.CDS.1200,group00099
acMicro-4.genome.CDS.1201,group00100
acMicro-4.genome.CDS.1202,group06430
acMicro-4.genome.CDS.1203,group00864
acMicro-4.genome.CDS.1177,group00380
acMicro-4.genome.CDS.1209,group02694
acMicro-4.genome.CDS.1533,group04195
acMicro-4.genome.CDS.1932,group01771
acMicro-4.genome.CDS.2183,group02830
acMicro-4.genome.CDS.1930,group00748
acMicro-4.genome.CDS.1931,group00264
acMicro-4.genome.CDS.2186,group00533
acMicro-4.genome.CDS.2187,group00532
acMicro-4.genome.CDS.1934,group00972
acMicro-4.genome.CDS.1935,group02388
acMicro-4.genome.CDS.1938,group04224
acMicro-4.genome.CDS.1939,group00928
acMicro-4.genome.CDS.1385,group00888
acMicro-4.genome.CDS.1384,group00458
acMicro-4.genome.CDS.1387,group00243
acMicro-4.genome.CDS.1386,group02300
acMicro-4.genome.CDS.1381,group02935
acMicro-4.genome.CDS.1380,group00145
acMicro-4.genome.CDS.1383,group00312
acMicro-4.genome.CDS.1382,group00244
acMicro-4.genome.CDS.501,group06493
acMicro-4.genome.CDS.500,group00022
acMicro-4.genome.CDS.1652,group05600
acMicro-4.genome.CDS.1388,group00030
acMicro-4.genome.CDS.1271,group03579
acMicro-4.genome.CDS.1270,group01466
acMicro-4.genome.CDS.1273,group00005
acMicro-4.genome.CDS.1272,group00644
acMicro-4.genome.CDS.1275,group00389
acMicro-4.genome.CDS.1274,group00823
acMicro-4.genome.CDS.1276,group03100
acMicro-4.genome.CDS.1279,group00066
acMicro-4.genome.CDS.1278,group00147
acMicro-4.genome.CDS.1890,group03792
acMicro-4.genome.CDS.2108,group00417
acMicro-4.genome.CDS.1473,group00553
acMicro-4.genome.CDS.1472,group00534
acMicro-4.genome.CDS.1471,group00535
acMicro-4.genome.CDS.1470,group00184
acMicro-4.genome.CDS.1477,group00800
acMicro-4.genome.CDS.1476,group00526
acMicro-4.genome.CDS.1475,group00144
acMicro-4.genome.CDS.1474,group00966
acMicro-4.genome.CDS.1370,group00398
acMicro-4.genome.CDS.1371,group00248
acMicro-4.genome.CDS.1372,group03443
acMicro-4.genome.CDS.1478,group00376
acMicro-4.genome.CDS.1374,group00062
acMicro-4.genome.CDS.1375,group06478
acMicro-4.genome.CDS.1376,group00098
acMicro-4.genome.CDS.1377,group00122
acMicro-4.genome.CDS.2129,group06451
acMicro-4.genome.CDS.1362,group00308
acMicro-4.genome.CDS.1499,group00158
acMicro-4.genome.CDS.1498,group00157
acMicro-4.genome.CDS.1552,group00998
acMicro-4.genome.CDS.1553,group00654
acMicro-4.genome.CDS.1554,group00718
acMicro-4.genome.CDS.1555,group01303
acMicro-4.genome.CDS.1556,group03308
acMicro-4.genome.CDS.1558,group00133
acMicro-4.genome.CDS.1490,group00129
acMicro-4.genome.CDS.1493,group00208
acMicro-4.genome.CDS.1492,group00151
acMicro-4.genome.CDS.1495,group00309
acMicro-4.genome.CDS.1494,group00273
acMicro-4.genome.CDS.1496,group00274
acMicro-4.genome.CDS.1140,group00926
acMicro-4.genome.CDS.2106,group06458
acMicro-4.genome.CDS.1146,group06431
acMicro-4.genome.CDS.1171,group00015
acMicro-4.genome.CDS.1158,group05586
acMicro-4.genome.CDS.1159,group00015
acMicro-4.genome.CDS.1989,group02371
acMicro-4.genome.CDS.2138,group00007
acMicro-4.genome.CDS.1154,group00148
acMicro-4.genome.CDS.1986,group00333
acMicro-4.genome.CDS.1156,group00055
acMicro-4.genome.CDS.1157,group00046
acMicro-4.genome.CDS.1983,group00636
acMicro-4.genome.CDS.2132,group05618
acMicro-4.genome.CDS.1981,group03555
acMicro-4.genome.CDS.2130,group01128
acMicro-4.genome.CDS.2058,group00580
acMicro-4.genome.CDS.2059,group00523
acMicro-4.genome.CDS.1145,group05585
acMicro-4.genome.CDS.2050,group00688
acMicro-4.genome.CDS.2051,group00616
acMicro-4.genome.CDS.2052,group01095
acMicro-4.genome.CDS.2053,group00595
acMicro-4.genome.CDS.2054,group00594
acMicro-4.genome.CDS.2055,group00610
acMicro-4.genome.CDS.2056,group00618
acMicro-4.genome.CDS.2057,group00619
acMicro-4.genome.CDS.1491,group00095
acMicro-4.genome.CDS.1729,group03523
acMicro-4.genome.CDS.1727,group01991
acMicro-4.genome.CDS.1725,group00596
acMicro-4.genome.CDS.1724,group00579
acMicro-4.genome.CDS.1723,group00250
acMicro-4.genome.CDS.1722,group00219
acMicro-4.genome.CDS.1721,group00160
acMicro-4.genome.CDS.1720,group00159
acMicro-4.genome.CDS.1129,group00860
acMicro-4.genome.CDS.1128,group00727
acMicro-4.genome.CDS.1659,group01075
acMicro-4.genome.CDS.1658,group00849
acMicro-4.genome.CDS.1796,group01316
acMicro-4.genome.CDS.1797,group03594
acMicro-4.genome.CDS.1794,group00013
acMicro-4.genome.CDS.1795,group00397
acMicro-4.genome.CDS.1653,group00237
acMicro-4.genome.CDS.1120,group01080
acMicro-4.genome.CDS.1798,group00024
acMicro-4.genome.CDS.1799,group00107
acMicro-4.genome.CDS.1657,group02919
acMicro-4.genome.CDS.2157,group00176
acMicro-4.genome.CDS.1127,group01329
acMicro-4.genome.CDS.1126,group00658
acMicro-4.genome.CDS.488,group00143
acMicro-4.genome.CDS.2224,group01740
acMicro-4.genome.CDS.1437,group00484
acMicro-4.genome.CDS.1869,group00622
acMicro-4.genome.CDS.1352,group00817
acMicro-4.genome.CDS.1982,group00011
acMicro-4.genome.CDS.901,group02765
acMicro-4.genome.CDS.900,group06462
acMicro-4.genome.CDS.1353,group04707
acMicro-4.genome.CDS.2164,group02011
acMicro-4.genome.CDS.2152,group02548
acMicro-4.genome.CDS.1298,group03420
acMicro-4.genome.CDS.1232,group00075
acMicro-4.genome.CDS.891,group03284
acMicro-4.genome.CDS.1561,group00878
acMicro-4.genome.CDS.2226,group00318
acMicro-4.genome.CDS.1395,group01970
acMicro-4.genome.CDS.2222,group00690
acMicro-4.genome.CDS.2221,group02114
acMicro-4.genome.CDS.2220,group05623
acMicro-4.genome.CDS.1291,group00870
acMicro-4.genome.CDS.78,group00863
